gene/TE	../../STAR_v252_mapping/CGND_12893/HRA-00313_PE.bam
"A1BG"	43
"A1BG-AS1"	92
"A1CF"	0
"A2M"	2322
"A2M-AS1"	53
"A2ML1"	61
"A2MP1"	3
"A3GALT2"	5
"A4GALT"	60
"A4GNT"	0
"AA06"	36
"AAAS"	193
"AACS"	1046
"AACSP1"	9
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	1
"AADACL3"	0
"AADACL4"	0
"AADACP1"	0
"AADAT"	190
"AAED1"	126
"AAGAB"	970
"AAK1"	11163
"AAMDC"	57
"AAMP"	1201
"AANAT"	3
"AAR2"	255
"AARD"	9
"AARS"	6364
"AARS2"	334
"AARSD1"	139
"AASDH"	500
"AASDHPPT"	2093
"AASS"	701
"AATBC"	0
"AATF"	615
"AATK"	3599
"ABALON"	3
"ABAT"	6305
"ABCA1"	477
"ABCA10"	449
"ABCA11P"	167
"ABCA12"	25
"ABCA13"	1
"ABCA17P"	49
"ABCA2"	11962
"ABCA3"	3076
"ABCA4"	8
"ABCA5"	1965
"ABCA6"	315
"ABCA7"	269
"ABCA8"	1367
"ABCA9"	272
"ABCA9-AS1"	0
"ABCB1"	384
"ABCB10"	332
"ABCB11"	0
"ABCB4"	6
"ABCB5"	0
"ABCB6"	415
"ABCB7"	589
"ABCB8"	311
"ABCB9"	511
"ABCC1"	447
"ABCC10"	132
"ABCC11"	24
"ABCC12"	15
"ABCC13"	1
"ABCC2"	13
"ABCC3"	15
"ABCC4"	311
"ABCC5"	2250
"ABCC5-AS1"	0
"ABCC6"	16
"ABCC6P1"	0
"ABCC6P2"	1
"ABCC8"	630
"ABCC9"	1105
"ABCD1"	64
"ABCD2"	599
"ABCD3"	1138
"ABCD4"	414
"ABCE1"	1425
"ABCF1"	815
"ABCF2"	1035
"ABCF3"	852
"ABCG1"	494
"ABCG2"	458
"ABCG4"	546
"ABCG5"	5
"ABCG8"	10
"ABHD1"	7
"ABHD10"	1012
"ABHD11"	83
"ABHD11-AS1"	0
"ABHD12"	1431
"ABHD12B"	69
"ABHD13"	935
"ABHD14A"	215
"ABHD14A-ACY1"	110
"ABHD14B"	89
"ABHD15"	90
"ABHD16A"	442
"ABHD16B"	0
"ABHD17A"	1588
"ABHD17B"	983
"ABHD17C"	311
"ABHD18"	393
"ABHD2"	6293
"ABHD3"	142
"ABHD4"	427
"ABHD5"	514
"ABHD6"	906
"ABHD8"	1091
"ABI1"	2436
"ABI2"	7790
"ABI3"	86
"ABI3BP"	131
"ABL1"	1050
"ABL2"	2657
"ABLIM1"	7885
"ABLIM2"	1568
"ABLIM3"	717
"ABO"	4
"ABR"	9003
"ABRA"	19
"ABRACL"	110
"ABRAXAS1"	51
"ABRAXAS2"	552
"ABT1"	123
"ABTB1"	483
"ABTB2"	198
"ACAA1"	580
"ACAA2"	487
"ACACA"	4265
"ACACB"	820
"ACAD10"	276
"ACAD11"	521
"ACAD8"	347
"ACAD9"	481
"ACADL"	51
"ACADM"	739
"ACADS"	161
"ACADSB"	1235
"ACADVL"	1432
"ACAN"	281
"ACAP1"	14
"ACAP2"	2078
"ACAP3"	1055
"ACAT1"	563
"ACAT2"	785
"ACBD3"	1177
"ACBD3-AS1"	0
"ACBD4"	181
"ACBD5"	1931
"ACBD6"	294
"ACBD7"	1622
"ACBD7-DCLRE1CP1"	83
"ACCS"	26
"ACCSL"	1
"ACD"	228
"ACE"	92
"ACE2"	5
"ACER1"	0
"ACER2"	106
"ACER3"	1550
"ACHE"	402
"ACIN1"	1431
"ACKR1"	264
"ACKR2"	25
"ACKR3"	71
"ACKR4"	1
"ACLY"	2914
"ACMSD"	0
"ACO1"	838
"ACO2"	5822
"ACOD1"	0
"ACOT1"	164
"ACOT11"	313
"ACOT12"	5
"ACOT13"	343
"ACOT2"	260
"ACOT4"	50
"ACOT6"	0
"ACOT7"	1661
"ACOT8"	275
"ACOT9"	452
"ACOX1"	2459
"ACOX2"	28
"ACOX3"	428
"ACOXL"	0
"ACOXL-AS1"	12
"ACP1"	1033
"ACP2"	341
"ACP4"	0
"ACP5"	6
"ACP6"	198
"ACP7"	26
"ACPP"	13
"ACR"	12
"ACRBP"	10
"ACRV1"	8
"ACSBG1"	1180
"ACSBG2"	0
"ACSF2"	127
"ACSF3"	182
"ACSL1"	2353
"ACSL3"	4077
"ACSL4"	2716
"ACSL5"	168
"ACSL6"	5189
"ACSM1"	4
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	2
"ACSM4"	0
"ACSM5"	73
"ACSM6"	0
"ACSS1"	617
"ACSS2"	595
"ACSS3"	736
"ACTA1"	18
"ACTA2"	102
"ACTA2-AS1"	119
"ACTB"	37852
"ACTBL2"	0
"ACTC1"	25
"ACTG1"	19469
"ACTG1P17"	5
"ACTG1P20"	40
"ACTG1P4"	94
"ACTG2"	0
"ACTL10"	1
"ACTL6A"	122
"ACTL6B"	419
"ACTL7A"	0
"ACTL7B"	0
"ACTL8"	0
"ACTL9"	0
"ACTN1"	1866
"ACTN1-AS1"	0
"ACTN2"	1267
"ACTN3"	4
"ACTN4"	2653
"ACTR10"	1194
"ACTR1A"	3564
"ACTR1B"	1554
"ACTR2"	8477
"ACTR3"	2367
"ACTR3B"	758
"ACTR3BP2"	0
"ACTR3BP5"	0
"ACTR3C"	105
"ACTR5"	119
"ACTR6"	772
"ACTR8"	726
"ACTRT1"	0
"ACTRT2"	0
"ACTRT3"	17
"ACVR1"	392
"ACVR1B"	1374
"ACVR1C"	599
"ACVR2A"	675
"ACVR2B"	694
"ACVR2B-AS1"	35
"ACVRL1"	82
"ACY1"	32
"ACY3"	2
"ACYP1"	141
"ACYP2"	402
"ADA"	46
"ADA2"	304
"ADAD1"	0
"ADAD2"	18
"ADAL"	248
"ADAM10"	2582
"ADAM11"	1239
"ADAM12"	133
"ADAM15"	428
"ADAM17"	848
"ADAM18"	0
"ADAM19"	419
"ADAM1A"	67
"ADAM2"	1
"ADAM20"	158
"ADAM20P1"	173
"ADAM21"	5
"ADAM21P1"	0
"ADAM22"	6509
"ADAM23"	4272
"ADAM28"	268
"ADAM29"	2
"ADAM30"	0
"ADAM32"	323
"ADAM33"	21
"ADAM3A"	0
"ADAM3B"	0
"ADAM5"	6
"ADAM6"	0
"ADAM7"	0
"ADAM8"	37
"ADAM9"	2106
"ADAMDEC1"	0
"ADAMTS1"	832
"ADAMTS10"	172
"ADAMTS12"	5
"ADAMTS13"	130
"ADAMTS14"	119
"ADAMTS15"	21
"ADAMTS16"	87
"ADAMTS17"	159
"ADAMTS18"	7
"ADAMTS19"	257
"ADAMTS19-AS1"	22
"ADAMTS2"	125
"ADAMTS20"	20
"ADAMTS3"	140
"ADAMTS4"	732
"ADAMTS5"	57
"ADAMTS6"	77
"ADAMTS7"	3
"ADAMTS7P1"	13
"ADAMTS8"	142
"ADAMTS9"	431
"ADAMTS9-AS1"	3
"ADAMTS9-AS2"	97
"ADAMTSL1"	94
"ADAMTSL2"	228
"ADAMTSL3"	209
"ADAMTSL4"	24
"ADAMTSL4-AS1"	9
"ADAMTSL5"	11
"ADAP1"	1218
"ADAP2"	118
"ADAR"	8088
"ADARB1"	1450
"ADARB2"	629
"ADARB2-AS1"	4
"ADAT1"	528
"ADAT2"	99
"ADAT3"	55
"ADCK1"	80
"ADCK2"	402
"ADCK5"	38
"ADCY1"	11540
"ADCY10"	79
"ADCY10P1"	209
"ADCY2"	4969
"ADCY3"	1219
"ADCY4"	17
"ADCY5"	1803
"ADCY6"	670
"ADCY7"	246
"ADCY8"	959
"ADCY9"	1285
"ADCYAP1"	705
"ADCYAP1R1"	3977
"ADD1"	7698
"ADD2"	4201
"ADD3"	5945
"ADD3-AS1"	22
"ADGB"	0
"ADGRA1"	678
"ADGRA1-AS1"	14
"ADGRA2"	155
"ADGRA3"	996
"ADGRB1"	1502
"ADGRB2"	3840
"ADGRB3"	4259
"ADGRD1"	77
"ADGRD1-AS1"	0
"ADGRE1"	21
"ADGRE2"	94
"ADGRE3"	0
"ADGRE4P"	11
"ADGRE5"	124
"ADGRF1"	0
"ADGRF2"	5
"ADGRF3"	8
"ADGRF4"	2
"ADGRF5"	471
"ADGRG1"	3018
"ADGRG2"	6
"ADGRG3"	5
"ADGRG4"	4
"ADGRG5"	3
"ADGRG6"	85
"ADGRG7"	0
"ADGRL1"	6140
"ADGRL2"	2934
"ADGRL3"	5257
"ADGRL3-AS1"	0
"ADGRL4"	145
"ADGRV1"	4181
"ADH1A"	0
"ADH1B"	11
"ADH1C"	0
"ADH4"	0
"ADH5"	1693
"ADH6"	0
"ADH7"	0
"ADHFE1"	324
"ADI1"	573
"ADIG"	2
"ADIPOQ"	1
"ADIPOQ-AS1"	0
"ADIPOR1"	1287
"ADIPOR2"	2051
"ADIRF"	164
"ADK"	467
"ADM"	173
"ADM2"	1
"ADM5"	5
"ADNP"	2539
"ADNP-AS1"	9
"ADNP2"	937
"ADO"	1132
"ADORA1"	971
"ADORA2A"	38
"ADORA2A-AS1"	0
"ADORA2B"	126
"ADORA3"	84
"ADPGK"	347
"ADPGK-AS1"	10
"ADPRH"	39
"ADPRHL1"	163
"ADPRHL2"	145
"ADPRM"	111
"ADRA1A"	881
"ADRA1B"	285
"ADRA1D"	53
"ADRA2A"	164
"ADRA2B"	16
"ADRA2C"	25
"ADRB1"	447
"ADRB2"	64
"ADRB3"	2
"ADRM1"	790
"ADSL"	175
"ADSS"	1097
"ADSSL1"	58
"ADTRP"	47
"AEBP1"	729
"AEBP2"	1312
"AEN"	181
"AES"	5019
"AFAP1"	936
"AFAP1-AS1"	48
"AFAP1L1"	61
"AFAP1L2"	299
"AFDN"	3511
"AFDN-DT"	12
"AFF1"	2244
"AFF1-AS1"	21
"AFF2"	1133
"AFF3"	3510
"AFF4"	6294
"AFG1L"	195
"AFG3L1P"	116
"AFG3L2"	1486
"AFM"	0
"AFMID"	285
"AFP"	3
"AFTPH"	2031
"AGA"	89
"AGAP1"	5950
"AGAP1-IT1"	18
"AGAP11"	39
"AGAP12P"	22
"AGAP2"	6132
"AGAP2-AS1"	6
"AGAP3"	3367
"AGAP4"	198
"AGAP5"	50
"AGAP6"	234
"AGAP7P"	9
"AGAP9"	72
"AGBL1"	5
"AGBL1-AS1"	0
"AGBL2"	4
"AGBL3"	89
"AGBL4"	262
"AGBL4-IT1"	36
"AGBL5"	157
"AGBL5-AS1"	0
"AGER"	22
"AGFG1"	3004
"AGFG2"	637
"AGGF1"	1448
"AGK"	691
"AGL"	1642
"AGMAT"	46
"AGMO"	17
"AGO1"	1753
"AGO2"	3106
"AGO3"	864
"AGO4"	763
"AGPAT1"	1136
"AGPAT2"	100
"AGPAT3"	3323
"AGPAT4"	1432
"AGPAT4-IT1"	61
"AGPAT5"	1063
"AGPS"	1178
"AGR2"	0
"AGR3"	0
"AGRN"	730
"AGRP"	2
"AGT"	2906
"AGTPBP1"	3138
"AGTR1"	3
"AGTR2"	0
"AGTRAP"	120
"AGXT"	0
"AGXT2"	0
"AHCTF1"	3496
"AHCTF1P1"	14
"AHCY"	633
"AHCYL1"	17091
"AHCYL2"	2901
"AHDC1"	2045
"AHI1"	3066
"AHNAK"	14477
"AHNAK2"	3489
"AHR"	696
"AHRR"	125
"AHSA1"	1511
"AHSA2P"	530
"AHSG"	0
"AHSP"	0
"AICDA"	0
"AIDA"	2057
"AIF1"	171
"AIF1L"	1793
"AIFM1"	379
"AIFM2"	117
"AIFM3"	642
"AIG1"	692
"AIM2"	2
"AIMP1"	406
"AIMP2"	101
"AIP"	374
"AIPL1"	0
"AIRE"	29
"AIRN"	7
"AJAP1"	979
"AJM1"	524
"AJUBA"	13
"AK1"	547
"AK2"	700
"AK3"	1709
"AK4"	2210
"AK5"	6674
"AK6"	320
"AK7"	74
"AK8"	22
"AK9"	378
"AKAIN1"	41
"AKAP1"	1126
"AKAP10"	1275
"AKAP11"	16977
"AKAP12"	9892
"AKAP13"	2467
"AKAP14"	2
"AKAP17A"	192
"AKAP2"	838
"AKAP3"	39
"AKAP4"	0
"AKAP5"	1249
"AKAP6"	14087
"AKAP7"	392
"AKAP8"	582
"AKAP8L"	1536
"AKAP9"	4509
"AKIP1"	155
"AKIRIN1"	1775
"AKIRIN2"	965
"AKNA"	310
"AKNAD1"	1
