gene/TE	../../STAR_v252_mapping/CGND_12856/HRA-00023_PE.bam
"A1BG"	44
"A1BG-AS1"	178
"A1CF"	1
"A2M"	1577
"A2M-AS1"	140
"A2ML1"	188
"A2MP1"	1
"A3GALT2"	3
"A4GALT"	19
"A4GNT"	0
"AA06"	113
"AAAS"	361
"AACS"	1917
"AACSP1"	13
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	2
"AADACL3"	0
"AADACL4"	0
"AADACP1"	0
"AADAT"	390
"AAED1"	36
"AAGAB"	832
"AAK1"	13618
"AAMDC"	89
"AAMP"	1132
"AANAT"	4
"AAR2"	329
"AARD"	12
"AARS"	6381
"AARS2"	504
"AARSD1"	160
"AASDH"	718
"AASDHPPT"	1817
"AASS"	461
"AATBC"	3
"AATF"	569
"AATK"	2429
"ABALON"	12
"ABAT"	7139
"ABCA1"	616
"ABCA10"	545
"ABCA11P"	199
"ABCA12"	12
"ABCA13"	1
"ABCA17P"	289
"ABCA2"	7936
"ABCA3"	3894
"ABCA4"	16
"ABCA5"	2521
"ABCA6"	666
"ABCA7"	427
"ABCA8"	593
"ABCA9"	709
"ABCA9-AS1"	1
"ABCB1"	327
"ABCB10"	349
"ABCB11"	3
"ABCB4"	8
"ABCB5"	0
"ABCB6"	743
"ABCB7"	467
"ABCB8"	714
"ABCB9"	714
"ABCC1"	820
"ABCC10"	548
"ABCC11"	13
"ABCC12"	45
"ABCC13"	1
"ABCC2"	50
"ABCC3"	29
"ABCC4"	181
"ABCC5"	4681
"ABCC5-AS1"	0
"ABCC6"	8
"ABCC6P1"	16
"ABCC6P2"	0
"ABCC8"	2173
"ABCC9"	643
"ABCD1"	44
"ABCD2"	666
"ABCD3"	802
"ABCD4"	1294
"ABCE1"	614
"ABCF1"	669
"ABCF2"	1253
"ABCF3"	1051
"ABCG1"	935
"ABCG2"	365
"ABCG4"	508
"ABCG5"	21
"ABCG8"	104
"ABHD1"	13
"ABHD10"	498
"ABHD11"	115
"ABHD11-AS1"	0
"ABHD12"	1482
"ABHD12B"	155
"ABHD13"	984
"ABHD14A"	334
"ABHD14A-ACY1"	167
"ABHD14B"	140
"ABHD15"	97
"ABHD16A"	666
"ABHD16B"	0
"ABHD17A"	1336
"ABHD17B"	573
"ABHD17C"	323
"ABHD18"	397
"ABHD2"	6430
"ABHD3"	267
"ABHD4"	345
"ABHD5"	495
"ABHD6"	855
"ABHD8"	1883
"ABI1"	2017
"ABI2"	6434
"ABI3"	30
"ABI3BP"	70
"ABL1"	1283
"ABL2"	3093
"ABLIM1"	6644
"ABLIM2"	2594
"ABLIM3"	997
"ABO"	24
"ABR"	10587
"ABRA"	8
"ABRACL"	71
"ABRAXAS1"	48
"ABRAXAS2"	437
"ABT1"	182
"ABTB1"	935
"ABTB2"	158
"ACAA1"	668
"ACAA2"	411
"ACACA"	6839
"ACACB"	1106
"ACAD10"	455
"ACAD11"	523
"ACAD8"	569
"ACAD9"	870
