gene/TE	../../STAR_v252_mapping/CGND_12856/HRA-00025_PE.bam
"A1BG"	28
"A1BG-AS1"	143
"A1CF"	0
"A2M"	1411
"A2M-AS1"	81
"A2ML1"	103
"A2MP1"	3
"A3GALT2"	1
"A4GALT"	20
"A4GNT"	0
"AA06"	39
"AAAS"	225
"AACS"	1167
"AACSP1"	12
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	1
"AADACL3"	0
"AADACL4"	0
"AADACP1"	1
"AADAT"	302
"AAED1"	63
"AAGAB"	983
"AAK1"	8884
"AAMDC"	53
"AAMP"	961
"AANAT"	6
"AAR2"	218
"AARD"	17
"AARS"	4579
"AARS2"	383
"AARSD1"	157
"AASDH"	544
"AASDHPPT"	2585
"AASS"	531
"AATBC"	0
"AATF"	344
"AATK"	2227
"ABALON"	1
"ABAT"	6018
"ABCA1"	533
"ABCA10"	697
"ABCA11P"	268
"ABCA12"	10
"ABCA13"	4
"ABCA17P"	63
"ABCA2"	6773
"ABCA3"	3303
"ABCA4"	17
"ABCA5"	2574
"ABCA6"	529
"ABCA7"	251
"ABCA8"	468
"ABCA9"	561
"ABCA9-AS1"	1
"ABCB1"	218
"ABCB10"	382
"ABCB11"	9
"ABCB4"	7
"ABCB5"	2
"ABCB6"	385
"ABCB7"	314
"ABCB8"	484
"ABCB9"	398
"ABCC1"	460
"ABCC10"	310
"ABCC11"	30
"ABCC12"	70
"ABCC13"	0
"ABCC2"	7
"ABCC3"	11
"ABCC4"	219
"ABCC5"	2209
"ABCC5-AS1"	2
"ABCC6"	9
"ABCC6P1"	14
"ABCC6P2"	0
"ABCC8"	992
"ABCC9"	604
"ABCD1"	43
"ABCD2"	881
"ABCD3"	919
"ABCD4"	338
"ABCE1"	1164
"ABCF1"	713
"ABCF2"	908
"ABCF3"	818
"ABCG1"	583
"ABCG2"	390
"ABCG4"	357
"ABCG5"	20
"ABCG8"	42
"ABHD1"	12
"ABHD10"	708
"ABHD11"	95
"ABHD11-AS1"	0
"ABHD12"	1188
"ABHD12B"	101
"ABHD13"	708
"ABHD14A"	299
"ABHD14A-ACY1"	138
"ABHD14B"	91
"ABHD15"	59
"ABHD16A"	517
"ABHD16B"	1
"ABHD17A"	1131
"ABHD17B"	665
"ABHD17C"	363
"ABHD18"	397
"ABHD2"	5253
"ABHD3"	93
"ABHD4"	190
"ABHD5"	358
"ABHD6"	582
"ABHD8"	1086
"ABI1"	1834
"ABI2"	7984
"ABI3"	25
"ABI3BP"	123
"ABL1"	872
"ABL2"	2253
"ABLIM1"	5585
"ABLIM2"	1538
"ABLIM3"	798
"ABO"	18
"ABR"	9267
"ABRA"	4
"ABRACL"	99
"ABRAXAS1"	68
"ABRAXAS2"	438
"ABT1"	149
"ABTB1"	653
"ABTB2"	111
"ACAA1"	554
"ACAA2"	420
"ACACA"	4456
