gene/TE	../../STAR_v252_mapping/CGND_12893/HRA-00334-b38_PE.bam
"A1BG"	48
"A1BG-AS1"	65
"A1CF"	0
"A2M"	1567
"A2M-AS1"	89
"A2ML1"	111
"A2MP1"	3
"A3GALT2"	0
"A4GALT"	43
"A4GNT"	0
"AA06"	20
"AAAS"	189
"AACS"	682
"AACSP1"	11
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	1
"AADACL3"	0
"AADACL4"	0
"AADACP1"	0
"AADAT"	214
"AAED1"	87
"AAGAB"	700
"AAK1"	7324
"AAMDC"	92
"AAMP"	947
"AANAT"	4
"AAR2"	249
"AARD"	8
"AARS"	4722
"AARS2"	371
"AARSD1"	107
"AASDH"	520
"AASDHPPT"	1686
"AASS"	828
"AATBC"	2
"AATF"	463
"AATK"	6186
"ABALON"	1
"ABAT"	4378
"ABCA1"	892
"ABCA10"	527
"ABCA11P"	269
"ABCA12"	11
"ABCA13"	2
"ABCA17P"	70
"ABCA2"	17715
"ABCA3"	2204
"ABCA4"	10
"ABCA5"	1961
"ABCA6"	938
"ABCA7"	195
"ABCA8"	3213
"ABCA9"	333
"ABCA9-AS1"	0
"ABCB1"	186
"ABCB10"	279
"ABCB11"	2
"ABCB4"	6
"ABCB5"	0
"ABCB6"	333
"ABCB7"	390
"ABCB8"	348
"ABCB9"	347
"ABCC1"	386
"ABCC10"	169
"ABCC11"	15
"ABCC12"	35
"ABCC13"	4
"ABCC2"	25
"ABCC3"	12
"ABCC4"	289
"ABCC5"	1590
"ABCC5-AS1"	0
"ABCC6"	10
"ABCC6P1"	3
"ABCC6P2"	0
"ABCC8"	440
"ABCC9"	749
"ABCD1"	93
"ABCD2"	524
"ABCD3"	919
"ABCD4"	501
"ABCE1"	1167
"ABCF1"	629
"ABCF2"	813
"ABCF3"	743
"ABCG1"	672
"ABCG2"	182
"ABCG4"	284
"ABCG5"	10
"ABCG8"	38
"ABHD1"	13
"ABHD10"	603
"ABHD11"	98
"ABHD11-AS1"	0
"ABHD12"	1311
"ABHD12B"	51
"ABHD13"	551
"ABHD14A"	199
"ABHD14A-ACY1"	118
"ABHD14B"	100
"ABHD15"	70
"ABHD16A"	463
"ABHD16B"	0
"ABHD17A"	1478
"ABHD17B"	1032
"ABHD17C"	247
"ABHD18"	384
"ABHD2"	3917
"ABHD3"	99
"ABHD4"	331
"ABHD5"	496
"ABHD6"	662
"ABHD8"	861
"ABI1"	1426
"ABI2"	5366
"ABI3"	70
"ABI3BP"	247
"ABL1"	1327
"ABL2"	1966
"ABLIM1"	4416
"ABLIM2"	1049
"ABLIM3"	641
"ABO"	7
"ABR"	6686
"ABRA"	3
"ABRACL"	55
"ABRAXAS1"	39
"ABRAXAS2"	360
"ABT1"	143
"ABTB1"	449
"ABTB2"	246
"ACAA1"	606
"ACAA2"	509
"ACACA"	4140
"ACACB"	642
"ACAD10"	214
"ACAD11"	546
"ACAD8"	298
"ACAD9"	510
"ACADL"	26
"ACADM"	589
"ACADS"	145
"ACADSB"	952
"ACADVL"	1229
"ACAN"	96
"ACAP1"	13
"ACAP2"	1369
"ACAP3"	1202
"ACAT1"	504
"ACAT2"	585
"ACBD3"	776
"ACBD3-AS1"	0
"ACBD4"	157
"ACBD5"	1594
"ACBD6"	240
"ACBD7"	1182
"ACBD7-DCLRE1CP1"	66
"ACCS"	50
"ACCSL"	1
"ACD"	131
"ACE"	80
"ACE2"	3
"ACER1"	1
"ACER2"	84
"ACER3"	1396
"ACHE"	314
"ACIN1"	1094
"ACKR1"	92
"ACKR2"	17
"ACKR3"	62
"ACKR4"	0
"ACLY"	1832
"ACMSD"	0
"ACO1"	596
"ACO2"	4304
"ACOD1"	0
"ACOT1"	64
"ACOT11"	249
"ACOT12"	2
"ACOT13"	314
"ACOT2"	185
"ACOT4"	39
"ACOT6"	0
"ACOT7"	1176
"ACOT8"	195
"ACOT9"	332
"ACOX1"	1845
"ACOX2"	28
"ACOX3"	379
"ACOXL"	0
"ACOXL-AS1"	14
"ACP1"	768
"ACP2"	269
"ACP4"	0
"ACP5"	10
"ACP6"	119
"ACP7"	83
"ACPP"	7
"ACR"	9
"ACRBP"	8
"ACRV1"	16
"ACSBG1"	890
"ACSBG2"	0
"ACSF2"	80
"ACSF3"	179
"ACSL1"	2692
"ACSL3"	4090
"ACSL4"	1718
"ACSL5"	117
"ACSL6"	3353
"ACSM1"	7
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	1
"ACSM4"	0
"ACSM5"	33
"ACSM6"	0
"ACSS1"	1089
"ACSS2"	660
"ACSS3"	539
"ACTA1"	3
"ACTA2"	44
"ACTA2-AS1"	121
"ACTB"	24569
"ACTBL2"	0
"ACTC1"	13
"ACTG1"	12688
"ACTG1P17"	9
"ACTG1P20"	23
"ACTG1P4"	102
"ACTG2"	0
"ACTL10"	3
"ACTL6A"	91
"ACTL6B"	314
"ACTL7A"	0
"ACTL7B"	3
"ACTL8"	4
"ACTL9"	0
"ACTN1"	1324
"ACTN1-AS1"	1
"ACTN2"	1023
"ACTN3"	1
"ACTN4"	2385
"ACTR10"	823
"ACTR1A"	2501
"ACTR1B"	1165
"ACTR2"	5074
"ACTR3"	1825
"ACTR3B"	642
"ACTR3BP2"	0
"ACTR3BP5"	0
"ACTR3C"	148
"ACTR5"	168
"ACTR6"	569
"ACTR8"	533
"ACTRT1"	0
"ACTRT2"	1
"ACTRT3"	25
"ACVR1"	256
"ACVR1B"	1015
"ACVR1C"	700
"ACVR2A"	639
"ACVR2B"	992
"ACVR2B-AS1"	22
"ACVRL1"	79
"ACY1"	37
"ACY3"	1
"ACYP1"	191
"ACYP2"	402
"ADA"	55
"ADA2"	197
"ADAD1"	0
"ADAD2"	13
"ADAL"	259
"ADAM10"	1862
"ADAM11"	852
"ADAM12"	166
"ADAM15"	493
"ADAM17"	696
"ADAM18"	0
"ADAM19"	479
