gene/TE	../../STAR_v252_mapping/CGND_12952/HRA-00925_PE.bam
"A1BG"	23
"A1BG-AS1"	147
"A1CF"	0
"A2M"	1271
"A2M-AS1"	61
"A2ML1"	27
"A2MP1"	2
"A3GALT2"	0
"A4GALT"	18
"A4GNT"	0
"AA06"	47
"AAAS"	170
"AACS"	1116
"AACSP1"	11
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	0
"AADACL3"	0
"AADACL4"	0
"AADACP1"	0
"AADAT"	265
"AAED1"	62
"AAGAB"	715
"AAK1"	9121
"AAMDC"	36
"AAMP"	633
"AANAT"	5
"AAR2"	154
"AARD"	16
"AARS"	3959
"AARS2"	466
"AARSD1"	155
"AASDH"	439
"AASDHPPT"	1950
"AASS"	243
"AATBC"	3
"AATF"	313
"AATK"	2354
"ABALON"	0
"ABAT"	4692
"ABCA1"	348
"ABCA10"	652
"ABCA11P"	291
"ABCA12"	9
"ABCA13"	0
"ABCA17P"	82
"ABCA2"	6034
"ABCA3"	2840
"ABCA4"	17
"ABCA5"	2630
"ABCA6"	517
"ABCA7"	297
"ABCA8"	297
"ABCA9"	529
"ABCA9-AS1"	0
"ABCB1"	224
"ABCB10"	365
"ABCB11"	3
"ABCB4"	9
"ABCB5"	0
"ABCB6"	370
"ABCB7"	263
"ABCB8"	544
"ABCB9"	495
"ABCC1"	483
"ABCC10"	335
"ABCC11"	5
"ABCC12"	105
"ABCC13"	1
"ABCC2"	15
"ABCC3"	22
"ABCC4"	194
"ABCC5"	2002
"ABCC5-AS1"	1
"ABCC6"	9
"ABCC6P1"	8
"ABCC6P2"	0
"ABCC8"	888
"ABCC9"	281
"ABCD1"	28
"ABCD2"	551
"ABCD3"	644
"ABCD4"	329
"ABCE1"	961
"ABCF1"	582
"ABCF2"	790
"ABCF3"	676
"ABCG1"	396
"ABCG2"	555
"ABCG4"	412
"ABCG5"	29
"ABCG8"	51
"ABHD1"	6
"ABHD10"	575
"ABHD11"	103
"ABHD11-AS1"	0
"ABHD12"	1189
"ABHD12B"	68
"ABHD13"	558
