gene/TE	../../STAR_v252_mapping/CGND_12922/HRA-00412_PE.bam
"A1BG"	19
"A1BG-AS1"	75
"A1CF"	0
"A2M"	1986
"A2M-AS1"	101
"A2ML1"	391
"A2MP1"	6
"A3GALT2"	1
"A4GALT"	9
"A4GNT"	0
"AA06"	57
"AAAS"	146
"AACS"	1121
"AACSP1"	12
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	0
"AADACL3"	0
"AADACL4"	1
"AADACP1"	0
"AADAT"	221
"AAED1"	87
"AAGAB"	998
"AAK1"	12169
"AAMDC"	58
"AAMP"	856
"AANAT"	1
"AAR2"	284
"AARD"	11
"AARS"	5098
"AARS2"	349
"AARSD1"	92
"AASDH"	864
"AASDHPPT"	2732
"AASS"	932
"AATBC"	1
"AATF"	516
"AATK"	2136
"ABALON"	11
"ABAT"	6057
"ABCA1"	962
"ABCA10"	961
"ABCA11P"	272
"ABCA12"	28
"ABCA13"	4
"ABCA17P"	113
"ABCA2"	5298
"ABCA3"	2098
"ABCA4"	11
"ABCA5"	3753
"ABCA6"	1011
"ABCA7"	134
"ABCA8"	1026
"ABCA9"	803
"ABCA9-AS1"	1
"ABCB1"	176
"ABCB10"	389
"ABCB11"	2
"ABCB4"	9
"ABCB5"	1
"ABCB6"	340
"ABCB7"	603
"ABCB8"	279
"ABCB9"	281
"ABCC1"	347
"ABCC10"	181
"ABCC11"	7
"ABCC12"	38
"ABCC13"	8
"ABCC2"	53
"ABCC3"	7
"ABCC4"	479
"ABCC5"	2157
"ABCC5-AS1"	0
"ABCC6"	9
"ABCC6P1"	7
"ABCC6P2"	0
"ABCC8"	400
"ABCC9"	950
"ABCD1"	54
"ABCD2"	1009
"ABCD3"	1610
"ABCD4"	211
"ABCE1"	1304
"ABCF1"	697
"ABCF2"	989
"ABCF3"	736
"ABCG1"	544
"ABCG2"	319
"ABCG4"	235
"ABCG5"	5
"ABCG8"	27
"ABHD1"	8
"ABHD10"	889
"ABHD11"	41
"ABHD11-AS1"	0
"ABHD12"	1150
"ABHD12B"	111
"ABHD13"	1318
"ABHD14A"	191
"ABHD14A-ACY1"	116
"ABHD14B"	60
"ABHD15"	117
"ABHD16A"	381
"ABHD16B"	0
"ABHD17A"	1786
"ABHD17B"	1311
"ABHD17C"	426
"ABHD18"	514
"ABHD2"	7981
"ABHD3"	179
"ABHD4"	281
"ABHD5"	826
"ABHD6"	720
"ABHD8"	1246
"ABI1"	1849
"ABI2"	6524
"ABI3"	60
"ABI3BP"	174
"ABL1"	952
"ABL2"	3251
"ABLIM1"	7609
"ABLIM2"	1455
"ABLIM3"	510
"ABO"	5
"ABR"	6054
"ABRA"	5
"ABRACL"	81
"ABRAXAS1"	80
"ABRAXAS2"	603
"ABT1"	145
"ABTB1"	461
"ABTB2"	207
"ACAA1"	408
"ACAA2"	524
"ACACA"	6386
"ACACB"	1116
"ACAD10"	264
"ACAD11"	591
"ACAD8"	359
"ACAD9"	453
"ACADL"	43
"ACADM"	1074
"ACADS"	118
"ACADSB"	1163
"ACADVL"	1474
"ACAN"	174
"ACAP1"	10
"ACAP2"	2252
"ACAP3"	981
"ACAT1"	803
"ACAT2"	706
"ACBD3"	905
"ACBD3-AS1"	0
"ACBD4"	110
"ACBD5"	2686
"ACBD6"	261
"ACBD7"	1579
"ACBD7-DCLRE1CP1"	119
"ACCS"	50
"ACCSL"	0
"ACD"	113
"ACE"	68
"ACE2"	10
"ACER1"	1
"ACER2"	179
"ACER3"	2421
"ACHE"	236
"ACIN1"	1454
"ACKR1"	76
"ACKR2"	10
"ACKR3"	130
"ACKR4"	7
"ACLY"	1976
"ACMSD"	0
"ACO1"	798
"ACO2"	4456
"ACOD1"	0
"ACOT1"	46
"ACOT11"	240
"ACOT12"	2
"ACOT13"	553
"ACOT2"	171
"ACOT4"	21
"ACOT6"	0
"ACOT7"	1010
"ACOT8"	243
"ACOT9"	436
"ACOX1"	2451
"ACOX2"	55
"ACOX3"	299
"ACOXL"	0
"ACOXL-AS1"	15
"ACP1"	920
"ACP2"	210
"ACP4"	0
"ACP5"	3
"ACP6"	185
"ACP7"	28
"ACPP"	14
"ACR"	5
"ACRBP"	5
"ACRV1"	19
"ACSBG1"	920
"ACSBG2"	0
"ACSF2"	105
"ACSF3"	178
"ACSL1"	1350
"ACSL3"	6341
"ACSL4"	2049
"ACSL5"	56
"ACSL6"	4162
"ACSM1"	16
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	1
"ACSM4"	0
"ACSM5"	24
"ACSM6"	0
"ACSS1"	574
"ACSS2"	679
"ACSS3"	901
"ACTA1"	5
"ACTA2"	21
"ACTA2-AS1"	244
"ACTB"	14746
"ACTBL2"	0
"ACTC1"	18
"ACTG1"	5964
"ACTG1P17"	5
"ACTG1P20"	53
"ACTG1P4"	107
"ACTG2"	0
"ACTL10"	5
"ACTL6A"	194
"ACTL6B"	203
"ACTL7A"	0
"ACTL7B"	1
"ACTL8"	1
"ACTL9"	0
"ACTN1"	1525
"ACTN1-AS1"	0
"ACTN2"	1031
"ACTN3"	3
"ACTN4"	2165
"ACTR10"	893
"ACTR1A"	2459
"ACTR1B"	935
"ACTR2"	7342
"ACTR3"	2591
"ACTR3B"	813
"ACTR3BP2"	0
"ACTR3BP5"	0
"ACTR3C"	289
"ACTR5"	209
"ACTR6"	698
"ACTR8"	807
"ACTRT1"	1
"ACTRT2"	0
"ACTRT3"	38
"ACVR1"	393
"ACVR1B"	924
"ACVR1C"	922
"ACVR2A"	1130
"ACVR2B"	786
"ACVR2B-AS1"	17
"ACVRL1"	26
"ACY1"	29
"ACY3"	6
"ACYP1"	197
"ACYP2"	577
"ADA"	92
"ADA2"	116
"ADAD1"	0
"ADAD2"	12
"ADAL"	469
"ADAM10"	3069
"ADAM11"	806
"ADAM12"	203
"ADAM15"	141
"ADAM17"	912
"ADAM18"	0
"ADAM19"	385
"ADAM1A"	181
"ADAM2"	0
"ADAM20"	260
"ADAM20P1"	205
"ADAM21"	11
"ADAM21P1"	1
"ADAM22"	8485
"ADAM23"	4401
"ADAM28"	268
"ADAM29"	5
"ADAM30"	0
"ADAM32"	506
"ADAM33"	36
"ADAM3A"	0
"ADAM3B"	9
"ADAM5"	8
"ADAM6"	0
"ADAM7"	0
"ADAM8"	11
"ADAM9"	1503
"ADAMDEC1"	0
"ADAMTS1"	993
"ADAMTS10"	163
"ADAMTS12"	8
"ADAMTS13"	86
"ADAMTS14"	14
"ADAMTS15"	8
"ADAMTS16"	81
"ADAMTS17"	129
"ADAMTS18"	117
"ADAMTS19"	278
"ADAMTS19-AS1"	4
"ADAMTS2"	231
"ADAMTS20"	7
"ADAMTS3"	265
"ADAMTS4"	164
"ADAMTS5"	67
"ADAMTS6"	126
"ADAMTS7"	16
"ADAMTS7P1"	8
"ADAMTS8"	129
"ADAMTS9"	125
"ADAMTS9-AS1"	12
"ADAMTS9-AS2"	102
"ADAMTSL1"	73
"ADAMTSL2"	274
"ADAMTSL3"	369
"ADAMTSL4"	12
"ADAMTSL4-AS1"	9
"ADAMTSL5"	33
"ADAP1"	1455
"ADAP2"	101
"ADAR"	7308
