gene/TE	../../STAR_v252_mapping/CGND_12893/HRA-00381-b38_PE.bam
"A1BG"	68
"A1BG-AS1"	103
"A1CF"	0
"A2M"	3873
"A2M-AS1"	182
"A2ML1"	207
"A2MP1"	2
"A3GALT2"	1
"A4GALT"	83
"A4GNT"	1
"AA06"	36
"AAAS"	240
"AACS"	513
"AACSP1"	9
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	1
"AADACL3"	0
"AADACL4"	0
"AADACP1"	1
"AADAT"	288
"AAED1"	96
"AAGAB"	653
"AAK1"	6484
"AAMDC"	107
"AAMP"	888
"AANAT"	0
"AAR2"	280
"AARD"	4
"AARS"	4039
"AARS2"	406
"AARSD1"	98
"AASDH"	751
"AASDHPPT"	1539
"AASS"	1112
"AATBC"	6
"AATF"	596
"AATK"	4304
"ABALON"	3
"ABAT"	4210
"ABCA1"	3437
"ABCA10"	409
"ABCA11P"	277
"ABCA12"	18
"ABCA13"	9
"ABCA17P"	78
"ABCA2"	22044
"ABCA3"	1892
"ABCA4"	3
"ABCA5"	2124
"ABCA6"	847
"ABCA7"	149
"ABCA8"	4569
"ABCA9"	467
"ABCA9-AS1"	0
"ABCB1"	248
"ABCB10"	384
"ABCB11"	4
"ABCB4"	12
"ABCB5"	0
"ABCB6"	269
"ABCB7"	505
"ABCB8"	409
"ABCB9"	265
"ABCC1"	420
"ABCC10"	248
"ABCC11"	33
"ABCC12"	23
"ABCC13"	0
"ABCC2"	32
"ABCC3"	47
"ABCC4"	392
"ABCC5"	1599
"ABCC5-AS1"	0
"ABCC6"	26
"ABCC6P1"	4
"ABCC6P2"	2
"ABCC8"	423
"ABCC9"	1607
"ABCD1"	100
"ABCD2"	459
"ABCD3"	1591
"ABCD4"	443
"ABCE1"	1211
"ABCF1"	720
"ABCF2"	870
"ABCF3"	655
"ABCG1"	1036
"ABCG2"	298
"ABCG4"	163
"ABCG5"	10
"ABCG8"	21
"ABHD1"	10
"ABHD10"	600
"ABHD11"	105
"ABHD11-AS1"	0
"ABHD12"	1384
"ABHD12B"	82
"ABHD13"	670
"ABHD14A"	172
"ABHD14A-ACY1"	113
"ABHD14B"	192
"ABHD15"	133
"ABHD16A"	476
"ABHD16B"	0
"ABHD17A"	1750
"ABHD17B"	1268
"ABHD17C"	365
"ABHD18"	423
"ABHD2"	4035
"ABHD3"	164
"ABHD4"	492
"ABHD5"	1391
"ABHD6"	798
"ABHD8"	590
"ABI1"	1675
"ABI2"	4828
"ABI3"	120
"ABI3BP"	194
"ABL1"	1738
"ABL2"	2231
"ABLIM1"	7119
"ABLIM2"	676
"ABLIM3"	795
"ABO"	6
"ABR"	5985
"ABRA"	1
"ABRACL"	48
"ABRAXAS1"	120
