gene/TE	../../STAR_v252_mapping/CGND_12893/HRA-00388-b38_PE.bam
"A1BG"	57
"A1BG-AS1"	90
"A1CF"	1
"A2M"	7137
"A2M-AS1"	154
"A2ML1"	134
"A2MP1"	1
"A3GALT2"	5
"A4GALT"	62
"A4GNT"	0
"AA06"	16
"AAAS"	313
"AACS"	486
"AACSP1"	10
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	2
"AADACL3"	0
"AADACL4"	0
"AADACP1"	1
"AADAT"	250
"AAED1"	120
"AAGAB"	610
"AAK1"	5111
"AAMDC"	139
"AAMP"	879
"AANAT"	1
"AAR2"	351
"AARD"	6
"AARS"	4010
"AARS2"	459
"AARSD1"	82
"AASDH"	860
"AASDHPPT"	1358
"AASS"	1546
"AATBC"	2
"AATF"	799
"AATK"	3708
"ABALON"	4
"ABAT"	3759
"ABCA1"	6738
"ABCA10"	300
"ABCA11P"	173
"ABCA12"	11
"ABCA13"	28
"ABCA17P"	121
"ABCA2"	22336
"ABCA3"	1467
"ABCA4"	2
"ABCA5"	1720
"ABCA6"	1252
"ABCA7"	126
"ABCA8"	6596
"ABCA9"	427
"ABCA9-AS1"	0
"ABCB1"	210
"ABCB10"	399
"ABCB11"	3
"ABCB4"	13
"ABCB5"	0
"ABCB6"	430
"ABCB7"	553
"ABCB8"	397
"ABCB9"	240
"ABCC1"	527
"ABCC10"	238
"ABCC11"	27
"ABCC12"	13
"ABCC13"	13
"ABCC2"	58
"ABCC3"	222
"ABCC4"	755
"ABCC5"	1842
"ABCC5-AS1"	0
"ABCC6"	41
"ABCC6P1"	7
"ABCC6P2"	2
"ABCC8"	328
"ABCC9"	1515
"ABCD1"	176
"ABCD2"	251
"ABCD3"	1633
"ABCD4"	587
"ABCE1"	1106
"ABCF1"	844
"ABCF2"	773
"ABCF3"	622
"ABCG1"	1164
"ABCG2"	307
"ABCG4"	65
"ABCG5"	5
"ABCG8"	21
"ABHD1"	30
"ABHD10"	504
"ABHD11"	101
"ABHD11-AS1"	0
"ABHD12"	1597
"ABHD12B"	93
"ABHD13"	696
"ABHD14A"	119
"ABHD14A-ACY1"	111
"ABHD14B"	181
"ABHD15"	206
"ABHD16A"	565
"ABHD16B"	0
"ABHD17A"	1454
"ABHD17B"	1345
"ABHD17C"	296
"ABHD18"	484
"ABHD2"	3904
"ABHD3"	222
"ABHD4"	819
"ABHD5"	1104
"ABHD6"	887
"ABHD8"	443
"ABI1"	1607
"ABI2"	4130
"ABI3"	370
"ABI3BP"	810
