gene/TE	../../BAM/CGND_13043/HRA-00248_PE.bam
"A1BG"	26
"A1BG-AS1"	109
"A1CF"	0
"A2M"	1113
"A2M-AS1"	85
"A2ML1"	105
"A2MP1"	0
"A3GALT2"	3
"A4GALT"	86
"A4GNT"	0
"AA06"	3
"AAAS"	178
"AACS"	835
"AACSP1"	2
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	1
"AADACL3"	0
"AADACL4"	0
"AADACP1"	1
"AADAT"	207
"AAED1"	43
"AAGAB"	536
"AAK1"	8878
"AAMDC"	41
"AAMP"	750
"AANAT"	1
"AAR2"	186
"AARD"	7
"AARS"	4671
"AARS2"	314
"AARSD1"	80
"AASDH"	468
"AASDHPPT"	1917
"AASS"	371
"AATBC"	4
"AATF"	459
"AATK"	1724
"ABALON"	1
"ABAT"	5309
"ABCA1"	656
"ABCA10"	338
"ABCA11P"	137
"ABCA12"	6
"ABCA13"	2
"ABCA17P"	79
"ABCA2"	5216
"ABCA3"	2077
"ABCA4"	10
"ABCA5"	1873
"ABCA6"	367
"ABCA7"	108
"ABCA8"	838
"ABCA9"	335
"ABCA9-AS1"	1
"ABCB1"	218
"ABCB10"	207
"ABCB11"	2
"ABCB4"	6
"ABCB5"	1
"ABCB6"	224
"ABCB7"	370
"ABCB8"	264
"ABCB9"	312
"ABCC1"	286
"ABCC10"	173
"ABCC11"	4
"ABCC12"	35
"ABCC13"	4
"ABCC2"	21
"ABCC3"	3
"ABCC4"	255
"ABCC5"	1820
"ABCC5-AS1"	0
"ABCC6"	15
"ABCC6P1"	8
"ABCC6P2"	1
"ABCC8"	363
"ABCC9"	868
"ABCD1"	42
"ABCD2"	692
"ABCD3"	851
"ABCD4"	291
"ABCE1"	782
"ABCF1"	550
"ABCF2"	765
"ABCF3"	527
"ABCG1"	701
"ABCG2"	242
"ABCG4"	251
"ABCG5"	10
"ABCG8"	31
"ABHD1"	6
"ABHD10"	468
"ABHD11"	41
"ABHD11-AS1"	0
"ABHD12"	778
"ABHD12B"	51
"ABHD13"	962
"ABHD14A"	194
"ABHD14A-ACY1"	89
"ABHD14B"	71
"ABHD15"	66
"ABHD16A"	376
"ABHD16B"	0
"ABHD17A"	972
"ABHD17B"	630
"ABHD17C"	298
"ABHD18"	239
"ABHD2"	4520
"ABHD3"	168
"ABHD4"	235
"ABHD5"	403
"ABHD6"	483
"ABHD8"	1417
"ABI1"	1647
"ABI2"	6357
"ABI3"	70
"ABI3BP"	133
"ABL1"	964
"ABL2"	2205
"ABLIM1"	5281
"ABLIM2"	1825
"ABLIM3"	459
"ABO"	8
"ABR"	8449
"ABRA"	3
"ABRACL"	76
"ABRAXAS1"	57
"ABRAXAS2"	353
"ABT1"	110
"ABTB1"	438
"ABTB2"	145
"ACAA1"	338
"ACAA2"	311
"ACACA"	3916
"ACACB"	587
"ACAD10"	167
"ACAD11"	242
"ACAD8"	299
"ACAD9"	312
"ACADL"	52
"ACADM"	691
"ACADS"	70
"ACADSB"	647
"ACADVL"	883
"ACAN"	78
"ACAP1"	6
"ACAP2"	1528
"ACAP3"	1059
"ACAT1"	471
"ACAT2"	179
"ACBD3"	854
"ACBD3-AS1"	0
"ACBD4"	101
"ACBD5"	1503
"ACBD6"	209
"ACBD7"	1463
"ACBD7-DCLRE1CP1"	93
"ACCS"	44
"ACCSL"	0
"ACD"	139
"ACE"	77
"ACE2"	0
"ACER1"	0
"ACER2"	148
"ACER3"	953
"ACHE"	298
"ACIN1"	1804
"ACKR1"	158
"ACKR2"	15
"ACKR3"	146
"ACKR4"	1
"ACLY"	1144
"ACMSD"	0
"ACO1"	532
"ACO2"	3065
"ACOD1"	0
"ACOT1"	35
"ACOT11"	181
"ACOT12"	1
"ACOT13"	332
"ACOT2"	130
"ACOT4"	29
"ACOT6"	1
"ACOT7"	1220
"ACOT8"	158
"ACOT9"	259
"ACOX1"	1708
"ACOX2"	53
"ACOX3"	275
"ACOXL"	0
"ACOXL-AS1"	4
"ACP1"	679
"ACP2"	134
"ACP4"	0
"ACP5"	2
"ACP6"	105
"ACP7"	13
"ACPP"	31
"ACR"	2
"ACRBP"	9
"ACRV1"	20
"ACSBG1"	621
"ACSBG2"	0
"ACSF2"	85
"ACSF3"	181
"ACSL1"	659
"ACSL3"	4863
"ACSL4"	1982
"ACSL5"	132
"ACSL6"	2703
"ACSM1"	1
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	0
"ACSM4"	0
"ACSM5"	18
"ACSM6"	0
"ACSS1"	785
"ACSS2"	282
"ACSS3"	713
"ACTA1"	10
"ACTA2"	77
"ACTA2-AS1"	194
"ACTB"	18010
"ACTBL2"	0
"ACTC1"	26
"ACTG1"	6747
"ACTG1P17"	2
