gene/TE	../../BAM/CGND_13028/HRA-00250_PE.bam
"A1BG"	39
"A1BG-AS1"	74
"A1CF"	0
"A2M"	3456
"A2M-AS1"	107
"A2ML1"	139
"A2MP1"	5
"A3GALT2"	1
"A4GALT"	94
"A4GNT"	0
"AA06"	39
"AAAS"	199
"AACS"	966
"AACSP1"	11
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	0
"AADACL3"	0
"AADACL4"	0
"AADACP1"	0
"AADAT"	359
"AAED1"	137
"AAGAB"	1111
"AAK1"	10919
"AAMDC"	74
"AAMP"	1036
"AANAT"	5
"AAR2"	316
"AARD"	7
"AARS"	5535
"AARS2"	476
"AARSD1"	172
"AASDH"	985
"AASDHPPT"	2701
"AASS"	837
"AATBC"	2
"AATF"	564
"AATK"	2280
"ABALON"	2
"ABAT"	7361
"ABCA1"	588
"ABCA10"	1023
"ABCA11P"	326
"ABCA12"	23
"ABCA13"	9
"ABCA17P"	95
"ABCA2"	6346
"ABCA3"	3263
"ABCA4"	24
"ABCA5"	3504
"ABCA6"	796
"ABCA7"	173
"ABCA8"	661
"ABCA9"	758
"ABCA9-AS1"	0
"ABCB1"	522
"ABCB10"	441
"ABCB11"	5
"ABCB4"	6
"ABCB5"	1
"ABCB6"	355
"ABCB7"	626
"ABCB8"	372
"ABCB9"	414
"ABCC1"	395
"ABCC10"	192
"ABCC11"	22
"ABCC12"	54
"ABCC13"	0
"ABCC2"	23
"ABCC3"	8
"ABCC4"	647
"ABCC5"	2240
"ABCC5-AS1"	1
"ABCC6"	11
"ABCC6P1"	8
"ABCC6P2"	3
"ABCC8"	618
"ABCC9"	2435
"ABCD1"	59
"ABCD2"	913
"ABCD3"	1581
"ABCD4"	374
"ABCE1"	1570
"ABCF1"	788
"ABCF2"	1123
"ABCF3"	906
"ABCG1"	606
"ABCG2"	762
"ABCG4"	332
"ABCG5"	13
"ABCG8"	28
"ABHD1"	14
"ABHD10"	871
"ABHD11"	105
"ABHD11-AS1"	0
"ABHD12"	1357
"ABHD12B"	109
"ABHD13"	989
"ABHD14A"	280
"ABHD14A-ACY1"	160
"ABHD14B"	137
"ABHD15"	87
"ABHD16A"	513
"ABHD16B"	0
"ABHD17A"	1603
"ABHD17B"	805
"ABHD17C"	481
"ABHD18"	473
"ABHD2"	6402
"ABHD3"	187
"ABHD4"	374
"ABHD5"	764
"ABHD6"	623
"ABHD8"	1176
"ABI1"	2302
"ABI2"	7894
"ABI3"	165
"ABI3BP"	130
"ABL1"	943
"ABL2"	2777
"ABLIM1"	7836
"ABLIM2"	1402
"ABLIM3"	764
"ABO"	8
"ABR"	9339
"ABRA"	3
"ABRACL"	131
"ABRAXAS1"	108
"ABRAXAS2"	541
"ABT1"	170
"ABTB1"	572
"ABTB2"	103
"ACAA1"	691
"ACAA2"	684
"ACACA"	5175
"ACACB"	583
"ACAD10"	288
"ACAD11"	543
"ACAD8"	432
"ACAD9"	649
"ACADL"	95
"ACADM"	1226
"ACADS"	157
"ACADSB"	1616
"ACADVL"	1475
"ACAN"	147
"ACAP1"	17
"ACAP2"	2108
"ACAP3"	1301
"ACAT1"	979
"ACAT2"	663
"ACBD3"	1037
"ACBD3-AS1"	0
"ACBD4"	197
"ACBD5"	2145
"ACBD6"	324
"ACBD7"	1972
"ACBD7-DCLRE1CP1"	134
"ACCS"	76
"ACCSL"	5
"ACD"	178
"ACE"	145
"ACE2"	17
"ACER1"	0
"ACER2"	155
"ACER3"	1449
"ACHE"	285
"ACIN1"	1603
"ACKR1"	154
"ACKR2"	24
"ACKR3"	130
"ACKR4"	2
"ACLY"	2392
"ACMSD"	0
"ACO1"	920
"ACO2"	5452
"ACOD1"	0
"ACOT1"	95
"ACOT11"	327
"ACOT12"	10
"ACOT13"	485
"ACOT2"	311
"ACOT4"	61
"ACOT6"	3
"ACOT7"	1404
"ACOT8"	278
"ACOT9"	670
"ACOX1"	2991
"ACOX2"	55
"ACOX3"	479
"ACOXL"	0
"ACOXL-AS1"	17
"ACP1"	1174
"ACP2"	397
"ACP4"	0
"ACP5"	2
"ACP6"	177
"ACP7"	7
"ACPP"	58
"ACR"	5
"ACRBP"	7
"ACRV1"	27
"ACSBG1"	1604
"ACSBG2"	1
"ACSF2"	114
"ACSF3"	186
"ACSL1"	1304
"ACSL3"	5551
"ACSL4"	2412
"ACSL5"	341
"ACSL6"	4769
"ACSM1"	10
"ACSM2A"	0
"ACSM2B"	1
"ACSM3"	6
"ACSM4"	0
"ACSM5"	61
"ACSM6"	0
"ACSS1"	874
"ACSS2"	541
"ACSS3"	921
"ACTA1"	8
"ACTA2"	339
"ACTA2-AS1"	240
"ACTB"	33252
"ACTBL2"	0
"ACTC1"	30
"ACTG1"	17706
"ACTG1P17"	5
"ACTG1P20"	39
"ACTG1P4"	114
"ACTG2"	59
"ACTL10"	5
"ACTL6A"	151
"ACTL6B"	362
"ACTL7A"	0
"ACTL7B"	2
"ACTL8"	1
"ACTL9"	0
"ACTN1"	2209
"ACTN1-AS1"	1
"ACTN2"	1077
"ACTN3"	0
"ACTN4"	2496
"ACTR10"	1308
"ACTR1A"	3006
"ACTR1B"	1505
"ACTR2"	7776
"ACTR3"	2619
"ACTR3B"	907
"ACTR3BP2"	0
"ACTR3BP5"	0
"ACTR3C"	214
"ACTR5"	194
"ACTR6"	760
"ACTR8"	913
"ACTRT1"	4
"ACTRT2"	0
"ACTRT3"	53
"ACVR1"	467
"ACVR1B"	1493
"ACVR1C"	923
"ACVR2A"	1026
"ACVR2B"	1136
"ACVR2B-AS1"	30
"ACVRL1"	148
"ACY1"	46
"ACY3"	1
"ACYP1"	226
"ACYP2"	494
"ADA"	31
"ADA2"	241
"ADAD1"	0
"ADAD2"	8
"ADAL"	338
"ADAM10"	2483
"ADAM11"	1023
"ADAM12"	144
"ADAM15"	495
"ADAM17"	914
"ADAM18"	0
"ADAM19"	339
"ADAM1A"	127
"ADAM2"	0
"ADAM20"	250
"ADAM20P1"	247
"ADAM21"	13
"ADAM21P1"	0
"ADAM22"	7827
"ADAM23"	4411
"ADAM28"	314
"ADAM29"	12
"ADAM30"	0
"ADAM32"	319
"ADAM33"	45
"ADAM3A"	0
"ADAM3B"	4
"ADAM5"	6
"ADAM6"	0
"ADAM7"	0
"ADAM8"	19
"ADAM9"	1766
"ADAMDEC1"	0
"ADAMTS1"	757
"ADAMTS10"	234
"ADAMTS12"	18
"ADAMTS13"	123
"ADAMTS14"	15
"ADAMTS15"	21
"ADAMTS16"	81
"ADAMTS17"	153
"ADAMTS18"	65
"ADAMTS19"	349
"ADAMTS19-AS1"	14
"ADAMTS2"	107
"ADAMTS20"	14
"ADAMTS3"	342
"ADAMTS4"	294
"ADAMTS5"	59
"ADAMTS6"	133
"ADAMTS7"	19
"ADAMTS7P1"	37
"ADAMTS8"	177
"ADAMTS9"	774
"ADAMTS9-AS1"	20
"ADAMTS9-AS2"	169
"ADAMTSL1"	94
"ADAMTSL2"	211
"ADAMTSL3"	288
"ADAMTSL4"	34
"ADAMTSL4-AS1"	10
"ADAMTSL5"	16
"ADAP1"	1269
"ADAP2"	150
"ADAR"	8297
"ADARB1"	1559
"ADARB2"	702
"ADARB2-AS1"	11
"ADAT1"	779
"ADAT2"	154
"ADAT3"	50
"ADCK1"	105
"ADCK2"	396
"ADCK5"	81
"ADCY1"	10659
"ADCY10"	81
"ADCY10P1"	230
"ADCY2"	4986
"ADCY3"	1168
"ADCY4"	35
"ADCY5"	1879
"ADCY6"	646
"ADCY7"	332
"ADCY8"	891
"ADCY9"	1103
"ADCYAP1"	276
"ADCYAP1R1"	4564
"ADD1"	6723
"ADD2"	4679
"ADD3"	7721
"ADD3-AS1"	29
"ADGB"	4
"ADGRA1"	644
"ADGRA1-AS1"	17
"ADGRA2"	198
"ADGRA3"	1631
"ADGRB1"	1602
"ADGRB2"	3232
"ADGRB3"	6871
"ADGRD1"	37
"ADGRD1-AS1"	0
"ADGRE1"	70
"ADGRE2"	139
"ADGRE3"	1
"ADGRE4P"	19
"ADGRE5"	74
"ADGRF1"	1
"ADGRF2"	5
"ADGRF3"	22
"ADGRF4"	5
"ADGRF5"	988
"ADGRG1"	3640
"ADGRG2"	1
"ADGRG3"	0
"ADGRG4"	3
"ADGRG5"	5
"ADGRG6"	107
"ADGRG7"	0
"ADGRL1"	5191
"ADGRL2"	3785
"ADGRL3"	6803
"ADGRL3-AS1"	0
"ADGRL4"	226
"ADGRV1"	8702
"ADH1A"	0
"ADH1B"	55
"ADH1C"	1
"ADH4"	1
"ADH5"	1983
"ADH6"	0
"ADH7"	0
"ADHFE1"	407
"ADI1"	589
"ADIG"	4
"ADIPOQ"	0
"ADIPOQ-AS1"	0
"ADIPOR1"	1100
"ADIPOR2"	1629
"ADIRF"	336
"ADK"	608
"ADM"	24
"ADM2"	2
"ADM5"	5
"ADNP"	3124
"ADNP-AS1"	13
"ADNP2"	728
"ADO"	1038
"ADORA1"	605
"ADORA2A"	21
"ADORA2A-AS1"	1
"ADORA2B"	209
"ADORA3"	154
"ADPGK"	473
"ADPGK-AS1"	16
"ADPRH"	85
"ADPRHL1"	141
"ADPRHL2"	184
"ADPRM"	158
"ADRA1A"	605
"ADRA1B"	182
"ADRA1D"	39
"ADRA2A"	145
"ADRA2B"	4
"ADRA2C"	35
"ADRB1"	362
"ADRB2"	95
"ADRB3"	6
"ADRM1"	562
"ADSL"	308
"ADSS"	1321
"ADSSL1"	68
"ADTRP"	24
"AEBP1"	1377
"AEBP2"	1459
"AEN"	176
"AES"	5530
"AFAP1"	962
"AFAP1-AS1"	33
"AFAP1L1"	67
"AFAP1L2"	550
"AFDN"	3177
"AFDN-DT"	16
"AFF1"	2012
"AFF1-AS1"	59
"AFF2"	1377
"AFF3"	2289
"AFF4"	6754
"AFG1L"	347
"AFG3L1P"	137
"AFG3L2"	1554
"AFM"	0
"AFMID"	255
"AFP"	1
"AFTPH"	1873
"AGA"	185
"AGAP1"	5759
"AGAP1-IT1"	13
"AGAP11"	59
"AGAP12P"	34
"AGAP2"	7028
"AGAP2-AS1"	13
"AGAP3"	2818
"AGAP4"	182
"AGAP5"	99
"AGAP6"	218
"AGAP7P"	76
"AGAP9"	119
"AGBL1"	18
"AGBL1-AS1"	0
"AGBL2"	5
"AGBL3"	148
"AGBL4"	385
"AGBL4-IT1"	73
"AGBL5"	262
"AGBL5-AS1"	1
"AGER"	10
"AGFG1"	3316
"AGFG2"	631
"AGGF1"	1663
"AGK"	933
"AGL"	2225
"AGMAT"	59
"AGMO"	20
"AGO1"	1809
"AGO2"	2513
"AGO3"	987
"AGO4"	1347
"AGPAT1"	1068
"AGPAT2"	121
"AGPAT3"	3152
"AGPAT4"	1354
"AGPAT4-IT1"	46
"AGPAT5"	1285
"AGPS"	1708
"AGR2"	0
"AGR3"	1
"AGRN"	980
"AGRP"	2
"AGT"	4226
"AGTPBP1"	4901
"AGTR1"	2
"AGTR2"	1
"AGTRAP"	134
"AGXT"	0
"AGXT2"	0
"AHCTF1"	3979
"AHCTF1P1"	31
"AHCY"	761
"AHCYL1"	19632
"AHCYL2"	3327
"AHDC1"	1343
"AHI1"	4667
"AHNAK"	19527
"AHNAK2"	4173
"AHR"	866
"AHRR"	139
"AHSA1"	1584
"AHSA2P"	537
"AHSG"	3
"AHSP"	1
"AICDA"	0
"AIDA"	1989
"AIF1"	368
"AIF1L"	1700
"AIFM1"	408
"AIFM2"	169
"AIFM3"	965
"AIG1"	841
"AIM2"	14
"AIMP1"	563
"AIMP2"	158
"AIP"	334
"AIPL1"	4
"AIRE"	11
"AIRN"	9
"AJAP1"	806
"AJM1"	798
"AJUBA"	22
"AK1"	549
"AK2"	1045
"AK3"	1576
"AK4"	2871
"AK5"	7467
"AK6"	322
"AK7"	69
"AK8"	51
"AK9"	638
"AKAIN1"	35
"AKAP1"	1069
"AKAP10"	1996
"AKAP11"	16505
"AKAP12"	10553
"AKAP13"	2779
"AKAP14"	4
"AKAP17A"	164
"AKAP2"	935
"AKAP3"	45
"AKAP4"	0
"AKAP5"	1967
"AKAP6"	13014
"AKAP7"	756
"AKAP8"	560
"AKAP8L"	860
"AKAP9"	7490
"AKIP1"	197
"AKIRIN1"	1562
"AKIRIN2"	823
"AKNA"	415
"AKNAD1"	9
"AKR1A1"	429
"AKR1B1"	1133
"AKR1B10"	0
"AKR1B15"	0
"AKR1C1"	166
"AKR1C2"	133
"AKR1C3"	191
"AKR1C4"	0
"AKR1C6P"	0
"AKR1C8P"	0
"AKR1D1"	0
"AKR1E2"	167
"AKR7A2"	666
"AKR7A2P1"	3
"AKR7A3"	48
"AKR7L"	21
"AKT1"	1191
"AKT1S1"	317
"AKT2"	666
"AKT3"	10649
"AKTIP"	1385
"ALAD"	1401
"ALAS1"	889
"ALAS2"	19
"ALB"	18
"ALCAM"	2677
"ALDH16A1"	134
"ALDH18A1"	685
"ALDH1A1"	1406
"ALDH1A2"	72
"ALDH1A3"	212
"ALDH1B1"	260
"ALDH1L1"	2402
"ALDH1L1-AS1"	1
"ALDH1L1-AS2"	55
"ALDH1L2"	612
"ALDH2"	4472
"ALDH3A1"	1
"ALDH3A2"	2137
"ALDH3B1"	42
"ALDH3B2"	0
"ALDH4A1"	1277
"ALDH5A1"	3058
"ALDH6A1"	5648
"ALDH7A1"	2185
"ALDH8A1"	135
"ALDH9A1"	1354
"ALDOA"	13122
"ALDOB"	2
"ALDOC"	10667
"ALG1"	203
"ALG10"	223
"ALG10B"	623
"ALG11"	413
"ALG12"	160
"ALG13"	1039
"ALG14"	132
"ALG1L"	10
"ALG1L2"	6
"ALG1L9P"	120
"ALG2"	396
"ALG3"	125
"ALG5"	226
"ALG6"	292
"ALG8"	317
"ALG9"	818
"ALK"	177
"ALKAL1"	1
"ALKAL2"	10
"ALKBH1"	213
"ALKBH2"	109
"ALKBH3"	313
"ALKBH3-AS1"	0
"ALKBH4"	173
"ALKBH5"	2223
"ALKBH6"	167
"ALKBH7"	199
"ALKBH8"	381
"ALLC"	1
"ALMS1"	4763
"ALMS1-IT1"	41
"ALMS1P1"	108
"ALOX12"	0
"ALOX12-AS1"	58
"ALOX12B"	33
"ALOX12P2"	65
"ALOX15"	5
"ALOX15B"	38
"ALOX15P1"	19
"ALOX5"	186
"ALOX5AP"	150
"ALOXE3"	30
"ALPI"	0
"ALPK1"	202
"ALPK2"	8
"ALPK3"	152
"ALPL"	307
"ALPP"	0
"ALPPL2"	0
"ALS2"	2831
"ALS2CL"	128
"ALS2CR12"	235
"ALX1"	1
"ALX3"	5
"ALX4"	5
"ALYREF"	191
"AMACR"	202
"AMBN"	0
"AMBP"	0
"AMBRA1"	1003
"AMD1"	3017
"AMDHD1"	16
"AMDHD2"	114
"AMELX"	0
"AMELY"	0
"AMER1"	314
"AMER2"	5176
"AMER3"	962
"AMFR"	2369
"AMH"	11
"AMHR2"	0
"AMIGO1"	1708
"AMIGO2"	234
"AMIGO3"	27
"AMMECR1"	229
"AMMECR1L"	408
"AMN"	2
"AMN1"	844
"AMOT"	3246
"AMOTL1"	1062
"AMOTL2"	721
"AMPD1"	0
"AMPD2"	1306
"AMPD3"	497
"AMPH"	3589
"AMT"	86
"AMTN"	0
"AMY1A"	2
"AMY1B"	2
"AMY1C"	0
"AMY2A"	47
"AMY2B"	1230
"AMZ1"	204
"AMZ2"	1789
"AMZ2P1"	465
"ANAPC1"	2218
"ANAPC10"	303
"ANAPC11"	332
"ANAPC13"	832
"ANAPC15"	200
"ANAPC16"	641
"ANAPC1P1"	5
"ANAPC2"	376
"ANAPC4"	970
"ANAPC5"	1683
"ANAPC7"	977
"ANG"	18
"ANGEL1"	899
"ANGEL2"	1160
"ANGPT1"	187
"ANGPT2"	238
"ANGPT4"	7
"ANGPTL1"	43
"ANGPTL2"	110
"ANGPTL3"	0
"ANGPTL4"	787
"ANGPTL5"	6
"ANGPTL6"	8
"ANGPTL7"	3
"ANGPTL8"	2
"ANHX"	0
"ANK1"	879
"ANK2"	42505
"ANK3"	16679
"ANKAR"	481
"ANKDD1A"	403
"ANKDD1B"	34
"ANKEF1"	71
"ANKFN1"	99
"ANKFY1"	2323
"ANKH"	3573
"ANKHD1"	1708
"ANKHD1-EIF4EBP3"	1674
"ANKIB1"	3744
"ANKK1"	3
"ANKLE1"	18
"ANKLE2"	1012
"ANKMY1"	158
"ANKMY2"	1344
"ANKRA2"	263
"ANKRD1"	1
"ANKRD10"	1853
"ANKRD11"	3229
"ANKRD12"	8460
"ANKRD13A"	714
"ANKRD13B"	328
"ANKRD13C"	1596
"ANKRD13D"	471
"ANKRD16"	341
"ANKRD17"	7377
"ANKRD18A"	411
"ANKRD18B"	442
"ANKRD18CP"	421
"ANKRD18DP"	75
"ANKRD19P"	240
"ANKRD2"	26
"ANKRD20A1"	130
"ANKRD20A11P"	43
"ANKRD20A12P"	54
"ANKRD20A19P"	4
"ANKRD20A2"	177
"ANKRD20A3"	443
"ANKRD20A4"	285
"ANKRD20A4-ANKRD20A20P"	920
"ANKRD20A5P"	323
"ANKRD20A8P"	73
"ANKRD20A9P"	25
"ANKRD22"	8
"ANKRD23"	79
"ANKRD24"	595
"ANKRD26"	2567
"ANKRD26P1"	7
"ANKRD26P3"	26
"ANKRD27"	993
"ANKRD28"	2278
"ANKRD29"	432
"ANKRD30A"	18
"ANKRD30B"	545
"ANKRD30BL"	352
"ANKRD30BP2"	4
"ANKRD30BP3"	0
"ANKRD31"	67
"ANKRD33"	3
"ANKRD33B"	1581
"ANKRD34A"	477
"ANKRD34B"	23
"ANKRD34C"	302
"ANKRD34C-AS1"	40
"ANKRD35"	246
"ANKRD36"	6838
"ANKRD36B"	1775
"ANKRD36BP1"	0
"ANKRD36BP2"	621
"ANKRD36C"	4832
"ANKRD37"	88
"ANKRD39"	120
"ANKRD40"	2885
"ANKRD42"	932
"ANKRD44"	613
"ANKRD44-IT1"	43
"ANKRD45"	221
"ANKRD46"	1843
"ANKRD49"	261
"ANKRD50"	1576
"ANKRD52"	1702
"ANKRD53"	3
"ANKRD54"	232
"ANKRD55"	43
"ANKRD6"	746
"ANKRD60"	0
"ANKRD61"	1
"ANKRD62"	135
"ANKRD62P1-PARP4P3"	17
"ANKRD63"	74
"ANKRD65"	181
"ANKRD66"	4
"ANKRD7"	77
"ANKRD9"	767
"ANKS1A"	743
"ANKS1B"	5307
"ANKS3"	218
"ANKS4B"	0
"ANKS6"	393
"ANKUB1"	12
"ANKZF1"	309
"ANLN"	1740
"ANO1"	40
"ANO1-AS2"	0
"ANO10"	627
"ANO2"	63
"ANO3"	1525
"ANO4"	972
"ANO5"	3395
"ANO6"	1661
"ANO7"	28
"ANO8"	679
"ANO9"	1
"ANOS1"	1967
"ANP32A"	1573
"ANP32A-IT1"	54
"ANP32AP1"	1
"ANP32B"	1066
"ANP32C"	28
"ANP32D"	6
"ANP32E"	2101
"ANPEP"	20
"ANTXR1"	2174
"ANTXR2"	182
"ANTXRL"	2
"ANTXRLP1"	0
"ANXA1"	469
"ANXA10"	0
"ANXA11"	1744
"ANXA13"	4
"ANXA2"	485
"ANXA2P1"	1
"ANXA2P2"	1
"ANXA2P3"	26
"ANXA2R"	12
"ANXA3"	109
"ANXA4"	356
"ANXA5"	1335
