gene/TE	../../STAR_v252_mapping/CGND_12893/HRA-00382-b38_PE.bam
"A1BG"	79
"A1BG-AS1"	161
"A1CF"	0
"A2M"	3598
"A2M-AS1"	133
"A2ML1"	160
"A2MP1"	3
"A3GALT2"	3
"A4GALT"	60
"A4GNT"	0
"AA06"	11
"AAAS"	338
"AACS"	939
"AACSP1"	8
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	0
"AADACL3"	0
"AADACL4"	0
"AADACP1"	0
"AADAT"	298
"AAED1"	97
"AAGAB"	967
"AAK1"	7743
"AAMDC"	115
"AAMP"	1539
"AANAT"	4
"AAR2"	368
"AARD"	8
"AARS"	6472
"AARS2"	693
"AARSD1"	185
"AASDH"	752
"AASDHPPT"	1995
"AASS"	1000
"AATBC"	7
"AATF"	872
"AATK"	6124
"ABALON"	2
"ABAT"	7332
"ABCA1"	1568
"ABCA10"	302
"ABCA11P"	268
"ABCA12"	12
"ABCA13"	3
"ABCA17P"	72
"ABCA2"	26273
"ABCA3"	3063
"ABCA4"	5
"ABCA5"	1915
"ABCA6"	663
"ABCA7"	152
"ABCA8"	5078
"ABCA9"	272
"ABCA9-AS1"	1
"ABCB1"	209
"ABCB10"	367
"ABCB11"	4
"ABCB4"	6
"ABCB5"	0
"ABCB6"	432
"ABCB7"	526
"ABCB8"	572
"ABCB9"	288
"ABCC1"	438
"ABCC10"	213
"ABCC11"	38
"ABCC12"	52
"ABCC13"	0
"ABCC2"	25
"ABCC3"	26
"ABCC4"	408
"ABCC5"	1429
"ABCC5-AS1"	0
"ABCC6"	16
"ABCC6P1"	7
"ABCC6P2"	0
"ABCC8"	479
"ABCC9"	1471
"ABCD1"	148
"ABCD2"	697
"ABCD3"	1698
"ABCD4"	439
"ABCE1"	1427
"ABCF1"	1229
"ABCF2"	1396
"ABCF3"	1016
"ABCG1"	874
"ABCG2"	265
"ABCG4"	271
"ABCG5"	7
"ABCG8"	24
"ABHD1"	22
"ABHD10"	887
"ABHD11"	108
"ABHD11-AS1"	0
"ABHD12"	2240
"ABHD12B"	107
"ABHD13"	555
"ABHD14A"	329
"ABHD14A-ACY1"	218
"ABHD14B"	219
"ABHD15"	176
"ABHD16A"	707
"ABHD16B"	0
"ABHD17A"	3385
"ABHD17B"	1665
"ABHD17C"	410
"ABHD18"	407
"ABHD2"	4619
