gene/TE	../../STAR_v252_mapping/CGND_12675/HRA-00217_PE.bam
"A1BG"	49
"A1BG-AS1"	75
"A1CF"	0
"A2M"	3572
"A2M-AS1"	98
"A2ML1"	42
"A2MP1"	2
"A3GALT2"	0
"A4GALT"	31
"A4GNT"	0
"AA06"	8
"AAAS"	208
"AACS"	482
"AACSP1"	10
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	0
"AADACL3"	1
"AADACL4"	0
"AADACP1"	0
"AADAT"	185
"AAED1"	86
"AAGAB"	684
"AAK1"	6119
"AAMDC"	109
"AAMP"	806
"AANAT"	0
"AAR2"	250
"AARD"	8
"AARS"	4010
"AARS2"	294
"AARSD1"	103
"AASDH"	479
"AASDHPPT"	1749
"AASS"	917
"AATBC"	3
"AATF"	441
"AATK"	5500
"ABALON"	1
"ABAT"	3929
"ABCA1"	374
"ABCA10"	408
"ABCA11P"	215
"ABCA12"	7
"ABCA13"	4
"ABCA17P"	38
"ABCA2"	22060
"ABCA3"	2200
"ABCA4"	7
"ABCA5"	1889
"ABCA6"	827
"ABCA7"	134
"ABCA8"	2502
"ABCA9"	360
"ABCA9-AS1"	0
"ABCB1"	174
"ABCB10"	273
"ABCB11"	0
"ABCB4"	14
"ABCB5"	0
"ABCB6"	258
"ABCB7"	407
"ABCB8"	303
"ABCB9"	292
"ABCC1"	352
"ABCC10"	182
"ABCC11"	14
"ABCC12"	21
"ABCC13"	6
"ABCC2"	23
"ABCC3"	10
"ABCC4"	545
"ABCC5"	994
"ABCC5-AS1"	1
"ABCC6"	17
"ABCC6P1"	3
"ABCC6P2"	1
"ABCC8"	351
"ABCC9"	1204
"ABCD1"	90
"ABCD2"	417
"ABCD3"	1210
"ABCD4"	384
"ABCE1"	1258
"ABCF1"	620
"ABCF2"	751
"ABCF3"	568
"ABCG1"	617
"ABCG2"	275
"ABCG4"	209
"ABCG5"	4
"ABCG8"	11
"ABHD1"	3
"ABHD10"	733
"ABHD11"	86
"ABHD11-AS1"	0
"ABHD12"	1340
"ABHD12B"	76
"ABHD13"	582
"ABHD14A"	194
"ABHD14A-ACY1"	108
"ABHD14B"	121
"ABHD15"	98
"ABHD16A"	414
"ABHD16B"	0
"ABHD17A"	1276
"ABHD17B"	1282
"ABHD17C"	274
"ABHD18"	347
"ABHD2"	3642
"ABHD3"	129
"ABHD4"	330
"ABHD5"	645
"ABHD6"	737
"ABHD8"	627
"ABI1"	1576
"ABI2"	5289
"ABI3"	170
"ABI3BP"	328
"ABL1"	1403
"ABL2"	1964
"ABLIM1"	5261
"ABLIM2"	841
"ABLIM3"	603
"ABO"	8
"ABR"	6565
"ABRA"	0
"ABRACL"	115
"ABRAXAS1"	82
"ABRAXAS2"	435
"ABT1"	120
"ABTB1"	442
"ABTB2"	185
"ACAA1"	559
"ACAA2"	525
"ACACA"	3326
"ACACB"	722
"ACAD10"	205
"ACAD11"	424
"ACAD8"	284
"ACAD9"	427
"ACADL"	53
"ACADM"	680
"ACADS"	152
"ACADSB"	1051
"ACADVL"	1172
"ACAN"	89
"ACAP1"	17
"ACAP2"	1579
"ACAP3"	985
"ACAT1"	616
"ACAT2"	628
"ACBD3"	848
"ACBD3-AS1"	0
"ACBD4"	124
"ACBD5"	1789
"ACBD6"	243
"ACBD7"	781
"ACBD7-DCLRE1CP1"	51
"ACCS"	137
"ACCSL"	1
"ACD"	115
"ACE"	60
"ACE2"	2
"ACER1"	1
"ACER2"	75
"ACER3"	1786
"ACHE"	195
"ACIN1"	961
"ACKR1"	98
"ACKR2"	49
"ACKR3"	66
"ACKR4"	2
"ACLY"	1978
"ACMSD"	0
"ACO1"	546
"ACO2"	4136
"ACOD1"	0
"ACOT1"	65
"ACOT11"	154
"ACOT12"	8
"ACOT13"	306
"ACOT2"	217
"ACOT4"	32
"ACOT6"	3
"ACOT7"	1050
"ACOT8"	200
"ACOT9"	330
"ACOX1"	1820
"ACOX2"	35
"ACOX3"	315
"ACOXL"	0
"ACOXL-AS1"	12
"ACP1"	843
"ACP2"	326
"ACP4"	0
"ACP5"	41
"ACP6"	103
"ACP7"	40
"ACPP"	64
"ACR"	9
"ACRBP"	7
"ACRV1"	14
"ACSBG1"	782
"ACSBG2"	1
"ACSF2"	123
"ACSF3"	120
"ACSL1"	2599
"ACSL3"	4031
"ACSL4"	1851
"ACSL5"	115
"ACSL6"	2612
"ACSM1"	2
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	2
"ACSM4"	0
"ACSM5"	83
"ACSM6"	0
"ACSS1"	797
"ACSS2"	680
"ACSS3"	510
"ACTA1"	7
"ACTA2"	76
"ACTA2-AS1"	47
"ACTB"	33578
"ACTBL2"	0
"ACTC1"	23
"ACTG1"	15740
"ACTG1P17"	10
"ACTG1P20"	26
"ACTG1P4"	53
"ACTG2"	9
"ACTL10"	3
"ACTL6A"	139
"ACTL6B"	266
"ACTL7A"	0
"ACTL7B"	0
"ACTL8"	0
"ACTL9"	0
"ACTN1"	934
"ACTN1-AS1"	1
"ACTN2"	880
"ACTN3"	2
"ACTN4"	2513
"ACTR10"	1033
"ACTR1A"	2297
"ACTR1B"	1190
"ACTR2"	6205
"ACTR3"	2033
"ACTR3B"	508
"ACTR3BP2"	0
"ACTR3BP5"	0
"ACTR3C"	98
"ACTR5"	128
"ACTR6"	586
"ACTR8"	556
"ACTRT1"	3
"ACTRT2"	0
"ACTRT3"	11
"ACVR1"	280
"ACVR1B"	1000
"ACVR1C"	725
"ACVR2A"	627
"ACVR2B"	867
"ACVR2B-AS1"	25
"ACVRL1"	80
"ACY1"	43
"ACY3"	2
"ACYP1"	178
"ACYP2"	498
"ADA"	66
"ADA2"	396
"ADAD1"	0
"ADAD2"	12
"ADAL"	268
"ADAM10"	2284
"ADAM11"	703
"ADAM12"	142
"ADAM15"	665
"ADAM17"	607
"ADAM18"	1
"ADAM19"	171
"ADAM1A"	70
"ADAM2"	0
"ADAM20"	112
"ADAM20P1"	91
"ADAM21"	3
"ADAM21P1"	0
"ADAM22"	4458
"ADAM23"	2170
"ADAM28"	539
"ADAM29"	1
"ADAM30"	0
"ADAM32"	139
"ADAM33"	9
"ADAM3A"	0
"ADAM3B"	3
"ADAM5"	2
"ADAM6"	0
"ADAM7"	0
"ADAM8"	26
"ADAM9"	1324
"ADAMDEC1"	0
"ADAMTS1"	531
"ADAMTS10"	133
"ADAMTS12"	14
"ADAMTS13"	132
"ADAMTS14"	432
"ADAMTS15"	6
"ADAMTS16"	17
"ADAMTS17"	70
"ADAMTS18"	253
"ADAMTS19"	135
"ADAMTS19-AS1"	4
"ADAMTS2"	62
"ADAMTS20"	4
"ADAMTS3"	124
"ADAMTS4"	1593
"ADAMTS5"	48
"ADAMTS6"	63
"ADAMTS7"	32
"ADAMTS7P1"	8
"ADAMTS8"	134
"ADAMTS9"	281
"ADAMTS9-AS1"	3
"ADAMTS9-AS2"	62
"ADAMTSL1"	65
"ADAMTSL2"	220
"ADAMTSL3"	286
"ADAMTSL4"	20
"ADAMTSL4-AS1"	20
"ADAMTSL5"	8
"ADAP1"	1290
"ADAP2"	147
"ADAR"	5843
"ADARB1"	695
"ADARB2"	1214
"ADARB2-AS1"	37
"ADAT1"	451
"ADAT2"	101
"ADAT3"	39
"ADCK1"	110
"ADCK2"	409
"ADCK5"	41
"ADCY1"	6279
"ADCY10"	36
"ADCY10P1"	269
"ADCY2"	2723
"ADCY3"	1198
"ADCY4"	27
"ADCY5"	1622
"ADCY6"	454
"ADCY7"	348
"ADCY8"	412
"ADCY9"	637
"ADCYAP1"	136
"ADCYAP1R1"	2886
"ADD1"	6024
"ADD2"	2304
"ADD3"	5951
"ADD3-AS1"	23
"ADGB"	1
"ADGRA1"	399
"ADGRA1-AS1"	9
"ADGRA2"	115
"ADGRA3"	739
"ADGRB1"	919
"ADGRB2"	2093
"ADGRB3"	3360
"ADGRD1"	33
"ADGRD1-AS1"	0
"ADGRE1"	14
"ADGRE2"	136
"ADGRE3"	1
"ADGRE4P"	13
"ADGRE5"	306
"ADGRF1"	0
"ADGRF2"	3
"ADGRF3"	12
"ADGRF4"	0
"ADGRF5"	342
"ADGRG1"	2459
"ADGRG2"	0
"ADGRG3"	4
