gene/TE	../../STAR_v252_mapping/CGND_12795/HRA-00089-2_PE.bam
"A1BG"	85
"A1BG-AS1"	166
"A1CF"	3
"A2M"	3833
"A2M-AS1"	225
"A2ML1"	60
"A2MP1"	1
"A3GALT2"	3
"A4GALT"	57
"A4GNT"	0
"AA06"	24
"AAAS"	382
"AACS"	908
"AACSP1"	12
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	2
"AADACL3"	0
"AADACL4"	0
"AADACP1"	0
"AADAT"	467
"AAED1"	125
"AAGAB"	1055
"AAK1"	9708
"AAMDC"	161
"AAMP"	1125
"AANAT"	0
"AAR2"	381
"AARD"	15
"AARS"	5961
"AARS2"	513
"AARSD1"	164
"AASDH"	838
"AASDHPPT"	2651
"AASS"	2054
"AATBC"	4
"AATF"	775
"AATK"	7218
"ABALON"	2
"ABAT"	4786
"ABCA1"	1076
"ABCA10"	670
"ABCA11P"	304
"ABCA12"	8
"ABCA13"	3
"ABCA17P"	111
"ABCA2"	37172
"ABCA3"	2904
"ABCA4"	14
"ABCA5"	3293
"ABCA6"	1175
"ABCA7"	196
"ABCA8"	8076
"ABCA9"	639
"ABCA9-AS1"	1
"ABCB1"	847
"ABCB10"	485
"ABCB11"	3
"ABCB4"	17
"ABCB5"	0
"ABCB6"	454
"ABCB7"	643
"ABCB8"	636
"ABCB9"	407
"ABCC1"	573
"ABCC10"	323
"ABCC11"	34
"ABCC12"	44
"ABCC13"	6
"ABCC2"	40
"ABCC3"	18
"ABCC4"	690
"ABCC5"	2160
"ABCC5-AS1"	0
"ABCC6"	36
"ABCC6P1"	7
"ABCC6P2"	0
"ABCC8"	561
"ABCC9"	1343
"ABCD1"	92
"ABCD2"	749
"ABCD3"	2090
"ABCD4"	920
"ABCE1"	2087
"ABCF1"	1079
"ABCF2"	1201
"ABCF3"	906
"ABCG1"	970
"ABCG2"	746
"ABCG4"	195
"ABCG5"	10
"ABCG8"	26
"ABHD1"	9
"ABHD10"	945
"ABHD11"	125
"ABHD11-AS1"	1
"ABHD12"	1901
"ABHD12B"	104
"ABHD13"	943
"ABHD14A"	220
"ABHD14A-ACY1"	152
"ABHD14B"	204
"ABHD15"	121
"ABHD16A"	797
"ABHD16B"	0
"ABHD17A"	1612
"ABHD17B"	2249
"ABHD17C"	361
"ABHD18"	637
"ABHD2"	4475
"ABHD3"	174
"ABHD4"	467
"ABHD5"	1113
"ABHD6"	1498
"ABHD8"	657
"ABI1"	2042
"ABI2"	7599
"ABI3"	237
"ABI3BP"	146
"ABL1"	2527
"ABL2"	2589
"ABLIM1"	4996
"ABLIM2"	1010
"ABLIM3"	743
"ABO"	15
"ABR"	6866
"ABRA"	1
"ABRACL"	127
"ABRAXAS1"	178
"ABRAXAS2"	513
"ABT1"	197
"ABTB1"	571
"ABTB2"	453
"ACAA1"	850
"ACAA2"	631
"ACACA"	5854
"ACACB"	1098
"ACAD10"	474
"ACAD11"	928
"ACAD8"	484
"ACAD9"	744
"ACADL"	67
"ACADM"	1106
"ACADS"	177
"ACADSB"	1632
"ACADVL"	1728
"ACAN"	136
"ACAP1"	10
"ACAP2"	2709
"ACAP3"	1703
"ACAT1"	971
"ACAT2"	591
"ACBD3"	1138
"ACBD3-AS1"	0
"ACBD4"	182
"ACBD5"	2977
"ACBD6"	430
"ACBD7"	1003
"ACBD7-DCLRE1CP1"	80
"ACCS"	109
"ACCSL"	4
"ACD"	203
"ACE"	117
"ACE2"	9
"ACER1"	1
"ACER2"	255
"ACER3"	2630
"ACHE"	269
"ACIN1"	2605
"ACKR1"	210
