gene/TE	../../STAR_v252_mapping/CGND_12856/HRA-00084-2_PE.bam
"A1BG"	33
"A1BG-AS1"	86
"A1CF"	0
"A2M"	3799
"A2M-AS1"	183
"A2ML1"	123
"A2MP1"	4
"A3GALT2"	1
"A4GALT"	41
"A4GNT"	0
"AA06"	49
"AAAS"	218
"AACS"	756
"AACSP1"	7
"AADAC"	1
"AADACL2"	0
"AADACL2-AS1"	2
"AADACL3"	0
"AADACL4"	0
"AADACP1"	11
"AADAT"	269
"AAED1"	72
"AAGAB"	587
"AAK1"	9271
"AAMDC"	74
"AAMP"	632
"AANAT"	1
"AAR2"	213
"AARD"	6
"AARS"	3510
"AARS2"	351
"AARSD1"	87
"AASDH"	687
"AASDHPPT"	1759
"AASS"	723
"AATBC"	0
"AATF"	488
"AATK"	3106
"ABALON"	0
"ABAT"	4904
"ABCA1"	1156
"ABCA10"	747
"ABCA11P"	240
"ABCA12"	11
"ABCA13"	2
"ABCA17P"	111
"ABCA2"	11609
"ABCA3"	2247
"ABCA4"	16
"ABCA5"	2676
"ABCA6"	642
"ABCA7"	213
"ABCA8"	2663
"ABCA9"	595
"ABCA9-AS1"	0
"ABCB1"	719
"ABCB10"	422
"ABCB11"	5
"ABCB4"	25
"ABCB5"	0
"ABCB6"	312
"ABCB7"	401
"ABCB8"	384
"ABCB9"	374
"ABCC1"	438
"ABCC10"	232
"ABCC11"	16
"ABCC12"	54
"ABCC13"	1
"ABCC2"	39
"ABCC3"	19
"ABCC4"	334
"ABCC5"	2326
"ABCC5-AS1"	1
"ABCC6"	16
"ABCC6P1"	10
"ABCC6P2"	1
"ABCC8"	641
"ABCC9"	930
"ABCD1"	65
"ABCD2"	636
"ABCD3"	1142
"ABCD4"	352
"ABCE1"	1090
"ABCF1"	601
"ABCF2"	872
"ABCF3"	554
"ABCG1"	725
"ABCG2"	739
"ABCG4"	263
"ABCG5"	10
"ABCG8"	33
"ABHD1"	15
"ABHD10"	587
"ABHD11"	61
"ABHD11-AS1"	0
"ABHD12"	988
"ABHD12B"	61
"ABHD13"	979
"ABHD14A"	207
"ABHD14A-ACY1"	110
"ABHD14B"	113
"ABHD15"	111
"ABHD16A"	393
"ABHD16B"	0
"ABHD17A"	1355
"ABHD17B"	1288
"ABHD17C"	350
"ABHD18"	414
"ABHD2"	4336
"ABHD3"	192
"ABHD4"	272
"ABHD5"	588
"ABHD6"	708
"ABHD8"	978
"ABI1"	1536
"ABI2"	5055
"ABI3"	86
"ABI3BP"	212
"ABL1"	1401
"ABL2"	2171
"ABLIM1"	5229
"ABLIM2"	1177
"ABLIM3"	663
"ABO"	2
"ABR"	7438
"ABRA"	5
"ABRACL"	64
"ABRAXAS1"	77
"ABRAXAS2"	353
"ABT1"	116
"ABTB1"	461
"ABTB2"	197
"ACAA1"	443
"ACAA2"	340
"ACACA"	4049
"ACACB"	997
"ACAD10"	275
"ACAD11"	456
"ACAD8"	309
"ACAD9"	429
"ACADL"	75
"ACADM"	878
"ACADS"	99
"ACADSB"	926
"ACADVL"	1094
"ACAN"	118
"ACAP1"	12
"ACAP2"	1814
"ACAP3"	1285
"ACAT1"	521
"ACAT2"	244
"ACBD3"	847
"ACBD3-AS1"	0
"ACBD4"	152
"ACBD5"	1829
"ACBD6"	243
"ACBD7"	1211
"ACBD7-DCLRE1CP1"	60
"ACCS"	80
"ACCSL"	0
"ACD"	132
"ACE"	92
"ACE2"	10
"ACER1"	2
"ACER2"	197
"ACER3"	1424
"ACHE"	279
"ACIN1"	1763
"ACKR1"	172
"ACKR2"	25
"ACKR3"	69
"ACKR4"	3
"ACLY"	1404
"ACMSD"	0
"ACO1"	720
"ACO2"	3140
"ACOD1"	0
"ACOT1"	27
"ACOT11"	328
"ACOT12"	5
"ACOT13"	336
"ACOT2"	146
"ACOT4"	18
"ACOT6"	1
"ACOT7"	966
"ACOT8"	183
"ACOT9"	297
"ACOX1"	1791
"ACOX2"	36
"ACOX3"	420
"ACOXL"	0
"ACOXL-AS1"	9
"ACP1"	628
"ACP2"	252
"ACP4"	0
"ACP5"	5
"ACP6"	172
"ACP7"	53
"ACPP"	29
"ACR"	2
"ACRBP"	9
"ACRV1"	17
"ACSBG1"	822
"ACSBG2"	1
"ACSF2"	86
"ACSF3"	174
"ACSL1"	1827
"ACSL3"	4056
"ACSL4"	1981
"ACSL5"	345
"ACSL6"	3126
"ACSM1"	2
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	1
"ACSM4"	0
"ACSM5"	63
"ACSM6"	0
"ACSS1"	998
"ACSS2"	494
"ACSS3"	605
"ACTA1"	6
"ACTA2"	194
"ACTA2-AS1"	235
"ACTB"	18645
"ACTBL2"	0
"ACTC1"	9
"ACTG1"	7682
"ACTG1P17"	4
"ACTG1P20"	60
"ACTG1P4"	105
"ACTG2"	13
"ACTL10"	4
"ACTL6A"	133
"ACTL6B"	234
"ACTL7A"	0
"ACTL7B"	2
"ACTL8"	0
"ACTL9"	0
"ACTN1"	1765
"ACTN1-AS1"	0
"ACTN2"	1089
"ACTN3"	0
"ACTN4"	2777
"ACTR10"	679
"ACTR1A"	2016
"ACTR1B"	832
"ACTR2"	5275
"ACTR3"	1986
"ACTR3B"	525
"ACTR3BP2"	0
"ACTR3BP5"	0
"ACTR3C"	267
"ACTR5"	145
"ACTR6"	453
"ACTR8"	621
"ACTRT1"	1
"ACTRT2"	0
"ACTRT3"	24
"ACVR1"	426
"ACVR1B"	1144
"ACVR1C"	710
"ACVR2A"	782
"ACVR2B"	1007
"ACVR2B-AS1"	21
"ACVRL1"	291
"ACY1"	28
"ACY3"	12
"ACYP1"	139
"ACYP2"	393
"ADA"	33
"ADA2"	147
"ADAD1"	0
"ADAD2"	17
"ADAL"	231
"ADAM10"	2605
"ADAM11"	927
"ADAM12"	94
"ADAM15"	537
"ADAM17"	727
"ADAM18"	0
"ADAM19"	323
"ADAM1A"	154
"ADAM2"	0
"ADAM20"	198
"ADAM20P1"	214
"ADAM21"	11
"ADAM21P1"	0
"ADAM22"	4921
"ADAM23"	3011
"ADAM28"	203
"ADAM29"	6
"ADAM30"	0
"ADAM32"	270
"ADAM33"	38
"ADAM3A"	0
"ADAM3B"	11
"ADAM5"	8
"ADAM6"	0
"ADAM7"	0
"ADAM8"	30
"ADAM9"	1348
"ADAMDEC1"	0
"ADAMTS1"	837
"ADAMTS10"	258
