gene/TE	../../STAR_v252_mapping/CGND_12922/HRA-00405_PE.bam
"A1BG"	41
"A1BG-AS1"	60
"A1CF"	0
"A2M"	1233
"A2M-AS1"	116
"A2ML1"	153
"A2MP1"	4
"A3GALT2"	0
"A4GALT"	8
"A4GNT"	0
"AA06"	20
"AAAS"	184
"AACS"	805
"AACSP1"	5
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	0
"AADACL3"	0
"AADACL4"	0
"AADACP1"	1
"AADAT"	437
"AAED1"	38
"AAGAB"	916
"AAK1"	11000
"AAMDC"	71
"AAMP"	969
"AANAT"	0
"AAR2"	234
"AARD"	9
"AARS"	5199
"AARS2"	293
"AARSD1"	79
"AASDH"	755
"AASDHPPT"	2513
"AASS"	547
"AATBC"	3
"AATF"	717
"AATK"	1629
"ABALON"	14
"ABAT"	5862
"ABCA1"	770
"ABCA10"	531
"ABCA11P"	166
"ABCA12"	21
"ABCA13"	10
"ABCA17P"	157
"ABCA2"	4385
"ABCA3"	1182
"ABCA4"	10
"ABCA5"	2873
"ABCA6"	547
"ABCA7"	83
"ABCA8"	1682
"ABCA9"	405
"ABCA9-AS1"	1
"ABCB1"	458
"ABCB10"	266
"ABCB11"	1
"ABCB4"	17
"ABCB5"	0
"ABCB6"	290
"ABCB7"	561
"ABCB8"	252
"ABCB9"	241
"ABCC1"	359
"ABCC10"	128
"ABCC11"	11
"ABCC12"	20
"ABCC13"	0
"ABCC2"	53
"ABCC3"	0
"ABCC4"	242
"ABCC5"	1913
"ABCC5-AS1"	0
"ABCC6"	14
"ABCC6P1"	3
"ABCC6P2"	0
"ABCC8"	294
"ABCC9"	953
"ABCD1"	25
"ABCD2"	1150
"ABCD3"	1289
"ABCD4"	345
"ABCE1"	1134
"ABCF1"	487
"ABCF2"	927
"ABCF3"	662
"ABCG1"	500
"ABCG2"	224
"ABCG4"	222
"ABCG5"	6
"ABCG8"	32
"ABHD1"	7
"ABHD10"	680
"ABHD11"	47
"ABHD11-AS1"	1
"ABHD12"	1207
"ABHD12B"	123
"ABHD13"	1266
"ABHD14A"	201
"ABHD14A-ACY1"	111
"ABHD14B"	68
"ABHD15"	76
"ABHD16A"	371
"ABHD16B"	0
"ABHD17A"	1844
"ABHD17B"	906
"ABHD17C"	360
"ABHD18"	305
"ABHD2"	5005
"ABHD3"	409
"ABHD4"	285
"ABHD5"	701
"ABHD6"	739
"ABHD8"	1358
"ABI1"	2179
"ABI2"	7017
"ABI3"	15
"ABI3BP"	104
"ABL1"	734
"ABL2"	2539
"ABLIM1"	7954
"ABLIM2"	1336
"ABLIM3"	412
"ABO"	3
"ABR"	5294
"ABRA"	9
"ABRACL"	90
"ABRAXAS1"	43
"ABRAXAS2"	531
"ABT1"	116
"ABTB1"	384
"ABTB2"	182
"ACAA1"	477
"ACAA2"	515
"ACACA"	6304
"ACACB"	426
"ACAD10"	216
"ACAD11"	399
"ACAD8"	349
"ACAD9"	395
"ACADL"	35
"ACADM"	963
"ACADS"	96
"ACADSB"	824
"ACADVL"	1360
"ACAN"	176
"ACAP1"	6
"ACAP2"	1891
"ACAP3"	885
"ACAT1"	623
"ACAT2"	312
"ACBD3"	1013
"ACBD3-AS1"	0
"ACBD4"	110
"ACBD5"	2186
"ACBD6"	234
"ACBD7"	1987
"ACBD7-DCLRE1CP1"	148
"ACCS"	16
"ACCSL"	0
"ACD"	113
"ACE"	50
"ACE2"	13
"ACER1"	0
"ACER2"	284
"ACER3"	1685
"ACHE"	265
"ACIN1"	1444
"ACKR1"	62
"ACKR2"	15
"ACKR3"	117
"ACKR4"	3
"ACLY"	1113
"ACMSD"	0
"ACO1"	859
"ACO2"	3860
"ACOD1"	0
"ACOT1"	61
"ACOT11"	141
"ACOT12"	2
"ACOT13"	566
"ACOT2"	202
"ACOT4"	20
"ACOT6"	1
"ACOT7"	997
"ACOT8"	263
"ACOT9"	342
"ACOX1"	2219
"ACOX2"	64
"ACOX3"	252
"ACOXL"	0
"ACOXL-AS1"	10
"ACP1"	1009
"ACP2"	90
"ACP4"	0
"ACP5"	2
"ACP6"	149
"ACP7"	68
"ACPP"	1
"ACR"	6
"ACRBP"	6
"ACRV1"	12
"ACSBG1"	940
"ACSBG2"	6
"ACSF2"	117
"ACSF3"	159
"ACSL1"	980
"ACSL3"	6274
"ACSL4"	2141
"ACSL5"	43
"ACSL6"	4756
"ACSM1"	4
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	0
"ACSM4"	0
"ACSM5"	16
"ACSM6"	0
