gene/TE	../../STAR_v252_mapping/CGND_12856/HRA-00058_PE.bam
"A1BG"	25
"A1BG-AS1"	94
"A1CF"	0
"A2M"	3226
"A2M-AS1"	86
"A2ML1"	162
"A2MP1"	0
"A3GALT2"	1
"A4GALT"	32
"A4GNT"	0
"AA06"	34
"AAAS"	159
"AACS"	698
"AACSP1"	20
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	2
"AADACL3"	0
"AADACL4"	0
"AADACP1"	0
"AADAT"	190
"AAED1"	47
"AAGAB"	358
"AAK1"	6467
"AAMDC"	37
"AAMP"	438
"AANAT"	4
"AAR2"	168
"AARD"	3
"AARS"	2212
"AARS2"	250
"AARSD1"	58
"AASDH"	431
"AASDHPPT"	990
"AASS"	338
"AATBC"	1
"AATF"	226
"AATK"	1586
"ABALON"	3
"ABAT"	3324
"ABCA1"	887
"ABCA10"	429
"ABCA11P"	146
"ABCA12"	12
"ABCA13"	1
"ABCA17P"	128
"ABCA2"	5219
"ABCA3"	1916
"ABCA4"	26
"ABCA5"	1704
"ABCA6"	381
"ABCA7"	259
"ABCA8"	630
"ABCA9"	495
"ABCA9-AS1"	0
"ABCB1"	497
"ABCB10"	232
"ABCB11"	0
"ABCB4"	6
"ABCB5"	0
"ABCB6"	363
"ABCB7"	229
"ABCB8"	387
"ABCB9"	383
"ABCC1"	409
"ABCC10"	283
"ABCC11"	11
"ABCC12"	24
"ABCC13"	0
"ABCC2"	32
"ABCC3"	28
"ABCC4"	256
"ABCC5"	1840
"ABCC5-AS1"	1
"ABCC6"	12
"ABCC6P1"	8
"ABCC6P2"	1
"ABCC8"	738
"ABCC9"	530
"ABCD1"	52
"ABCD2"	394
"ABCD3"	610
"ABCD4"	519
"ABCE1"	591
"ABCF1"	376
"ABCF2"	521
"ABCF3"	422
"ABCG1"	583
"ABCG2"	295
"ABCG4"	204
"ABCG5"	9
"ABCG8"	31
"ABHD1"	9
"ABHD10"	306
"ABHD11"	58
"ABHD11-AS1"	0
"ABHD12"	719
"ABHD12B"	44
"ABHD13"	681
"ABHD14A"	164
"ABHD14A-ACY1"	84
"ABHD14B"	128
"ABHD15"	72
"ABHD16A"	366
"ABHD16B"	0
"ABHD17A"	950
"ABHD17B"	384
"ABHD17C"	277
"ABHD18"	240
"ABHD2"	3350
"ABHD3"	213
"ABHD4"	194
"ABHD5"	379
"ABHD6"	331
"ABHD8"	886
"ABI1"	1228
"ABI2"	3896
"ABI3"	71
"ABI3BP"	79
"ABL1"	885
"ABL2"	1423
"ABLIM1"	3590
"ABLIM2"	1229
"ABLIM3"	536
"ABO"	10
"ABR"	6402
"ABRA"	2
"ABRACL"	42
"ABRAXAS1"	29
"ABRAXAS2"	265
"ABT1"	92
"ABTB1"	408
"ABTB2"	105
"ACAA1"	351
"ACAA2"	235
"ACACA"	2484
"ACACB"	622
"ACAD10"	232
"ACAD11"	243
"ACAD8"	293
"ACAD9"	371
"ACADL"	40
"ACADM"	436
"ACADS"	124
"ACADSB"	522
"ACADVL"	1191
"ACAN"	56
"ACAP1"	9
"ACAP2"	1389
"ACAP3"	1446
"ACAT1"	299
"ACAT2"	118
"ACBD3"	446
"ACBD3-AS1"	0
"ACBD4"	134
"ACBD5"	967
"ACBD6"	153
"ACBD7"	1163
"ACBD7-DCLRE1CP1"	71
"ACCS"	63
"ACCSL"	2
"ACD"	123
"ACE"	107
"ACE2"	6
"ACER1"	0
"ACER2"	234
"ACER3"	720
"ACHE"	206
"ACIN1"	1378
"ACKR1"	389
"ACKR2"	16
"ACKR3"	79
"ACKR4"	4
"ACLY"	873
"ACMSD"	0
"ACO1"	487
"ACO2"	2063
"ACOD1"	0
"ACOT1"	42
"ACOT11"	282
"ACOT12"	1
"ACOT13"	205
"ACOT2"	104
"ACOT4"	11
"ACOT6"	2
"ACOT7"	611
"ACOT8"	154
"ACOT9"	297
"ACOX1"	1290
"ACOX2"	32
"ACOX3"	362
"ACOXL"	0
"ACOXL-AS1"	6
"ACP1"	415
"ACP2"	202
"ACP4"	0
"ACP5"	12
"ACP6"	200
"ACP7"	21
"ACPP"	9
"ACR"	2
"ACRBP"	9
"ACRV1"	9
"ACSBG1"	762
"ACSBG2"	0
"ACSF2"	73
"ACSF3"	196
"ACSL1"	1232
"ACSL3"	2598
"ACSL4"	937
"ACSL5"	223
"ACSL6"	2105
"ACSM1"	5
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	4
"ACSM4"	0
"ACSM5"	72
"ACSM6"	0
"ACSS1"	742
"ACSS2"	267
"ACSS3"	476
"ACTA1"	7
"ACTA2"	68
"ACTA2-AS1"	231
"ACTB"	10568
"ACTBL2"	0
"ACTC1"	11
"ACTG1"	4723
"ACTG1P17"	5
"ACTG1P20"	69
"ACTG1P4"	106
"ACTG2"	2
"ACTL10"	1
"ACTL6A"	63
"ACTL6B"	215
"ACTL7A"	0
"ACTL7B"	1
"ACTL8"	0
"ACTL9"	0
"ACTN1"	1699
"ACTN1-AS1"	0
"ACTN2"	583
"ACTN3"	3
"ACTN4"	1754
"ACTR10"	396
"ACTR1A"	1160
"ACTR1B"	715
"ACTR2"	2605
"ACTR3"	970
"ACTR3B"	424
"ACTR3BP2"	0
"ACTR3BP5"	0
"ACTR3C"	272
"ACTR5"	141
"ACTR6"	253
"ACTR8"	341
"ACTRT1"	3
"ACTRT2"	0
"ACTRT3"	61
"ACVR1"	296
"ACVR1B"	1011
"ACVR1C"	377
"ACVR2A"	491
"ACVR2B"	777
"ACVR2B-AS1"	18
"ACVRL1"	99
"ACY1"	27
"ACY3"	6
"ACYP1"	76
"ACYP2"	258
"ADA"	38
"ADA2"	182
"ADAD1"	0
"ADAD2"	4
"ADAL"	168
"ADAM10"	1248
"ADAM11"	795
"ADAM12"	49
"ADAM15"	323
"ADAM17"	489
"ADAM18"	0
"ADAM19"	261
"ADAM1A"	156
"ADAM2"	0
"ADAM20"	169
"ADAM20P1"	160
"ADAM21"	4
"ADAM21P1"	0
"ADAM22"	2986
"ADAM23"	1795
"ADAM28"	186
"ADAM29"	6
"ADAM30"	0
"ADAM32"	163
"ADAM33"	125
"ADAM3A"	0
"ADAM3B"	4
"ADAM5"	4
"ADAM6"	0
"ADAM7"	0
"ADAM8"	76
"ADAM9"	871
"ADAMDEC1"	0
"ADAMTS1"	492
"ADAMTS10"	349
"ADAMTS12"	4
"ADAMTS13"	190
"ADAMTS14"	28
"ADAMTS15"	13
"ADAMTS16"	76
"ADAMTS17"	126
"ADAMTS18"	17
