gene/TE	../../STAR_v252_mapping/CGND_12856/HRA-00014-2_PE.bam
"A1BG"	25
"A1BG-AS1"	107
"A1CF"	2
"A2M"	1787
"A2M-AS1"	153
"A2ML1"	109
"A2MP1"	2
"A3GALT2"	1
"A4GALT"	25
"A4GNT"	0
"AA06"	34
"AAAS"	229
"AACS"	876
"AACSP1"	17
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	2
"AADACL3"	0
"AADACL4"	0
"AADACP1"	9
"AADAT"	286
"AAED1"	85
"AAGAB"	802
"AAK1"	9980
"AAMDC"	67
"AAMP"	750
"AANAT"	2
"AAR2"	244
"AARD"	10
"AARS"	4503
"AARS2"	391
"AARSD1"	110
"AASDH"	649
"AASDHPPT"	2609
"AASS"	678
"AATBC"	0
"AATF"	446
"AATK"	2883
"ABALON"	1
"ABAT"	4978
"ABCA1"	937
"ABCA10"	693
"ABCA11P"	208
"ABCA12"	7
"ABCA13"	1
"ABCA17P"	92
"ABCA2"	10493
"ABCA3"	2218
"ABCA4"	22
"ABCA5"	2860
"ABCA6"	575
"ABCA7"	167
"ABCA8"	2760
"ABCA9"	482
"ABCA9-AS1"	0
"ABCB1"	346
"ABCB10"	382
"ABCB11"	1
"ABCB4"	2
"ABCB5"	0
"ABCB6"	352
"ABCB7"	432
"ABCB8"	355
"ABCB9"	333
"ABCC1"	387
"ABCC10"	249
"ABCC11"	11
"ABCC12"	79
"ABCC13"	0
"ABCC2"	27
"ABCC3"	7
"ABCC4"	263
"ABCC5"	2413
"ABCC5-AS1"	0
"ABCC6"	10
"ABCC6P1"	12
"ABCC6P2"	0
"ABCC8"	505
"ABCC9"	999
"ABCD1"	51
"ABCD2"	755
"ABCD3"	1201
"ABCD4"	349
"ABCE1"	1252
"ABCF1"	668
"ABCF2"	940
"ABCF3"	672
"ABCG1"	679
"ABCG2"	401
"ABCG4"	266
"ABCG5"	14
"ABCG8"	29
"ABHD1"	6
"ABHD10"	708
"ABHD11"	73
"ABHD11-AS1"	0
"ABHD12"	940
"ABHD12B"	74
"ABHD13"	1023
"ABHD14A"	231
"ABHD14A-ACY1"	110
"ABHD14B"	73
"ABHD15"	79
"ABHD16A"	469
"ABHD16B"	0
"ABHD17A"	1054
"ABHD17B"	1302
"ABHD17C"	341
"ABHD18"	404
"ABHD2"	4137
"ABHD3"	133
"ABHD4"	243
"ABHD5"	574
"ABHD6"	641
"ABHD8"	969
"ABI1"	1550
"ABI2"	6642
"ABI3"	48
"ABI3BP"	171
"ABL1"	1209
"ABL2"	2334
"ABLIM1"	4584
"ABLIM2"	1359
"ABLIM3"	636
"ABO"	7
"ABR"	7085
"ABRA"	1
"ABRACL"	88
"ABRAXAS1"	85
"ABRAXAS2"	437
"ABT1"	132
"ABTB1"	471
"ABTB2"	85
"ACAA1"	433
"ACAA2"	311
"ACACA"	4582
"ACACB"	803
"ACAD10"	263
"ACAD11"	460
"ACAD8"	393
"ACAD9"	458
"ACADL"	59
"ACADM"	887
"ACADS"	98
"ACADSB"	1110
"ACADVL"	961
"ACAN"	46
"ACAP1"	6
"ACAP2"	1645
"ACAP3"	1187
"ACAT1"	598
"ACAT2"	339
"ACBD3"	881
"ACBD3-AS1"	0
"ACBD4"	122
"ACBD5"	1733
"ACBD6"	252
"ACBD7"	1151
"ACBD7-DCLRE1CP1"	68
"ACCS"	79
"ACCSL"	2
"ACD"	111
"ACE"	85
"ACE2"	6
"ACER1"	1
"ACER2"	145
"ACER3"	1583
"ACHE"	289
"ACIN1"	1814
"ACKR1"	151
"ACKR2"	16
"ACKR3"	116
"ACKR4"	1
"ACLY"	1618
"ACMSD"	0
"ACO1"	639
"ACO2"	3480
"ACOD1"	0
"ACOT1"	35
"ACOT11"	296
"ACOT12"	9
"ACOT13"	349
"ACOT2"	178
"ACOT4"	29
"ACOT6"	3
"ACOT7"	1122
"ACOT8"	231
"ACOT9"	352
"ACOX1"	1917
"ACOX2"	31
"ACOX3"	406
"ACOXL"	0
"ACOXL-AS1"	9
"ACP1"	877
"ACP2"	287
"ACP4"	0
"ACP5"	2
"ACP6"	185
"ACP7"	65
"ACPP"	43
"ACR"	6
"ACRBP"	5
"ACRV1"	17
"ACSBG1"	668
"ACSBG2"	0
"ACSF2"	50
"ACSF3"	189
"ACSL1"	1571
"ACSL3"	5513
"ACSL4"	2545
"ACSL5"	175
"ACSL6"	3820
"ACSM1"	4
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	2
"ACSM4"	0
"ACSM5"	40
"ACSM6"	0
"ACSS1"	852
"ACSS2"	566
"ACSS3"	544
"ACTA1"	7
"ACTA2"	45
"ACTA2-AS1"	274
"ACTB"	17391
"ACTBL2"	0
"ACTC1"	17
"ACTG1"	8018
"ACTG1P17"	5
"ACTG1P20"	54
"ACTG1P4"	107
"ACTG2"	0
"ACTL10"	3
"ACTL6A"	102
"ACTL6B"	281
"ACTL7A"	0
"ACTL7B"	1
"ACTL8"	0
"ACTL9"	0
"ACTN1"	1913
"ACTN1-AS1"	0
"ACTN2"	1174
"ACTN3"	1
"ACTN4"	2188
"ACTR10"	912
"ACTR1A"	2446
"ACTR1B"	1025
"ACTR2"	6282
"ACTR3"	2036
"ACTR3B"	758
"ACTR3BP2"	0
"ACTR3BP5"	0
"ACTR3C"	249
"ACTR5"	155
"ACTR6"	634
"ACTR8"	790
"ACTRT1"	4
"ACTRT2"	0
"ACTRT3"	33
"ACVR1"	291
"ACVR1B"	1360
"ACVR1C"	743
"ACVR2A"	1047
"ACVR2B"	1107
"ACVR2B-AS1"	19
