gene/TE	../../STAR_v252_mapping/CGND_12893/HRA-00350-b38_PE.bam
"A1BG"	27
"A1BG-AS1"	89
"A1CF"	0
"A2M"	1627
"A2M-AS1"	85
"A2ML1"	162
"A2MP1"	3
"A3GALT2"	0
"A4GALT"	8
"A4GNT"	0
"AA06"	17
"AAAS"	207
"AACS"	946
"AACSP1"	5
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	0
"AADACL3"	0
"AADACL4"	0
"AADACP1"	0
"AADAT"	319
"AAED1"	62
"AAGAB"	1241
"AAK1"	12483
"AAMDC"	59
"AAMP"	1256
"AANAT"	1
"AAR2"	267
"AARD"	12
"AARS"	5003
"AARS2"	400
"AARSD1"	170
"AASDH"	991
"AASDHPPT"	4066
"AASS"	687
"AATBC"	1
"AATF"	532
"AATK"	2306
"ABALON"	2
"ABAT"	8796
"ABCA1"	884
"ABCA10"	855
"ABCA11P"	280
"ABCA12"	18
"ABCA13"	8
"ABCA17P"	65
"ABCA2"	6642
"ABCA3"	2148
"ABCA4"	20
"ABCA5"	4244
"ABCA6"	788
"ABCA7"	109
"ABCA8"	1290
"ABCA9"	505
"ABCA9-AS1"	1
"ABCB1"	262
"ABCB10"	446
"ABCB11"	4
"ABCB4"	13
"ABCB5"	0
"ABCB6"	306
"ABCB7"	677
"ABCB8"	299
"ABCB9"	384
"ABCC1"	387
"ABCC10"	122
"ABCC11"	25
"ABCC12"	55
"ABCC13"	4
"ABCC2"	9
"ABCC3"	9
"ABCC4"	369
"ABCC5"	1566
"ABCC5-AS1"	0
"ABCC6"	13
"ABCC6P1"	4
"ABCC6P2"	1
"ABCC8"	535
"ABCC9"	625
"ABCD1"	40
"ABCD2"	2141
"ABCD3"	2074
"ABCD4"	208
"ABCE1"	1852
"ABCF1"	742
"ABCF2"	1058
"ABCF3"	866
"ABCG1"	657
"ABCG2"	448
"ABCG4"	365
"ABCG5"	8
"ABCG8"	18
"ABHD1"	5
"ABHD10"	1325
"ABHD11"	85
"ABHD11-AS1"	0
"ABHD12"	1631
"ABHD12B"	106
"ABHD13"	1472
"ABHD14A"	281
"ABHD14A-ACY1"	158
"ABHD14B"	75
"ABHD15"	96
"ABHD16A"	502
"ABHD16B"	0
"ABHD17A"	1932
"ABHD17B"	1225
"ABHD17C"	452
"ABHD18"	441
"ABHD2"	4557
"ABHD3"	178
"ABHD4"	257
"ABHD5"	785
"ABHD6"	644
"ABHD8"	1331
"ABI1"	2606
"ABI2"	10108
"ABI3"	30
"ABI3BP"	112
"ABL1"	954
"ABL2"	2715
"ABLIM1"	7083
"ABLIM2"	1989
"ABLIM3"	664
"ABO"	6
"ABR"	8720
"ABRA"	9
"ABRACL"	169
"ABRAXAS1"	96
"ABRAXAS2"	584
"ABT1"	187
"ABTB1"	567
"ABTB2"	168
"ACAA1"	513
"ACAA2"	798
"ACACA"	4738
"ACACB"	719
"ACAD10"	225
"ACAD11"	456
"ACAD8"	389
"ACAD9"	568
"ACADL"	71
"ACADM"	1399
"ACADS"	167
"ACADSB"	1942
"ACADVL"	1138
"ACAN"	120
"ACAP1"	5
"ACAP2"	2600
"ACAP3"	1181
"ACAT1"	1051
"ACAT2"	444
"ACBD3"	1469
"ACBD3-AS1"	0
"ACBD4"	161
"ACBD5"	2908
"ACBD6"	337
"ACBD7"	3556
"ACBD7-DCLRE1CP1"	246
"ACCS"	36
"ACCSL"	1
"ACD"	142
"ACE"	76
"ACE2"	7
"ACER1"	1
"ACER2"	123
"ACER3"	1853
"ACHE"	278
"ACIN1"	1423
"ACKR1"	92
"ACKR2"	26
"ACKR3"	120
"ACKR4"	5
"ACLY"	2047
"ACMSD"	0
"ACO1"	781
"ACO2"	5338
"ACOD1"	0
"ACOT1"	43
"ACOT11"	178
"ACOT12"	3
"ACOT13"	549
"ACOT2"	287
"ACOT4"	66
"ACOT6"	8
"ACOT7"	1379
"ACOT8"	316
"ACOT9"	458
"ACOX1"	2743
"ACOX2"	54
"ACOX3"	367
"ACOXL"	0
"ACOXL-AS1"	16
"ACP1"	1282
"ACP2"	338
"ACP4"	0
"ACP5"	7
"ACP6"	171
"ACP7"	20
"ACPP"	9
"ACR"	2
"ACRBP"	4
"ACRV1"	11
"ACSBG1"	1338
"ACSBG2"	2
"ACSF2"	112
"ACSF3"	184
"ACSL1"	1112
"ACSL3"	9818
"ACSL4"	3562
"ACSL5"	61
"ACSL6"	8690
"ACSM1"	4
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	1
"ACSM4"	0
"ACSM5"	59
"ACSM6"	0
"ACSS1"	1246
"ACSS2"	496
"ACSS3"	792
"ACTA1"	17
"ACTA2"	32
"ACTA2-AS1"	264
"ACTB"	24498
"ACTBL2"	0
"ACTC1"	12
"ACTG1"	11668
"ACTG1P17"	2
"ACTG1P20"	20
"ACTG1P4"	63
"ACTG2"	0
"ACTL10"	0
"ACTL6A"	123
"ACTL6B"	485
"ACTL7A"	0
"ACTL7B"	0
"ACTL8"	4
"ACTL9"	0
"ACTN1"	1619
"ACTN1-AS1"	0
"ACTN2"	1088
"ACTN3"	1
"ACTN4"	2259
"ACTR10"	1685
"ACTR1A"	2537
"ACTR1B"	1467
"ACTR2"	11585
"ACTR3"	3460
"ACTR3B"	1251
"ACTR3BP2"	0
"ACTR3BP5"	0
"ACTR3C"	203
"ACTR5"	143
"ACTR6"	1148
"ACTR8"	1105
"ACTRT1"	2
"ACTRT2"	0
"ACTRT3"	49
"ACVR1"	360
"ACVR1B"	1381
"ACVR1C"	2529
"ACVR2A"	1295
"ACVR2B"	1132
"ACVR2B-AS1"	25
"ACVRL1"	28
"ACY1"	43
"ACY3"	22
"ACYP1"	183
"ACYP2"	599
"ADA"	38
"ADA2"	212
"ADAD1"	0
"ADAD2"	29
"ADAL"	429
"ADAM10"	3081
"ADAM11"	905
"ADAM12"	29
"ADAM15"	235
"ADAM17"	707
"ADAM18"	2
"ADAM19"	209
"ADAM1A"	198
"ADAM2"	0
"ADAM20"	170
"ADAM20P1"	147
"ADAM21"	26
"ADAM21P1"	1
"ADAM22"	11777
"ADAM23"	4431
"ADAM28"	203
"ADAM29"	1
"ADAM30"	0
"ADAM32"	409
"ADAM33"	20
"ADAM3A"	0
"ADAM3B"	2
"ADAM5"	3
"ADAM6"	0
"ADAM7"	0
"ADAM8"	11
"ADAM9"	2124
"ADAMDEC1"	0
"ADAMTS1"	280
"ADAMTS10"	143
"ADAMTS12"	15
"ADAMTS13"	113
"ADAMTS14"	18
"ADAMTS15"	8
"ADAMTS16"	74
"ADAMTS17"	188
"ADAMTS18"	66
"ADAMTS19"	261
"ADAMTS19-AS1"	7
"ADAMTS2"	77
"ADAMTS20"	32
"ADAMTS3"	140
"ADAMTS4"	370
"ADAMTS5"	141
"ADAMTS6"	119
"ADAMTS7"	8
"ADAMTS7P1"	14
"ADAMTS8"	205
"ADAMTS9"	121
"ADAMTS9-AS1"	8
"ADAMTS9-AS2"	128
"ADAMTSL1"	95
"ADAMTSL2"	283
"ADAMTSL3"	157
"ADAMTSL4"	6
"ADAMTSL4-AS1"	4
"ADAMTSL5"	15
"ADAP1"	1402
"ADAP2"	63
"ADAR"	7861
"ADARB1"	1755
"ADARB2"	1412
"ADARB2-AS1"	18
"ADAT1"	609
"ADAT2"	147
"ADAT3"	26
"ADCK1"	99
"ADCK2"	400
"ADCK5"	35
"ADCY1"	12250
"ADCY10"	58
"ADCY10P1"	134
"ADCY2"	4378
"ADCY3"	1133
"ADCY4"	6
"ADCY5"	1790
"ADCY6"	527
"ADCY7"	159
"ADCY8"	638
"ADCY9"	1054
"ADCYAP1"	524
"ADCYAP1R1"	3853
"ADD1"	7330
"ADD2"	3744
"ADD3"	9294
"ADD3-AS1"	53
"ADGB"	3
"ADGRA1"	595
"ADGRA1-AS1"	22
"ADGRA2"	108
"ADGRA3"	1404
"ADGRB1"	1661
"ADGRB2"	3369
"ADGRB3"	8034
"ADGRD1"	44
"ADGRD1-AS1"	0
"ADGRE1"	0
"ADGRE2"	9
"ADGRE3"	0
"ADGRE4P"	9
"ADGRE5"	83
"ADGRF1"	0
"ADGRF2"	16
"ADGRF3"	12
"ADGRF4"	9
"ADGRF5"	624
"ADGRG1"	1488
"ADGRG2"	10
"ADGRG3"	1
"ADGRG4"	1
"ADGRG5"	1
"ADGRG6"	97
"ADGRG7"	0
"ADGRL1"	4586
"ADGRL2"	4362
"ADGRL3"	7475
"ADGRL3-AS1"	0
"ADGRL4"	150
"ADGRV1"	7075
"ADH1A"	0
"ADH1B"	7
"ADH1C"	0
"ADH4"	0
"ADH5"	2337
"ADH6"	0
"ADH7"	0
"ADHFE1"	433
"ADI1"	829
"ADIG"	0
"ADIPOQ"	0
"ADIPOQ-AS1"	0
"ADIPOR1"	1142
"ADIPOR2"	1901
"ADIRF"	113
"ADK"	573
"ADM"	43
"ADM2"	0
"ADM5"	2
"ADNP"	3554
"ADNP-AS1"	29
"ADNP2"	856
"ADO"	1678
"ADORA1"	731
"ADORA2A"	13
"ADORA2A-AS1"	3
"ADORA2B"	128
"ADORA3"	85
"ADPGK"	378
"ADPGK-AS1"	17
"ADPRH"	35
"ADPRHL1"	160
"ADPRHL2"	176
"ADPRM"	183
"ADRA1A"	1048
"ADRA1B"	203
"ADRA1D"	77
"ADRA2A"	258
"ADRA2B"	8
"ADRA2C"	47
"ADRB1"	427
"ADRB2"	51
"ADRB3"	5
"ADRM1"	471
"ADSL"	295
"ADSS"	1530
"ADSSL1"	79
"ADTRP"	27
"AEBP1"	469
"AEBP2"	2166
"AEN"	88
"AES"	6657
"AFAP1"	966
"AFAP1-AS1"	41
"AFAP1L1"	45
"AFAP1L2"	513
"AFDN"	3086
"AFDN-DT"	8
"AFF1"	2335
"AFF1-AS1"	87
"AFF2"	1454
"AFF3"	2734
"AFF4"	6872
"AFG1L"	515
"AFG3L1P"	87
"AFG3L2"	1673
"AFM"	0
"AFMID"	247
"AFP"	7
"AFTPH"	3063
"AGA"	118
"AGAP1"	7647
"AGAP1-IT1"	6
"AGAP11"	32
"AGAP12P"	51
"AGAP2"	7997
"AGAP2-AS1"	4
"AGAP3"	2647
"AGAP4"	150
"AGAP5"	53
"AGAP6"	93
"AGAP7P"	6
