gene/TE	../../STAR_v252_mapping/CGND_12893/HRA-00387-b38_PE.bam
"A1BG"	36
"A1BG-AS1"	47
"A1CF"	0
"A2M"	2620
"A2M-AS1"	108
"A2ML1"	130
"A2MP1"	7
"A3GALT2"	4
"A4GALT"	70
"A4GNT"	0
"AA06"	24
"AAAS"	157
"AACS"	222
"AACSP1"	2
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	2
"AADACL3"	0
"AADACL4"	0
"AADACP1"	8
"AADAT"	165
"AAED1"	66
"AAGAB"	287
"AAK1"	2214
"AAMDC"	96
"AAMP"	438
"AANAT"	1
"AAR2"	186
"AARD"	3
"AARS"	1845
"AARS2"	277
"AARSD1"	31
"AASDH"	653
"AASDHPPT"	526
"AASS"	1078
"AATBC"	3
"AATF"	513
"AATK"	2181
"ABALON"	2
"ABAT"	2592
"ABCA1"	2728
"ABCA10"	144
"ABCA11P"	98
"ABCA12"	9
"ABCA13"	11
"ABCA17P"	79
"ABCA2"	13368
"ABCA3"	752
"ABCA4"	2
"ABCA5"	982
"ABCA6"	1015
"ABCA7"	44
"ABCA8"	5784
"ABCA9"	366
"ABCA9-AS1"	0
"ABCB1"	418
"ABCB10"	277
"ABCB11"	1
"ABCB4"	7
"ABCB5"	0
"ABCB6"	171
"ABCB7"	347
"ABCB8"	238
"ABCB9"	210
"ABCC1"	236
"ABCC10"	116
"ABCC11"	26
"ABCC12"	0
"ABCC13"	8
"ABCC2"	52
"ABCC3"	82
"ABCC4"	348
"ABCC5"	819
"ABCC5-AS1"	0
"ABCC6"	12
"ABCC6P1"	10
"ABCC6P2"	1
"ABCC8"	131
"ABCC9"	902
"ABCD1"	80
"ABCD2"	125
"ABCD3"	1165
"ABCD4"	306
"ABCE1"	464
"ABCF1"	468
"ABCF2"	382
"ABCF3"	304
"ABCG1"	598
"ABCG2"	562
"ABCG4"	17
"ABCG5"	0
"ABCG8"	5
"ABHD1"	12
"ABHD10"	299
"ABHD11"	42
"ABHD11-AS1"	0
"ABHD12"	837
"ABHD12B"	83
"ABHD13"	362
"ABHD14A"	57
"ABHD14A-ACY1"	45
"ABHD14B"	81
"ABHD15"	103
"ABHD16A"	235
"ABHD16B"	0
"ABHD17A"	1102
"ABHD17B"	1013
"ABHD17C"	262
"ABHD18"	271
"ABHD2"	1594
"ABHD3"	168
"ABHD4"	589
"ABHD5"	728
"ABHD6"	431
"ABHD8"	265
"ABI1"	789
"ABI2"	2204
"ABI3"	59
"ABI3BP"	417
"ABL1"	1433
"ABL2"	1232
"ABLIM1"	5003
"ABLIM2"	190
"ABLIM3"	848
"ABO"	8
"ABR"	4405
"ABRA"	0
"ABRACL"	16
"ABRAXAS1"	66
"ABRAXAS2"	182
"ABT1"	92
"ABTB1"	258
"ABTB2"	100
"ACAA1"	434
"ACAA2"	522
"ACACA"	2178
"ACACB"	1342
"ACAD10"	217
"ACAD11"	440
"ACAD8"	190
"ACAD9"	341
"ACADL"	61
"ACADM"	610
"ACADS"	119
"ACADSB"	608
"ACADVL"	1114
"ACAN"	31
"ACAP1"	14
"ACAP2"	1155
"ACAP3"	486
"ACAT1"	370
"ACAT2"	114
"ACBD3"	668
"ACBD3-AS1"	0
"ACBD4"	132
"ACBD5"	1647
"ACBD6"	172
"ACBD7"	743
"ACBD7-DCLRE1CP1"	43
"ACCS"	54
"ACCSL"	0
"ACD"	111
"ACE"	12
"ACE2"	11
"ACER1"	1
"ACER2"	63
"ACER3"	976
"ACHE"	34
"ACIN1"	1219
"ACKR1"	26
"ACKR2"	25
"ACKR3"	136
"ACKR4"	2
"ACLY"	500
"ACMSD"	0
"ACO1"	540
"ACO2"	1643
"ACOD1"	0
"ACOT1"	27
"ACOT11"	280
"ACOT12"	5
"ACOT13"	254
"ACOT2"	86
"ACOT4"	12
"ACOT6"	0
"ACOT7"	144
"ACOT8"	124
"ACOT9"	159
"ACOX1"	1469
"ACOX2"	81
"ACOX3"	297
"ACOXL"	0
"ACOXL-AS1"	4
"ACP1"	304
"ACP2"	181
"ACP4"	0
"ACP5"	14
"ACP6"	155
"ACP7"	55
"ACPP"	32
"ACR"	0
"ACRBP"	15
"ACRV1"	1
"ACSBG1"	1328
"ACSBG2"	6
"ACSF2"	105
"ACSF3"	111
"ACSL1"	2006
"ACSL3"	1493
"ACSL4"	655
"ACSL5"	187
"ACSL6"	384
"ACSM1"	1
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	2
"ACSM4"	0
"ACSM5"	114
"ACSM6"	0
"ACSS1"	1177
"ACSS2"	483
"ACSS3"	837
"ACTA1"	2
"ACTA2"	51
"ACTA2-AS1"	71
"ACTB"	12566
"ACTBL2"	0
"ACTC1"	6
"ACTG1"	5738
"ACTG1P17"	7
"ACTG1P20"	22
"ACTG1P4"	54
"ACTG2"	0
"ACTL10"	4
"ACTL6A"	215
"ACTL6B"	13
"ACTL7A"	0
"ACTL7B"	0
"ACTL8"	0
"ACTL9"	0
"ACTN1"	325
"ACTN1-AS1"	0
"ACTN2"	772
"ACTN3"	3
"ACTN4"	1549
"ACTR10"	362
"ACTR1A"	1072
"ACTR1B"	406
"ACTR2"	2000
"ACTR3"	1287
"ACTR3B"	166
"ACTR3BP2"	0
"ACTR3BP5"	0
"ACTR3C"	144
"ACTR5"	113
"ACTR6"	282
"ACTR8"	378
"ACTRT1"	0
"ACTRT2"	0
"ACTRT3"	15
"ACVR1"	260
"ACVR1B"	257
"ACVR1C"	361
"ACVR2A"	342
"ACVR2B"	965
"ACVR2B-AS1"	18
"ACVRL1"	68
"ACY1"	20
"ACY3"	0
"ACYP1"	89
"ACYP2"	254
"ADA"	62
"ADA2"	270
"ADAD1"	0
"ADAD2"	2
"ADAL"	134
"ADAM10"	2228
"ADAM11"	88
"ADAM12"	56
"ADAM15"	310
"ADAM17"	574
"ADAM18"	0
"ADAM19"	97
"ADAM1A"	85
"ADAM2"	0
"ADAM20"	101
"ADAM20P1"	46
"ADAM21"	1
"ADAM21P1"	0
"ADAM22"	1417
"ADAM23"	329
"ADAM28"	153
"ADAM29"	0
"ADAM30"	0
"ADAM32"	168
"ADAM33"	30
"ADAM3A"	0
"ADAM3B"	7
"ADAM5"	0
"ADAM6"	0
"ADAM7"	0
"ADAM8"	23
"ADAM9"	1010
"ADAMDEC1"	1
"ADAMTS1"	1011
"ADAMTS10"	168
"ADAMTS12"	30
"ADAMTS13"	71
"ADAMTS14"	49
"ADAMTS15"	8
"ADAMTS16"	19
"ADAMTS17"	57
"ADAMTS18"	411
"ADAMTS19"	97
"ADAMTS19-AS1"	1
"ADAMTS2"	52
"ADAMTS20"	6
"ADAMTS3"	39
"ADAMTS4"	548
"ADAMTS5"	25
"ADAMTS6"	46
"ADAMTS7"	10
"ADAMTS7P1"	5
"ADAMTS8"	73
"ADAMTS9"	398
"ADAMTS9-AS1"	1
"ADAMTS9-AS2"	114
"ADAMTSL1"	10
"ADAMTSL2"	76
"ADAMTSL3"	522
"ADAMTSL4"	43
"ADAMTSL4-AS1"	11
"ADAMTSL5"	9
"ADAP1"	764
"ADAP2"	145
"ADAR"	3724
"ADARB1"	298
"ADARB2"	1331
"ADARB2-AS1"	28
"ADAT1"	380
"ADAT2"	57
"ADAT3"	50
"ADCK1"	48
"ADCK2"	153
"ADCK5"	28
"ADCY1"	1359
"ADCY10"	30
"ADCY10P1"	436
"ADCY2"	3595
"ADCY3"	655
"ADCY4"	10
"ADCY5"	1228
"ADCY6"	258
"ADCY7"	353
"ADCY8"	687
"ADCY9"	282
"ADCYAP1"	4
"ADCYAP1R1"	4662
"ADD1"	3863
"ADD2"	309
"ADD3"	9978
"ADD3-AS1"	84
"ADGB"	14
"ADGRA1"	80
"ADGRA1-AS1"	1
"ADGRA2"	57
"ADGRA3"	1289
"ADGRB1"	178
"ADGRB2"	717
"ADGRB3"	1481
"ADGRD1"	19
"ADGRD1-AS1"	0
"ADGRE1"	10
"ADGRE2"	89
"ADGRE3"	1
"ADGRE4P"	11
"ADGRE5"	109
"ADGRF1"	0
"ADGRF2"	3
"ADGRF3"	30
"ADGRF4"	5
"ADGRF5"	399
"ADGRG1"	736
"ADGRG2"	0
"ADGRG3"	9
"ADGRG4"	1
"ADGRG5"	2
"ADGRG6"	109
"ADGRG7"	0
"ADGRL1"	1078
"ADGRL2"	528
"ADGRL3"	2157
"ADGRL3-AS1"	0
"ADGRL4"	228
"ADGRV1"	7039
"ADH1A"	0
"ADH1B"	22
"ADH1C"	0
"ADH4"	1
"ADH5"	743
"ADH6"	0
"ADH7"	0
"ADHFE1"	232
"ADI1"	397
"ADIG"	0
"ADIPOQ"	0
"ADIPOQ-AS1"	0
"ADIPOR1"	811
"ADIPOR2"	3733
"ADIRF"	273
"ADK"	183
"ADM"	34
"ADM2"	1
"ADM5"	10
"ADNP"	2024
"ADNP-AS1"	5
"ADNP2"	438
"ADO"	469
"ADORA1"	371
"ADORA2A"	20
"ADORA2A-AS1"	0
