gene/TE	../../BAM/CGND_13043/HRA-00241_PE.bam
"A1BG"	16
"A1BG-AS1"	65
"A1CF"	0
"A2M"	2425
"A2M-AS1"	51
"A2ML1"	123
"A2MP1"	2
"A3GALT2"	0
"A4GALT"	113
"A4GNT"	0
"AA06"	23
"AAAS"	163
"AACS"	675
"AACSP1"	7
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	2
"AADACL3"	0
"AADACL4"	0
"AADACP1"	0
"AADAT"	204
"AAED1"	74
"AAGAB"	628
"AAK1"	6324
"AAMDC"	42
"AAMP"	731
"AANAT"	2
"AAR2"	181
"AARD"	7
"AARS"	3267
"AARS2"	304
"AARSD1"	103
"AASDH"	519
"AASDHPPT"	1455
"AASS"	600
"AATBC"	0
"AATF"	361
"AATK"	1324
"ABALON"	5
"ABAT"	4448
"ABCA1"	540
"ABCA10"	585
"ABCA11P"	229
"ABCA12"	13
"ABCA13"	12
"ABCA17P"	57
"ABCA2"	3794
"ABCA3"	2301
"ABCA4"	25
"ABCA5"	2180
"ABCA6"	431
"ABCA7"	154
"ABCA8"	749
"ABCA9"	526
"ABCA9-AS1"	0
"ABCB1"	490
"ABCB10"	265
"ABCB11"	2
"ABCB4"	10
"ABCB5"	0
"ABCB6"	250
"ABCB7"	334
"ABCB8"	275
"ABCB9"	273
"ABCC1"	282
"ABCC10"	189
"ABCC11"	16
"ABCC12"	31
"ABCC13"	0
"ABCC2"	18
"ABCC3"	15
"ABCC4"	404
"ABCC5"	1724
"ABCC5-AS1"	0
"ABCC6"	18
"ABCC6P1"	2
"ABCC6P2"	0
"ABCC8"	619
"ABCC9"	1449
"ABCD1"	35
"ABCD2"	447
"ABCD3"	743
"ABCD4"	333
"ABCE1"	835
"ABCF1"	481
"ABCF2"	709
"ABCF3"	526
"ABCG1"	397
"ABCG2"	538
"ABCG4"	261
"ABCG5"	6
"ABCG8"	24
"ABHD1"	7
"ABHD10"	468
"ABHD11"	54
"ABHD11-AS1"	0
"ABHD12"	802
"ABHD12B"	48
"ABHD13"	580
"ABHD14A"	163
"ABHD14A-ACY1"	101
"ABHD14B"	104
"ABHD15"	75
"ABHD16A"	297
"ABHD16B"	0
"ABHD17A"	840
"ABHD17B"	397
"ABHD17C"	269
"ABHD18"	303
"ABHD2"	4233
"ABHD3"	111
"ABHD4"	317
"ABHD5"	421
"ABHD6"	311
"ABHD8"	744
"ABI1"	1418
"ABI2"	4486
"ABI3"	68
"ABI3BP"	165
"ABL1"	848
"ABL2"	1491
"ABLIM1"	5354
"ABLIM2"	1038
"ABLIM3"	638
"ABO"	7
"ABR"	6669
"ABRA"	3
"ABRACL"	62
"ABRAXAS1"	50
"ABRAXAS2"	329
"ABT1"	104
"ABTB1"	348
"ABTB2"	52
"ACAA1"	467
"ACAA2"	348
"ACACA"	3012
"ACACB"	453
"ACAD10"	210
"ACAD11"	336
"ACAD8"	310
"ACAD9"	411
"ACADL"	137
"ACADM"	648
"ACADS"	93
"ACADSB"	967
"ACADVL"	957
"ACAN"	106
"ACAP1"	8
"ACAP2"	1430
"ACAP3"	933
"ACAT1"	444
"ACAT2"	360
"ACBD3"	609
"ACBD3-AS1"	0
"ACBD4"	143
"ACBD5"	1114
