gene/TE	../../STAR_v252_mapping/CGND_12856/HRA-00297_PE.bam
"A1BG"	91
"A1BG-AS1"	101
"A1CF"	0
"A2M"	2914
"A2M-AS1"	182
"A2ML1"	305
"A2MP1"	8
"A3GALT2"	3
"A4GALT"	32
"A4GNT"	1
"AA06"	7
"AAAS"	358
"AACS"	321
"AACSP1"	3
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	0
"AADACL3"	0
"AADACL4"	0
"AADACP1"	1
"AADAT"	417
"AAED1"	99
"AAGAB"	534
"AAK1"	3352
"AAMDC"	202
"AAMP"	867
"AANAT"	2
"AAR2"	309
"AARD"	11
"AARS"	3630
"AARS2"	515
"AARSD1"	119
"AASDH"	813
"AASDHPPT"	1108
"AASS"	2350
"AATBC"	4
"AATF"	796
"AATK"	7718
"ABALON"	2
"ABAT"	3512
"ABCA1"	4347
"ABCA10"	182
"ABCA11P"	222
"ABCA12"	5
"ABCA13"	9
"ABCA17P"	91
"ABCA2"	35923
"ABCA3"	1924
"ABCA4"	8
"ABCA5"	1675
"ABCA6"	1060
"ABCA7"	127
"ABCA8"	7832
"ABCA9"	365
"ABCA9-AS1"	0
"ABCB1"	140
"ABCB10"	430
"ABCB11"	7
"ABCB4"	10
"ABCB5"	0
"ABCB6"	303
"ABCB7"	582
"ABCB8"	624
"ABCB9"	159
"ABCC1"	400
"ABCC10"	236
"ABCC11"	60
"ABCC12"	6
"ABCC13"	3
"ABCC2"	76
"ABCC3"	5
"ABCC4"	780
"ABCC5"	1352
"ABCC5-AS1"	0
"ABCC6"	23
"ABCC6P1"	3
"ABCC6P2"	3
"ABCC8"	280
"ABCC9"	2104
"ABCD1"	140
"ABCD2"	129
"ABCD3"	1975
"ABCD4"	615
"ABCE1"	1286
"ABCF1"	972
"ABCF2"	739
"ABCF3"	614
"ABCG1"	714
"ABCG2"	327
"ABCG4"	29
"ABCG5"	2
"ABCG8"	5
"ABHD1"	40
"ABHD10"	505
"ABHD11"	98
"ABHD11-AS1"	0
"ABHD12"	1492
"ABHD12B"	45
"ABHD13"	364
"ABHD14A"	118
"ABHD14A-ACY1"	118
"ABHD14B"	178
"ABHD15"	149
"ABHD16A"	447
"ABHD16B"	0
"ABHD17A"	1623
"ABHD17B"	1647
"ABHD17C"	404
"ABHD18"	496
"ABHD2"	2890
"ABHD3"	144
"ABHD4"	746
"ABHD5"	1290
"ABHD6"	1003
"ABHD8"	260
"ABI1"	1727
"ABI2"	4876
"ABI3"	94
"ABI3BP"	1197
"ABL1"	2847
"ABL2"	1800
"ABLIM1"	8207
"ABLIM2"	383
