gene/TE	../../STAR_v252_mapping/CGND_12893/HRA-00321_PE.bam
"A1BG"	18
"A1BG-AS1"	69
"A1CF"	0
"A2M"	946
"A2M-AS1"	55
"A2ML1"	74
"A2MP1"	0
"A3GALT2"	4
"A4GALT"	4
"A4GNT"	2
"AA06"	90
"AAAS"	164
"AACS"	648
"AACSP1"	12
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	0
"AADACL3"	0
"AADACL4"	0
"AADACP1"	0
"AADAT"	171
"AAED1"	21
"AAGAB"	253
"AAK1"	4629
"AAMDC"	19
"AAMP"	392
"AANAT"	3
"AAR2"	104
"AARD"	8
"AARS"	1987
"AARS2"	275
"AARSD1"	76
"AASDH"	219
"AASDHPPT"	500
"AASS"	294
"AATBC"	4
"AATF"	196
"AATK"	2392
"ABALON"	0
"ABAT"	2494
"ABCA1"	384
"ABCA10"	406
"ABCA11P"	171
"ABCA12"	10
"ABCA13"	1
"ABCA17P"	68
"ABCA2"	6356
"ABCA3"	1911
"ABCA4"	21
"ABCA5"	1178
"ABCA6"	351
"ABCA7"	242
"ABCA8"	501
"ABCA9"	453
"ABCA9-AS1"	0
"ABCB1"	179
"ABCB10"	217
"ABCB11"	4
"ABCB4"	7
"ABCB5"	0
"ABCB6"	260
"ABCB7"	107
"ABCB8"	382
"ABCB9"	355
"ABCC1"	317
"ABCC10"	337
"ABCC11"	24
"ABCC12"	47
"ABCC13"	0
"ABCC2"	18
"ABCC3"	21
"ABCC4"	93
"ABCC5"	1528
"ABCC5-AS1"	0
"ABCC6"	6
"ABCC6P1"	9
"ABCC6P2"	2
"ABCC8"	964
"ABCC9"	277
"ABCD1"	29
"ABCD2"	254
"ABCD3"	289
"ABCD4"	325
"ABCE1"	278
"ABCF1"	347
"ABCF2"	435
"ABCF3"	401
"ABCG1"	352
"ABCG2"	198
"ABCG4"	276
"ABCG5"	7
"ABCG8"	45
"ABHD1"	9
"ABHD10"	162
"ABHD11"	82
"ABHD11-AS1"	1
"ABHD12"	557
"ABHD12B"	19
"ABHD13"	226
"ABHD14A"	113
"ABHD14A-ACY1"	69
"ABHD14B"	86
"ABHD15"	36
"ABHD16A"	189
"ABHD16B"	0
"ABHD17A"	866
"ABHD17B"	253
"ABHD17C"	117
"ABHD18"	247
"ABHD2"	2302
"ABHD3"	66
"ABHD4"	111
"ABHD5"	223
"ABHD6"	267
"ABHD8"	579
"ABI1"	587
"ABI2"	2132
"ABI3"	32
"ABI3BP"	47
"ABL1"	766
"ABL2"	896
"ABLIM1"	2783
"ABLIM2"	929
"ABLIM3"	461
