gene/TE	../../BAM/CGND_13315/HRA-00466_PE.bam
"A1BG"	50
"A1BG-AS1"	153
"A1CF"	0
"A2M"	697
"A2M-AS1"	31
"A2ML1"	9
"A2MP1"	2
"A3GALT2"	6
"A4GALT"	91
"A4GNT"	1
"AA06"	56
"AAAS"	154
"AACS"	1012
"AACSP1"	12
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	1
"AADACL3"	0
"AADACL4"	0
"AADACP1"	0
"AADAT"	223
"AAED1"	28
"AAGAB"	463
"AAK1"	5671
"AAMDC"	39
"AAMP"	975
"AANAT"	8
"AAR2"	183
"AARD"	3
"AARS"	3528
"AARS2"	444
"AARSD1"	141
"AASDH"	254
"AASDHPPT"	672
"AASS"	497
"AATBC"	0
"AATF"	328
"AATK"	3812
"ABALON"	2
"ABAT"	3869
"ABCA1"	953
"ABCA10"	354
"ABCA11P"	281
"ABCA12"	14
"ABCA13"	2
"ABCA17P"	64
"ABCA2"	7558
"ABCA3"	3675
"ABCA4"	32
"ABCA5"	1324
"ABCA6"	233
"ABCA7"	315
"ABCA8"	167
"ABCA9"	271
"ABCA9-AS1"	0
"ABCB1"	179
"ABCB10"	244
"ABCB11"	5
"ABCB4"	11
"ABCB5"	0
"ABCB6"	324
"ABCB7"	177
"ABCB8"	602
"ABCB9"	563
"ABCC1"	477
"ABCC10"	396
"ABCC11"	52
"ABCC12"	45
"ABCC13"	0
"ABCC2"	14
"ABCC3"	33
"ABCC4"	116
"ABCC5"	1897
"ABCC5-AS1"	0
"ABCC6"	10
"ABCC6P1"	5
"ABCC6P2"	2
"ABCC8"	1374
"ABCC9"	286
"ABCD1"	50
"ABCD2"	246
"ABCD3"	502
"ABCD4"	645
"ABCE1"	358
"ABCF1"	585
"ABCF2"	714
"ABCF3"	624
"ABCG1"	335
"ABCG2"	141
"ABCG4"	405
"ABCG5"	7
"ABCG8"	56
"ABHD1"	9
"ABHD10"	193
"ABHD11"	140
"ABHD11-AS1"	0
"ABHD12"	1020
"ABHD12B"	36
"ABHD13"	226
"ABHD14A"	168
"ABHD14A-ACY1"	115
"ABHD14B"	90
"ABHD15"	135
"ABHD16A"	373
"ABHD16B"	0
"ABHD17A"	1740
"ABHD17B"	295
"ABHD17C"	157
"ABHD18"	296
"ABHD2"	4520
"ABHD3"	59
"ABHD4"	719
"ABHD5"	230
"ABHD6"	338
"ABHD8"	1190
"ABI1"	1059
"ABI2"	3244
"ABI3"	23
"ABI3BP"	73
"ABL1"	1349
"ABL2"	1361
"ABLIM1"	5042
"ABLIM2"	1789
"ABLIM3"	878
"ABO"	12
"ABR"	11120
"ABRA"	5
"ABRACL"	35
"ABRAXAS1"	21
"ABRAXAS2"	257
"ABT1"	124
"ABTB1"	664
"ABTB2"	146
"ACAA1"	651
"ACAA2"	740
"ACACA"	2952
"ACACB"	2471
"ACAD10"	346
"ACAD11"	308
"ACAD8"	328
"ACAD9"	607
"ACADL"	98
"ACADM"	355
"ACADS"	283
"ACADSB"	700
"ACADVL"	2663
"ACAN"	85
"ACAP1"	4
"ACAP2"	847
"ACAP3"	2823
"ACAT1"	396
"ACAT2"	229
"ACBD3"	467
"ACBD3-AS1"	0
"ACBD4"	224
"ACBD5"	723
"ACBD6"	216
"ACBD7"	955
"ACBD7-DCLRE1CP1"	79
"ACCS"	157
"ACCSL"	15
"ACD"	207
"ACE"	163
"ACE2"	3
"ACER1"	0
"ACER2"	130
"ACER3"	349
"ACHE"	459
"ACIN1"	1758
"ACKR1"	203
"ACKR2"	16
"ACKR3"	139
"ACKR4"	0
"ACLY"	1458
"ACMSD"	0
"ACO1"	800
"ACO2"	5100
"ACOD1"	0
"ACOT1"	61
"ACOT11"	337
"ACOT12"	3
"ACOT13"	173
"ACOT2"	202
"ACOT4"	49
"ACOT6"	1
"ACOT7"	1181
"ACOT8"	210
"ACOT9"	243
"ACOX1"	1546
"ACOX2"	42
"ACOX3"	482
"ACOXL"	0
"ACOXL-AS1"	14
"ACP1"	356
"ACP2"	436
"ACP4"	2
"ACP5"	0
"ACP6"	190
"ACP7"	8
"ACPP"	0
"ACR"	17
"ACRBP"	7
"ACRV1"	21
"ACSBG1"	1330
"ACSBG2"	0
"ACSF2"	162
"ACSF3"	213
"ACSL1"	337
"ACSL3"	1948
"ACSL4"	611
"ACSL5"	279
"ACSL6"	2063
"ACSM1"	23
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	2
"ACSM4"	2
"ACSM5"	95
"ACSM6"	2
"ACSS1"	611
"ACSS2"	261
"ACSS3"	331
"ACTA1"	19
"ACTA2"	41
"ACTA2-AS1"	142
"ACTB"	26092
"ACTBL2"	0
"ACTC1"	19
"ACTG1"	13826
"ACTG1P17"	12
"ACTG1P20"	44
"ACTG1P4"	206
"ACTG2"	0
"ACTL10"	4
"ACTL6A"	51
"ACTL6B"	376
"ACTL7A"	0
"ACTL7B"	1
"ACTL8"	0
"ACTL9"	0
"ACTN1"	2692
"ACTN1-AS1"	3
"ACTN2"	1112
"ACTN3"	1
"ACTN4"	2721
"ACTR10"	397
"ACTR1A"	2132
"ACTR1B"	1352
"ACTR2"	2440
"ACTR3"	707
"ACTR3B"	471
"ACTR3BP2"	0
"ACTR3BP5"	0
"ACTR3C"	150
"ACTR5"	138
"ACTR6"	144
"ACTR8"	385
"ACTRT1"	1
"ACTRT2"	0
"ACTRT3"	19
"ACVR1"	259
"ACVR1B"	1420
"ACVR1C"	160
"ACVR2A"	325
"ACVR2B"	690
"ACVR2B-AS1"	16
"ACVRL1"	109
"ACY1"	37
"ACY3"	4
"ACYP1"	69
"ACYP2"	185
"ADA"	14
"ADA2"	179
"ADAD1"	0
"ADAD2"	16
"ADAL"	133
"ADAM10"	718
"ADAM11"	1915
"ADAM12"	66
"ADAM15"	441
"ADAM17"	475
"ADAM18"	0
"ADAM19"	434
"ADAM1A"	151
"ADAM2"	0
"ADAM20"	133
"ADAM20P1"	172
"ADAM21"	2
"ADAM21P1"	0
"ADAM22"	2171
"ADAM23"	1972
"ADAM28"	27
"ADAM29"	6
"ADAM30"	0
"ADAM32"	115
"ADAM33"	86
"ADAM3A"	0
"ADAM3B"	4
"ADAM5"	6
"ADAM6"	0
"ADAM7"	0
"ADAM8"	59
"ADAM9"	746
"ADAMDEC1"	0
"ADAMTS1"	548
"ADAMTS10"	602
"ADAMTS12"	7
"ADAMTS13"	269
"ADAMTS14"	36
"ADAMTS15"	14
"ADAMTS16"	92
"ADAMTS17"	191
"ADAMTS18"	6
"ADAMTS19"	192
"ADAMTS19-AS1"	11
"ADAMTS2"	205
"ADAMTS20"	7
"ADAMTS3"	144
"ADAMTS4"	314
"ADAMTS5"	16
"ADAMTS6"	35
"ADAMTS7"	53
"ADAMTS7P1"	130
"ADAMTS8"	260
"ADAMTS9"	912
"ADAMTS9-AS1"	3
"ADAMTS9-AS2"	73
"ADAMTSL1"	99
"ADAMTSL2"	226
"ADAMTSL3"	145
"ADAMTSL4"	152
"ADAMTSL4-AS1"	78
"ADAMTSL5"	2
"ADAP1"	1376
"ADAP2"	56
"ADAR"	5934
"ADARB1"	947
"ADARB2"	997
"ADARB2-AS1"	0
"ADAT1"	499
"ADAT2"	79
"ADAT3"	38
"ADCK1"	90
"ADCK2"	395
"ADCK5"	111
"ADCY1"	12210
"ADCY10"	63
"ADCY10P1"	117
"ADCY2"	3223
"ADCY3"	1530
"ADCY4"	25
"ADCY5"	2144
"ADCY6"	859
"ADCY7"	166
"ADCY8"	348
"ADCY9"	1261
"ADCYAP1"	333
"ADCYAP1R1"	4188
"ADD1"	6588
"ADD2"	4285
"ADD3"	3381
"ADD3-AS1"	29
"ADGB"	1
"ADGRA1"	989
"ADGRA1-AS1"	33
"ADGRA2"	366
"ADGRA3"	597
"ADGRB1"	3382
"ADGRB2"	7197
"ADGRB3"	3816
"ADGRD1"	67
"ADGRD1-AS1"	0
"ADGRE1"	2
"ADGRE2"	21
"ADGRE3"	0
"ADGRE4P"	0
"ADGRE5"	58
"ADGRF1"	0
"ADGRF2"	5
"ADGRF3"	21
"ADGRF4"	4
"ADGRF5"	478
"ADGRG1"	4643
"ADGRG2"	5
"ADGRG3"	11
"ADGRG4"	2
"ADGRG5"	5
"ADGRG6"	29
"ADGRG7"	0
"ADGRL1"	8106
"ADGRL2"	1391
"ADGRL3"	3053
"ADGRL3-AS1"	1
"ADGRL4"	132
"ADGRV1"	6636
"ADH1A"	0
"ADH1B"	25
"ADH1C"	0
"ADH4"	0
"ADH5"	609
"ADH6"	0
"ADH7"	0
"ADHFE1"	299
"ADI1"	487
"ADIG"	4
"ADIPOQ"	2
"ADIPOQ-AS1"	0
"ADIPOR1"	809
"ADIPOR2"	889
"ADIRF"	330
"ADK"	233
"ADM"	474
"ADM2"	4
"ADM5"	7
"ADNP"	1416
"ADNP-AS1"	10
"ADNP2"	564
"ADO"	432
"ADORA1"	627
"ADORA2A"	36
"ADORA2A-AS1"	1
"ADORA2B"	220
"ADORA3"	4
"ADPGK"	328
"ADPGK-AS1"	10
"ADPRH"	19
"ADPRHL1"	91
"ADPRHL2"	124
"ADPRM"	61
"ADRA1A"	365
"ADRA1B"	307
"ADRA1D"	52
"ADRA2A"	145
"ADRA2B"	9
"ADRA2C"	63
"ADRB1"	528
"ADRB2"	24
"ADRB3"	12
"ADRM1"	419
"ADSL"	146
"ADSS"	396
"ADSSL1"	63
"ADTRP"	40
"AEBP1"	234
"AEBP2"	699
"AEN"	137
"AES"	5921
"AFAP1"	885
"AFAP1-AS1"	20
"AFAP1L1"	74
"AFAP1L2"	589
"AFDN"	2665
"AFDN-DT"	12
"AFF1"	1673
"AFF1-AS1"	34
"AFF2"	619
"AFF3"	2071
"AFF4"	3742
"AFG1L"	146
"AFG3L1P"	385
"AFG3L2"	784
"AFM"	0
"AFMID"	151
"AFP"	2
"AFTPH"	622
"AGA"	59
"AGAP1"	5248
"AGAP1-IT1"	37
"AGAP11"	60
"AGAP12P"	102
"AGAP2"	12914
"AGAP2-AS1"	8
"AGAP3"	3348
"AGAP4"	377
"AGAP5"	112
"AGAP6"	332
"AGAP7P"	15
"AGAP9"	307
"AGBL1"	10
"AGBL1-AS1"	0
"AGBL2"	9
"AGBL3"	64
"AGBL4"	294
"AGBL4-IT1"	26
"AGBL5"	206
"AGBL5-AS1"	2
"AGER"	19
"AGFG1"	996
"AGFG2"	583
"AGGF1"	527
"AGK"	434
"AGL"	637
"AGMAT"	30
"AGMO"	3
"AGO1"	1572
"AGO2"	1873
"AGO3"	465
"AGO4"	1019
"AGPAT1"	1103
"AGPAT2"	155
"AGPAT3"	3202
"AGPAT4"	880
"AGPAT4-IT1"	82
"AGPAT5"	438
"AGPS"	402
"AGR2"	0
"AGR3"	0
"AGRN"	1878
"AGRP"	4
"AGT"	3932
"AGTPBP1"	1585
"AGTR1"	1
"AGTR2"	0
"AGTRAP"	145
"AGXT"	0
"AGXT2"	0
"AHCTF1"	1999
"AHCTF1P1"	8
"AHCY"	508
"AHCYL1"	7592
"AHCYL2"	1774
"AHDC1"	2703
"AHI1"	2815
"AHNAK"	20745
"AHNAK2"	3071
"AHR"	289
"AHRR"	208
"AHSA1"	511
"AHSA2P"	480
"AHSG"	11
"AHSP"	1
"AICDA"	0
"AIDA"	440
"AIF1"	14
"AIF1L"	1012
"AIFM1"	195
"AIFM2"	338
"AIFM3"	370
"AIG1"	368
"AIM2"	3
"AIMP1"	254
"AIMP2"	101
"AIP"	273
"AIPL1"	3
"AIRE"	40
"AIRN"	5
"AJAP1"	932
"AJM1"	940
"AJUBA"	8
"AK1"	408
"AK2"	536
"AK3"	525
"AK4"	1141
"AK5"	3416
"AK6"	91
"AK7"	30
"AK8"	60
"AK9"	200
"AKAIN1"	3
"AKAP1"	1116
"AKAP10"	805
"AKAP11"	5839
"AKAP12"	6312
"AKAP13"	2057
"AKAP14"	8
"AKAP17A"	238
"AKAP2"	641
"AKAP3"	18
"AKAP4"	0
"AKAP5"	639
"AKAP6"	5137
"AKAP7"	248
"AKAP8"	522
"AKAP8L"	1548
"AKAP9"	3559
"AKIP1"	130
"AKIRIN1"	928
"AKIRIN2"	542
"AKNA"	468
"AKNAD1"	2
"AKR1A1"	174
"AKR1B1"	595
"AKR1B10"	0
"AKR1B15"	0
"AKR1C1"	70
"AKR1C2"	21
"AKR1C3"	64
"AKR1C4"	0
"AKR1C6P"	0
"AKR1C8P"	0
"AKR1D1"	0
"AKR1E2"	114
"AKR7A2"	377
"AKR7A2P1"	7
"AKR7A3"	44
"AKR7L"	34
"AKT1"	1191
"AKT1S1"	355
"AKT2"	1080
"AKT3"	4363
"AKTIP"	510
"ALAD"	986
"ALAS1"	493
"ALAS2"	0
"ALB"	8
"ALCAM"	806
"ALDH16A1"	90
"ALDH18A1"	542
"ALDH1A1"	713
"ALDH1A2"	37
"ALDH1A3"	208
"ALDH1B1"	139
"ALDH1L1"	2461
"ALDH1L1-AS1"	4
"ALDH1L1-AS2"	31
"ALDH1L2"	308
"ALDH2"	3082
"ALDH3A1"	3
"ALDH3A2"	722
"ALDH3B1"	28
"ALDH3B2"	0
"ALDH4A1"	1728
"ALDH5A1"	1628
"ALDH6A1"	2342
"ALDH7A1"	2026
"ALDH8A1"	119
"ALDH9A1"	803
"ALDOA"	11466
"ALDOB"	1
"ALDOC"	8735
"ALG1"	220
"ALG10"	67
"ALG10B"	194
"ALG11"	152
"ALG12"	139
"ALG13"	465
"ALG14"	44
"ALG1L"	33
"ALG1L2"	0
"ALG1L9P"	168
"ALG2"	167
"ALG3"	88
"ALG5"	89
"ALG6"	87
"ALG8"	86
"ALG9"	373
"ALK"	161
"ALKAL1"	0
"ALKAL2"	11
"ALKBH1"	125
"ALKBH2"	91
"ALKBH3"	208
"ALKBH3-AS1"	0
"ALKBH4"	144
"ALKBH5"	1819
"ALKBH6"	166
"ALKBH7"	136
"ALKBH8"	125
"ALLC"	1
"ALMS1"	2703
"ALMS1-IT1"	31
"ALMS1P1"	67
"ALOX12"	0
"ALOX12-AS1"	38
"ALOX12B"	55
"ALOX12P2"	171
"ALOX15"	2
"ALOX15B"	49
"ALOX15P1"	32
"ALOX5"	57
"ALOX5AP"	12
"ALOXE3"	66
"ALPI"	0
"ALPK1"	59
"ALPK2"	4
"ALPK3"	271
"ALPL"	166
"ALPP"	0
"ALPPL2"	0
"ALS2"	1379
"ALS2CL"	442
"ALS2CR12"	191
"ALX1"	0
"ALX3"	3
"ALX4"	5
"ALYREF"	218
"AMACR"	75
"AMBN"	0
"AMBP"	2
"AMBRA1"	1092
"AMD1"	762
"AMDHD1"	5
"AMDHD2"	363
"AMELX"	2
"AMELY"	0
"AMER1"	348
"AMER2"	2040
"AMER3"	907
"AMFR"	2162
"AMH"	31
"AMHR2"	1
"AMIGO1"	1105
"AMIGO2"	68
"AMIGO3"	43
"AMMECR1"	95
"AMMECR1L"	265
"AMN"	33
"AMN1"	252
"AMOT"	1958
"AMOTL1"	897
"AMOTL2"	677
"AMPD1"	0
"AMPD2"	1288
"AMPD3"	354
"AMPH"	1927
"AMT"	137
"AMTN"	0
"AMY1A"	2
"AMY1B"	2
"AMY1C"	0
"AMY2A"	30
"AMY2B"	505
"AMZ1"	231
"AMZ2"	930
"AMZ2P1"	235
"ANAPC1"	901
"ANAPC10"	89
"ANAPC11"	209
"ANAPC13"	193
"ANAPC15"	151
"ANAPC16"	288
"ANAPC1P1"	0
"ANAPC2"	451
"ANAPC4"	337
"ANAPC5"	798
"ANAPC7"	338
"ANG"	17
"ANGEL1"	669
"ANGEL2"	501
"ANGPT1"	29
"ANGPT2"	60
"ANGPT4"	10
"ANGPTL1"	33
"ANGPTL2"	142
"ANGPTL3"	0
"ANGPTL4"	2260
"ANGPTL5"	0
"ANGPTL6"	10
