gene/TE	../../STAR_v252_mapping/CGND_12893/HRA-00385-b38_PE.bam
"A1BG"	80
"A1BG-AS1"	122
"A1CF"	0
"A2M"	1279
"A2M-AS1"	110
"A2ML1"	102
"A2MP1"	2
"A3GALT2"	0
"A4GALT"	14
"A4GNT"	0
"AA06"	12
"AAAS"	262
"AACS"	618
"AACSP1"	7
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	1
"AADACL3"	0
"AADACL4"	0
"AADACP1"	0
"AADAT"	282
"AAED1"	87
"AAGAB"	837
"AAK1"	6779
"AAMDC"	106
"AAMP"	977
"AANAT"	1
"AAR2"	276
"AARD"	8
"AARS"	3903
"AARS2"	432
"AARSD1"	109
"AASDH"	695
"AASDHPPT"	2073
"AASS"	1065
"AATBC"	1
"AATF"	521
"AATK"	4476
"ABALON"	4
"ABAT"	4501
"ABCA1"	791
"ABCA10"	339
"ABCA11P"	246
"ABCA12"	7
"ABCA13"	2
"ABCA17P"	72
"ABCA2"	19803
"ABCA3"	1521
"ABCA4"	5
"ABCA5"	2348
"ABCA6"	701
"ABCA7"	82
"ABCA8"	6265
"ABCA9"	242
"ABCA9-AS1"	0
"ABCB1"	165
"ABCB10"	398
"ABCB11"	7
"ABCB4"	3
"ABCB5"	0
"ABCB6"	273
"ABCB7"	462
"ABCB8"	347
"ABCB9"	198
"ABCC1"	260
"ABCC10"	181
"ABCC11"	17
"ABCC12"	37
"ABCC13"	1
"ABCC2"	36
"ABCC3"	3
"ABCC4"	392
"ABCC5"	1296
"ABCC5-AS1"	0
"ABCC6"	15
"ABCC6P1"	4
"ABCC6P2"	1
"ABCC8"	323
"ABCC9"	1027
"ABCD1"	64
"ABCD2"	589
"ABCD3"	1593
"ABCD4"	372
"ABCE1"	1357
"ABCF1"	793
"ABCF2"	840
"ABCF3"	641
"ABCG1"	727
"ABCG2"	218
"ABCG4"	142
"ABCG5"	3
"ABCG8"	9
"ABHD1"	5
"ABHD10"	803
"ABHD11"	61
"ABHD11-AS1"	0
"ABHD12"	1311
"ABHD12B"	102
"ABHD13"	831
"ABHD14A"	193
"ABHD14A-ACY1"	116
"ABHD14B"	99
"ABHD15"	87
"ABHD16A"	419
"ABHD16B"	0
"ABHD17A"	1633
"ABHD17B"	1659
"ABHD17C"	293
"ABHD18"	409
"ABHD2"	3172
"ABHD3"	96
"ABHD4"	359
"ABHD5"	1144
"ABHD6"	856
"ABHD8"	779
"ABI1"	1491
"ABI2"	6786
"ABI3"	125
"ABI3BP"	176
"ABL1"	1610
"ABL2"	2358
"ABLIM1"	4203
"ABLIM2"	997
"ABLIM3"	523
"ABO"	1
"ABR"	6078
"ABRA"	5
"ABRACL"	74
"ABRAXAS1"	112
"ABRAXAS2"	445
"ABT1"	178
"ABTB1"	482
"ABTB2"	201
"ACAA1"	638
"ACAA2"	661
"ACACA"	4054
"ACACB"	855
"ACAD10"	325
"ACAD11"	624
"ACAD8"	348
"ACAD9"	543
"ACADL"	53
"ACADM"	946
"ACADS"	180
"ACADSB"	1286
"ACADVL"	1350
"ACAN"	33
"ACAP1"	14
"ACAP2"	1767
"ACAP3"	1177
"ACAT1"	715
"ACAT2"	401
"ACBD3"	1105
"ACBD3-AS1"	0
"ACBD4"	150
"ACBD5"	2346
"ACBD6"	271
"ACBD7"	1637
"ACBD7-DCLRE1CP1"	95
"ACCS"	49
"ACCSL"	0
"ACD"	161
"ACE"	48
"ACE2"	4
"ACER1"	0
"ACER2"	119
"ACER3"	2321
"ACHE"	204
"ACIN1"	1462
"ACKR1"	50
"ACKR2"	24
"ACKR3"	83
"ACKR4"	0
"ACLY"	1454
"ACMSD"	0
"ACO1"	596
"ACO2"	4302
"ACOD1"	0
"ACOT1"	31
"ACOT11"	210
"ACOT12"	7
"ACOT13"	398
"ACOT2"	165
"ACOT4"	40
"ACOT6"	1
"ACOT7"	941
"ACOT8"	286
"ACOT9"	251
"ACOX1"	2010
"ACOX2"	38
"ACOX3"	321
"ACOXL"	0
"ACOXL-AS1"	9
"ACP1"	987
"ACP2"	291
"ACP4"	1
"ACP5"	14
"ACP6"	152
"ACP7"	77
"ACPP"	22
"ACR"	3
"ACRBP"	12
"ACRV1"	12
"ACSBG1"	779
"ACSBG2"	0
"ACSF2"	96
"ACSF3"	197
"ACSL1"	2691
"ACSL3"	5281
"ACSL4"	2387
"ACSL5"	73
"ACSL6"	2797
"ACSM1"	3
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	1
"ACSM4"	0
"ACSM5"	57
"ACSM6"	2
"ACSS1"	1094
"ACSS2"	839
"ACSS3"	612
"ACTA1"	5
"ACTA2"	33
"ACTA2-AS1"	97
"ACTB"	23119
"ACTBL2"	0
"ACTC1"	7
"ACTG1"	11333
"ACTG1P17"	6
"ACTG1P20"	43
"ACTG1P4"	78
"ACTG2"	0
"ACTL10"	10
"ACTL6A"	250
"ACTL6B"	236
"ACTL7A"	0
"ACTL7B"	0
"ACTL8"	0
"ACTL9"	0
"ACTN1"	979
"ACTN1-AS1"	0
"ACTN2"	1363
"ACTN3"	0
"ACTN4"	2675
"ACTR10"	977
"ACTR1A"	2116
"ACTR1B"	918
"ACTR2"	6819
"ACTR3"	2507
"ACTR3B"	743
"ACTR3BP2"	0
"ACTR3BP5"	0
"ACTR3C"	138
"ACTR5"	165
"ACTR6"	813
"ACTR8"	617
"ACTRT1"	1
"ACTRT2"	0
"ACTRT3"	34
"ACVR1"	316
"ACVR1B"	656
"ACVR1C"	1082
"ACVR2A"	940
"ACVR2B"	1178
"ACVR2B-AS1"	13
"ACVRL1"	46
"ACY1"	37
"ACY3"	19
"ACYP1"	221
"ACYP2"	525
"ADA"	114
"ADA2"	204
"ADAD1"	0
"ADAD2"	8
"ADAL"	268
"ADAM10"	2908
"ADAM11"	532
"ADAM12"	132
"ADAM15"	525
"ADAM17"	814
"ADAM18"	0
"ADAM19"	312
"ADAM1A"	151
"ADAM2"	0
"ADAM20"	127
"ADAM20P1"	98
"ADAM21"	11
"ADAM21P1"	0
"ADAM22"	5078
"ADAM23"	1715
"ADAM28"	217
"ADAM29"	2
"ADAM30"	0
"ADAM32"	274
"ADAM33"	7
"ADAM3A"	0
"ADAM3B"	5
"ADAM5"	5
"ADAM6"	0
"ADAM7"	0
"ADAM8"	22
"ADAM9"	1508
"ADAMDEC1"	0
"ADAMTS1"	1166
"ADAMTS10"	106
"ADAMTS12"	5
"ADAMTS13"	93
"ADAMTS14"	191
"ADAMTS15"	12
"ADAMTS16"	43
"ADAMTS17"	115
"ADAMTS18"	3
"ADAMTS19"	240
"ADAMTS19-AS1"	12
"ADAMTS2"	51
"ADAMTS20"	10
"ADAMTS3"	193
"ADAMTS4"	1273
"ADAMTS5"	71
"ADAMTS6"	75
"ADAMTS7"	29
"ADAMTS7P1"	6
"ADAMTS8"	203
"ADAMTS9"	416
