gene/TE	../../STAR_v252_mapping/CGND_12893/HRA-00312_PE.bam
"A1BG"	69
"A1BG-AS1"	129
"A1CF"	0
"A2M"	2491
"A2M-AS1"	61
"A2ML1"	65
"A2MP1"	2
"A3GALT2"	6
"A4GALT"	37
"A4GNT"	0
"AA06"	38
"AAAS"	221
"AACS"	1101
"AACSP1"	16
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	0
"AADACL3"	0
"AADACL4"	0
"AADACP1"	0
"AADAT"	192
"AAED1"	119
"AAGAB"	991
"AAK1"	12617
"AAMDC"	85
"AAMP"	1346
"AANAT"	4
"AAR2"	255
"AARD"	7
"AARS"	7278
"AARS2"	385
"AARSD1"	170
"AASDH"	530
"AASDHPPT"	2158
"AASS"	730
"AATBC"	1
"AATF"	636
"AATK"	5191
"ABALON"	2
"ABAT"	6762
"ABCA1"	427
"ABCA10"	498
"ABCA11P"	163
"ABCA12"	14
"ABCA13"	3
"ABCA17P"	64
"ABCA2"	17042
"ABCA3"	3248
"ABCA4"	27
"ABCA5"	2309
"ABCA6"	325
"ABCA7"	329
"ABCA8"	2126
"ABCA9"	339
"ABCA9-AS1"	0
"ABCB1"	386
"ABCB10"	357
"ABCB11"	0
"ABCB4"	17
"ABCB5"	0
"ABCB6"	433
"ABCB7"	566
"ABCB8"	371
"ABCB9"	590
"ABCC1"	506
"ABCC10"	173
"ABCC11"	22
"ABCC12"	18
"ABCC13"	0
"ABCC2"	19
"ABCC3"	18
"ABCC4"	389
"ABCC5"	2391
"ABCC5-AS1"	0
"ABCC6"	22
"ABCC6P1"	3
"ABCC6P2"	1
"ABCC8"	639
"ABCC9"	898
"ABCD1"	53
"ABCD2"	579
"ABCD3"	1134
"ABCD4"	515
"ABCE1"	1624
"ABCF1"	965
"ABCF2"	1155
"ABCF3"	952
"ABCG1"	690
"ABCG2"	444
"ABCG4"	653
"ABCG5"	1
"ABCG8"	9
"ABHD1"	6
"ABHD10"	1040
"ABHD11"	89
"ABHD11-AS1"	0
"ABHD12"	1558
"ABHD12B"	55
"ABHD13"	1078
"ABHD14A"	226
"ABHD14A-ACY1"	126
