gene/TE	../../STAR_v252_mapping/CGND_12856/HRA-00086_PE.bam
"A1BG"	99
"A1BG-AS1"	112
"A1CF"	0
"A2M"	3451
"A2M-AS1"	197
"A2ML1"	109
"A2MP1"	0
"A3GALT2"	2
"A4GALT"	24
"A4GNT"	0
"AA06"	1
"AAAS"	348
"AACS"	392
"AACSP1"	12
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	0
"AADACL3"	0
"AADACL4"	0
"AADACP1"	1
"AADAT"	251
"AAED1"	99
"AAGAB"	537
"AAK1"	5193
"AAMDC"	152
"AAMP"	1040
"AANAT"	0
"AAR2"	401
"AARD"	13
"AARS"	4437
"AARS2"	386
"AARSD1"	46
"AASDH"	806
"AASDHPPT"	1762
"AASS"	1347
"AATBC"	2
"AATF"	918
"AATK"	7651
"ABALON"	7
"ABAT"	3115
"ABCA1"	2353
"ABCA10"	268
"ABCA11P"	204
"ABCA12"	4
"ABCA13"	9
"ABCA17P"	127
"ABCA2"	42063
"ABCA3"	1669
"ABCA4"	5
"ABCA5"	1694
"ABCA6"	2344
"ABCA7"	138
"ABCA8"	14751
"ABCA9"	661
"ABCA9-AS1"	1
"ABCB1"	349
"ABCB10"	444
"ABCB11"	3
"ABCB4"	8
"ABCB5"	0
"ABCB6"	413
"ABCB7"	538
"ABCB8"	481
"ABCB9"	189
"ABCC1"	359
"ABCC10"	164
"ABCC11"	23
"ABCC12"	4
"ABCC13"	1
"ABCC2"	113
"ABCC3"	5
"ABCC4"	569
"ABCC5"	1581
"ABCC5-AS1"	0
"ABCC6"	16
"ABCC6P1"	2
"ABCC6P2"	1
"ABCC8"	270
"ABCC9"	740
"ABCD1"	126
"ABCD2"	226
"ABCD3"	1913
"ABCD4"	675
"ABCE1"	1385
"ABCF1"	907
"ABCF2"	800
"ABCF3"	643
"ABCG1"	1311
"ABCG2"	231
"ABCG4"	46
"ABCG5"	0
"ABCG8"	3
"ABHD1"	16
"ABHD10"	622
"ABHD11"	45
"ABHD11-AS1"	1
"ABHD12"	1788
"ABHD12B"	34
"ABHD13"	766
"ABHD14A"	138
"ABHD14A-ACY1"	104
"ABHD14B"	141
"ABHD15"	108
"ABHD16A"	549
"ABHD16B"	0
"ABHD17A"	1534
"ABHD17B"	2823
"ABHD17C"	245
"ABHD18"	420
"ABHD2"	2460
"ABHD3"	442
"ABHD4"	726
"ABHD5"	1299
"ABHD6"	1484
"ABHD8"	329
"ABI1"	1342
"ABI2"	4511
"ABI3"	138
"ABI3BP"	520
"ABL1"	2547
"ABL2"	2220
"ABLIM1"	4760
"ABLIM2"	432
"ABLIM3"	505
"ABO"	3
"ABR"	4236
"ABRA"	2
"ABRACL"	34
"ABRAXAS1"	70
"ABRAXAS2"	397
"ABT1"	155
"ABTB1"	417
"ABTB2"	484
"ACAA1"	917
"ACAA2"	610
"ACACA"	4378
"ACACB"	1117
"ACAD10"	414
"ACAD11"	701
"ACAD8"	414
"ACAD9"	547
"ACADL"	28
"ACADM"	802
"ACADS"	180
"ACADSB"	942
"ACADVL"	2051
"ACAN"	128
"ACAP1"	13
"ACAP2"	2330
"ACAP3"	1126
"ACAT1"	721
"ACAT2"	341
"ACBD3"	1049
"ACBD3-AS1"	1
"ACBD4"	135
"ACBD5"	3251
"ACBD6"	262
"ACBD7"	904
"ACBD7-DCLRE1CP1"	47
"ACCS"	40
"ACCSL"	0
"ACD"	115
"ACE"	21
"ACE2"	7
"ACER1"	3
"ACER2"	213
"ACER3"	3803
"ACHE"	149
"ACIN1"	2509
"ACKR1"	99
"ACKR2"	18
"ACKR3"	76
"ACKR4"	5
"ACLY"	1674
"ACMSD"	0
"ACO1"	697
"ACO2"	3939
"ACOD1"	0
"ACOT1"	35
"ACOT11"	244
"ACOT12"	11
"ACOT13"	388
"ACOT2"	135
"ACOT4"	7
"ACOT6"	0
"ACOT7"	551
"ACOT8"	252
"ACOT9"	194
"ACOX1"	1834
"ACOX2"	61
"ACOX3"	485
"ACOXL"	0
"ACOXL-AS1"	3
"ACP1"	801
"ACP2"	210
"ACP4"	0
"ACP5"	33
"ACP6"	210
"ACP7"	155
"ACPP"	20
"ACR"	2
"ACRBP"	24
"ACRV1"	5
"ACSBG1"	847
"ACSBG2"	7
"ACSF2"	144
"ACSF3"	237
"ACSL1"	4962
"ACSL3"	4246
"ACSL4"	1687
"ACSL5"	145
"ACSL6"	1437
"ACSM1"	7
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	0
"ACSM4"	0
"ACSM5"	77
"ACSM6"	0
"ACSS1"	1346
"ACSS2"	1073
"ACSS3"	601
"ACTA1"	4
"ACTA2"	62
"ACTA2-AS1"	71
"ACTB"	25072
"ACTBL2"	0
"ACTC1"	9
"ACTG1"	9605
"ACTG1P17"	14
"ACTG1P20"	59
"ACTG1P4"	62
"ACTG2"	1
"ACTL10"	5
"ACTL6A"	363
"ACTL6B"	72
"ACTL7A"	0
"ACTL7B"	0
"ACTL8"	0
"ACTL9"	0
"ACTN1"	593
"ACTN1-AS1"	2
"ACTN2"	1706
"ACTN3"	2
"ACTN4"	4060
"ACTR10"	696
"ACTR1A"	2553
"ACTR1B"	667
"ACTR2"	5034
"ACTR3"	2478
"ACTR3B"	383
"ACTR3BP2"	0
"ACTR3BP5"	0
"ACTR3C"	139
"ACTR5"	172
"ACTR6"	682
"ACTR8"	668
"ACTRT1"	0
"ACTRT2"	0
"ACTRT3"	119
"ACVR1"	373
"ACVR1B"	439
"ACVR1C"	767
"ACVR2A"	740
"ACVR2B"	1388
"ACVR2B-AS1"	11
"ACVRL1"	64
"ACY1"	47
"ACY3"	15
"ACYP1"	246
"ACYP2"	722
"ADA"	276
"ADA2"	375
"ADAD1"	1
"ADAD2"	2
"ADAL"	263
"ADAM10"	4316
"ADAM11"	216
"ADAM12"	185
"ADAM15"	848
"ADAM17"	957
"ADAM18"	2
"ADAM19"	137
"ADAM1A"	136
"ADAM2"	0
"ADAM20"	132
"ADAM20P1"	100
"ADAM21"	8
"ADAM21P1"	0
"ADAM22"	3645
"ADAM23"	1003
"ADAM28"	450
"ADAM29"	0
"ADAM30"	0
"ADAM32"	284
"ADAM33"	29
"ADAM3A"	0
"ADAM3B"	9
"ADAM5"	7
"ADAM6"	0
"ADAM7"	0
"ADAM8"	72
"ADAM9"	1877
"ADAMDEC1"	0
"ADAMTS1"	1930
"ADAMTS10"	95
"ADAMTS12"	51
"ADAMTS13"	149
"ADAMTS14"	293
"ADAMTS15"	11
"ADAMTS16"	7
"ADAMTS17"	77
"ADAMTS18"	1009
"ADAMTS19"	158
"ADAMTS19-AS1"	5
"ADAMTS2"	57
"ADAMTS20"	12
"ADAMTS3"	74
"ADAMTS4"	2194
"ADAMTS5"	70
"ADAMTS6"	58
"ADAMTS7"	24
"ADAMTS7P1"	7
"ADAMTS8"	67
"ADAMTS9"	964
"ADAMTS9-AS1"	1
