gene/TE	../../STAR_v252_mapping/CGND_12893/HRA-00338-b38_PE.bam
"A1BG"	29
"A1BG-AS1"	88
"A1CF"	0
"A2M"	1171
"A2M-AS1"	86
"A2ML1"	105
"A2MP1"	3
"A3GALT2"	2
"A4GALT"	37
"A4GNT"	1
"AA06"	36
"AAAS"	181
"AACS"	806
"AACSP1"	17
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	0
"AADACL3"	0
"AADACL4"	0
"AADACP1"	0
"AADAT"	300
"AAED1"	69
"AAGAB"	752
"AAK1"	9744
"AAMDC"	49
"AAMP"	919
"AANAT"	2
"AAR2"	190
"AARD"	12
"AARS"	4485
"AARS2"	404
"AARSD1"	138
"AASDH"	719
"AASDHPPT"	1958
"AASS"	869
"AATBC"	1
"AATF"	457
"AATK"	3695
"ABALON"	2
"ABAT"	5448
"ABCA1"	612
"ABCA10"	943
"ABCA11P"	310
"ABCA12"	12
"ABCA13"	2
"ABCA17P"	70
"ABCA2"	9266
"ABCA3"	2527
"ABCA4"	24
"ABCA5"	3053
"ABCA6"	662
"ABCA7"	233
"ABCA8"	1846
"ABCA9"	475
"ABCA9-AS1"	0
"ABCB1"	179
"ABCB10"	354
"ABCB11"	4
"ABCB4"	13
"ABCB5"	0
"ABCB6"	292
"ABCB7"	426
"ABCB8"	378
"ABCB9"	386
"ABCC1"	355
"ABCC10"	187
"ABCC11"	14
"ABCC12"	26
"ABCC13"	2
"ABCC2"	29
"ABCC3"	12
"ABCC4"	250
"ABCC5"	1950
"ABCC5-AS1"	0
"ABCC6"	13
"ABCC6P1"	3
"ABCC6P2"	1
"ABCC8"	565
"ABCC9"	655
"ABCD1"	49
"ABCD2"	747
"ABCD3"	1014
"ABCD4"	435
"ABCE1"	1124
"ABCF1"	613
"ABCF2"	845
"ABCF3"	740
"ABCG1"	665
"ABCG2"	200
"ABCG4"	333
"ABCG5"	5
"ABCG8"	29
"ABHD1"	9
"ABHD10"	653
"ABHD11"	113
"ABHD11-AS1"	1
"ABHD12"	1224
"ABHD12B"	68
"ABHD13"	850
"ABHD14A"	211
"ABHD14A-ACY1"	118
"ABHD14B"	97
"ABHD15"	79
"ABHD16A"	335
"ABHD16B"	0
"ABHD17A"	1632
"ABHD17B"	761
"ABHD17C"	260
"ABHD18"	443
"ABHD2"	4067
"ABHD3"	123
"ABHD4"	268
"ABHD5"	532
"ABHD6"	532
"ABHD8"	1050
"ABI1"	1665
"ABI2"	6081
"ABI3"	32
"ABI3BP"	145
"ABL1"	890
"ABL2"	2075
"ABLIM1"	5396
"ABLIM2"	1397
"ABLIM3"	643
"ABO"	3
"ABR"	8057
"ABRA"	0
"ABRACL"	92
"ABRAXAS1"	54
"ABRAXAS2"	453
"ABT1"	175
"ABTB1"	430
"ABTB2"	184
"ACAA1"	433
"ACAA2"	486
"ACACA"	4160
"ACACB"	703
"ACAD10"	269
"ACAD11"	534
"ACAD8"	312
"ACAD9"	453
"ACADL"	33
"ACADM"	806
"ACADS"	123
"ACADSB"	1294
"ACADVL"	1119
"ACAN"	109
"ACAP1"	9
"ACAP2"	1519
"ACAP3"	1350
"ACAT1"	543
"ACAT2"	558
"ACBD3"	780
"ACBD3-AS1"	0
"ACBD4"	190
"ACBD5"	1637
"ACBD6"	250
"ACBD7"	1715
"ACBD7-DCLRE1CP1"	117
"ACCS"	73
"ACCSL"	5
"ACD"	158
"ACE"	92
"ACE2"	4
"ACER1"	0
"ACER2"	93
"ACER3"	1055
"ACHE"	245
"ACIN1"	1307
"ACKR1"	99
"ACKR2"	17
"ACKR3"	85
"ACKR4"	2
"ACLY"	1750
"ACMSD"	0
"ACO1"	685
"ACO2"	4581
"ACOD1"	0
"ACOT1"	60
"ACOT11"	315
"ACOT12"	5
"ACOT13"	372
"ACOT2"	166
"ACOT4"	38
"ACOT6"	2
"ACOT7"	1164
"ACOT8"	210
"ACOT9"	401
"ACOX1"	1976
"ACOX2"	41
"ACOX3"	370
"ACOXL"	0
"ACOXL-AS1"	20
"ACP1"	829
"ACP2"	266
"ACP4"	0
"ACP5"	10
"ACP6"	122
"ACP7"	41
"ACPP"	0
"ACR"	8
"ACRBP"	11
"ACRV1"	23
"ACSBG1"	930
"ACSBG2"	2
"ACSF2"	92
"ACSF3"	222
"ACSL1"	1703
"ACSL3"	5261
"ACSL4"	1535
"ACSL5"	98
"ACSL6"	4585
"ACSM1"	12
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	2
"ACSM4"	0
"ACSM5"	28
"ACSM6"	0
"ACSS1"	1123
"ACSS2"	488
"ACSS3"	698
"ACTA1"	6
"ACTA2"	35
"ACTA2-AS1"	187
"ACTB"	22055
"ACTBL2"	1
"ACTC1"	17
"ACTG1"	11028
"ACTG1P17"	12
"ACTG1P20"	44
"ACTG1P4"	128
"ACTG2"	6
"ACTL10"	4
"ACTL6A"	88
"ACTL6B"	369
"ACTL7A"	0
"ACTL7B"	3
"ACTL8"	4
"ACTL9"	0
"ACTN1"	1400
"ACTN1-AS1"	1
"ACTN2"	786
"ACTN3"	0
"ACTN4"	2287
"ACTR10"	733
"ACTR1A"	2205
"ACTR1B"	1222
"ACTR2"	5528
"ACTR3"	1679
"ACTR3B"	729
"ACTR3BP2"	0
"ACTR3BP5"	0
"ACTR3C"	138
"ACTR5"	164
"ACTR6"	605
"ACTR8"	586
"ACTRT1"	4
"ACTRT2"	0
"ACTRT3"	32
"ACVR1"	254
"ACVR1B"	1193
"ACVR1C"	771
"ACVR2A"	644
"ACVR2B"	857
"ACVR2B-AS1"	30
"ACVRL1"	70
"ACY1"	33
"ACY3"	0
"ACYP1"	194
"ACYP2"	425
"ADA"	40
"ADA2"	173
"ADAD1"	0
"ADAD2"	6
"ADAL"	315
"ADAM10"	1847
"ADAM11"	882
"ADAM12"	86
"ADAM15"	349
"ADAM17"	791
"ADAM18"	0
"ADAM19"	459
"ADAM1A"	151
"ADAM2"	0
"ADAM20"	243
"ADAM20P1"	229
"ADAM21"	6
"ADAM21P1"	0
"ADAM22"	6321
"ADAM23"	4495
"ADAM28"	338
"ADAM29"	2
"ADAM30"	0
"ADAM32"	313
"ADAM33"	24
"ADAM3A"	0
"ADAM3B"	4
"ADAM5"	8
"ADAM6"	0
"ADAM7"	0
"ADAM8"	37
"ADAM9"	1399
"ADAMDEC1"	0
"ADAMTS1"	484
"ADAMTS10"	243
"ADAMTS12"	10
"ADAMTS13"	167
"ADAMTS14"	222
"ADAMTS15"	7
"ADAMTS16"	28
"ADAMTS17"	180
"ADAMTS18"	204
"ADAMTS19"	163
"ADAMTS19-AS1"	8
"ADAMTS2"	76
"ADAMTS20"	29
"ADAMTS3"	95
"ADAMTS4"	492
"ADAMTS5"	42
"ADAMTS6"	75
"ADAMTS7"	14
"ADAMTS7P1"	40
"ADAMTS8"	158
"ADAMTS9"	545
"ADAMTS9-AS1"	1
"ADAMTS9-AS2"	115
"ADAMTSL1"	123
"ADAMTSL2"	213
"ADAMTSL3"	242
"ADAMTSL4"	21
"ADAMTSL4-AS1"	11
"ADAMTSL5"	10
"ADAP1"	1403
"ADAP2"	49
"ADAR"	6457
"ADARB1"	1230
"ADARB2"	748
"ADARB2-AS1"	4
"ADAT1"	562
"ADAT2"	102
"ADAT3"	33
"ADCK1"	90
"ADCK2"	335
"ADCK5"	47
"ADCY1"	11140
"ADCY10"	96
"ADCY10P1"	257
"ADCY2"	2543
"ADCY3"	956
"ADCY4"	23
"ADCY5"	1641
"ADCY6"	518
"ADCY7"	142
"ADCY8"	563
"ADCY9"	1086
"ADCYAP1"	166
"ADCYAP1R1"	2902
"ADD1"	5757
"ADD2"	3184
"ADD3"	5797
"ADD3-AS1"	29
"ADGB"	4
"ADGRA1"	643
"ADGRA1-AS1"	27
"ADGRA2"	156
"ADGRA3"	992
"ADGRB1"	1864
"ADGRB2"	2849
"ADGRB3"	5400
"ADGRD1"	38
"ADGRD1-AS1"	0
"ADGRE1"	6
"ADGRE2"	139
"ADGRE3"	1
"ADGRE4P"	1
"ADGRE5"	68
"ADGRF1"	0
"ADGRF2"	0
"ADGRF3"	23
"ADGRF4"	1
"ADGRF5"	314
"ADGRG1"	2501
"ADGRG2"	4
"ADGRG3"	11
"ADGRG4"	0
"ADGRG5"	1
"ADGRG6"	55
"ADGRG7"	0
"ADGRL1"	4515
"ADGRL2"	2913
"ADGRL3"	5058
"ADGRL3-AS1"	0
"ADGRL4"	104
"ADGRV1"	5272
"ADH1A"	0
"ADH1B"	19
"ADH1C"	1
"ADH4"	0
"ADH5"	1359
"ADH6"	0
"ADH7"	0
"ADHFE1"	314
"ADI1"	424
"ADIG"	7
"ADIPOQ"	4
"ADIPOQ-AS1"	0
"ADIPOR1"	887
"ADIPOR2"	1733
"ADIRF"	94
"ADK"	400
"ADM"	57
"ADM2"	5
"ADM5"	2
"ADNP"	2402
"ADNP-AS1"	12
"ADNP2"	848
"ADO"	892
"ADORA1"	768
"ADORA2A"	20
"ADORA2A-AS1"	1
"ADORA2B"	130
"ADORA3"	45
"ADPGK"	292
"ADPGK-AS1"	7
"ADPRH"	23
"ADPRHL1"	143
"ADPRHL2"	128
"ADPRM"	131
