gene/TE	../../STAR_v252_mapping/CGND_12966/HRA-00423_PE.bam
"A1BG"	28
"A1BG-AS1"	100
"A1CF"	1
"A2M"	1025
"A2M-AS1"	78
"A2ML1"	105
"A2MP1"	2
"A3GALT2"	1
"A4GALT"	26
"A4GNT"	0
"AA06"	41
"AAAS"	183
"AACS"	707
"AACSP1"	8
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	1
"AADACL3"	0
"AADACL4"	0
"AADACP1"	0
"AADAT"	265
"AAED1"	55
"AAGAB"	609
"AAK1"	5686
"AAMDC"	68
"AAMP"	799
"AANAT"	2
"AAR2"	201
"AARD"	11
"AARS"	3077
"AARS2"	279
"AARSD1"	92
"AASDH"	468
"AASDHPPT"	1495
"AASS"	830
"AATBC"	1
"AATF"	324
"AATK"	2790
"ABALON"	2
"ABAT"	4167
"ABCA1"	707
"ABCA10"	409
"ABCA11P"	244
"ABCA12"	11
"ABCA13"	5
"ABCA17P"	58
"ABCA2"	10425
"ABCA3"	2102
"ABCA4"	4
"ABCA5"	1828
"ABCA6"	771
"ABCA7"	139
"ABCA8"	1238
"ABCA9"	354
"ABCA9-AS1"	0
"ABCB1"	163
"ABCB10"	268
"ABCB11"	2
"ABCB4"	14
"ABCB5"	1
"ABCB6"	230
"ABCB7"	300
"ABCB8"	275
"ABCB9"	323
"ABCC1"	281
"ABCC10"	162
"ABCC11"	27
"ABCC12"	33
"ABCC13"	0
"ABCC2"	22
"ABCC3"	10
"ABCC4"	250
"ABCC5"	1085
"ABCC5-AS1"	0
"ABCC6"	5
"ABCC6P1"	10
"ABCC6P2"	2
"ABCC8"	368
"ABCC9"	1111
"ABCD1"	45
"ABCD2"	524
"ABCD3"	910
"ABCD4"	273
"ABCE1"	944
"ABCF1"	556
"ABCF2"	645
"ABCF3"	523
"ABCG1"	492
"ABCG2"	134
"ABCG4"	208
"ABCG5"	16
"ABCG8"	26
"ABHD1"	15
"ABHD10"	503
"ABHD11"	85
"ABHD11-AS1"	0
"ABHD12"	1076
"ABHD12B"	82
"ABHD13"	516
"ABHD14A"	187
"ABHD14A-ACY1"	119
"ABHD14B"	88
"ABHD15"	51
"ABHD16A"	315
"ABHD16B"	0
"ABHD17A"	1383
"ABHD17B"	739
"ABHD17C"	285
"ABHD18"	306
"ABHD2"	3659
"ABHD3"	106
"ABHD4"	251
"ABHD5"	532
"ABHD6"	493
"ABHD8"	859
"ABI1"	1232
"ABI2"	5359
"ABI3"	48
"ABI3BP"	131
"ABL1"	1018
"ABL2"	1638
"ABLIM1"	4810
"ABLIM2"	890
"ABLIM3"	590
"ABO"	2
"ABR"	6857
"ABRA"	3
"ABRACL"	54
"ABRAXAS1"	53
"ABRAXAS2"	351
"ABT1"	147
"ABTB1"	429
"ABTB2"	202
"ACAA1"	485
"ACAA2"	489
"ACACA"	3326
"ACACB"	635
"ACAD10"	209
"ACAD11"	347
