gene/TE	../../BAM/CGND_13066/HRA-00631_PE.bam
"A1BG"	37
"A1BG-AS1"	118
"A1CF"	0
"A2M"	4939
"A2M-AS1"	104
"A2ML1"	128
"A2MP1"	3
"A3GALT2"	2
"A4GALT"	28
"A4GNT"	2
"AA06"	22
"AAAS"	234
"AACS"	1016
"AACSP1"	15
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	2
"AADACL3"	0
"AADACL4"	1
"AADACP1"	1
"AADAT"	410
"AAED1"	105
"AAGAB"	1000
"AAK1"	10030
"AAMDC"	95
"AAMP"	964
"AANAT"	9
"AAR2"	266
"AARD"	23
"AARS"	5349
"AARS2"	455
"AARSD1"	166
"AASDH"	625
"AASDHPPT"	2827
"AASS"	942
"AATBC"	2
"AATF"	593
"AATK"	4124
"ABALON"	1
"ABAT"	6324
"ABCA1"	1154
"ABCA10"	532
"ABCA11P"	279
"ABCA12"	8
"ABCA13"	6
"ABCA17P"	88
"ABCA2"	15841
"ABCA3"	2823
"ABCA4"	12
"ABCA5"	2802
"ABCA6"	757
"ABCA7"	173
"ABCA8"	2580
"ABCA9"	469
"ABCA9-AS1"	0
"ABCB1"	531
"ABCB10"	413
"ABCB11"	10
"ABCB4"	19
"ABCB5"	1
"ABCB6"	422
"ABCB7"	449
"ABCB8"	478
"ABCB9"	364
"ABCC1"	449
"ABCC10"	256
"ABCC11"	26
"ABCC12"	52
"ABCC13"	3
"ABCC2"	23
"ABCC3"	8
"ABCC4"	482
"ABCC5"	1727
"ABCC5-AS1"	0
"ABCC6"	11
"ABCC6P1"	7
"ABCC6P2"	2
"ABCC8"	554
"ABCC9"	882
"ABCD1"	80
"ABCD2"	910
"ABCD3"	1645
"ABCD4"	383
"ABCE1"	1809
"ABCF1"	849
"ABCF2"	1097
"ABCF3"	813
"ABCG1"	701
"ABCG2"	620
"ABCG4"	335
"ABCG5"	15
"ABCG8"	42
"ABHD1"	15
"ABHD10"	995
"ABHD11"	126
"ABHD11-AS1"	0
"ABHD12"	1515
"ABHD12B"	126
"ABHD13"	817
"ABHD14A"	299
"ABHD14A-ACY1"	158
"ABHD14B"	128
"ABHD15"	108
"ABHD16A"	540
"ABHD16B"	0
"ABHD17A"	1273
"ABHD17B"	1362
"ABHD17C"	351
"ABHD18"	446
"ABHD2"	5279
"ABHD3"	164
"ABHD4"	285
"ABHD5"	688
"ABHD6"	886
"ABHD8"	956
"ABI1"	2131
"ABI2"	8239
"ABI3"	103
"ABI3BP"	182
"ABL1"	1418
"ABL2"	2557
"ABLIM1"	5515
"ABLIM2"	1136
"ABLIM3"	922
"ABO"	7
"ABR"	8916
"ABRA"	9
"ABRACL"	129
"ABRAXAS1"	125
"ABRAXAS2"	516
"ABT1"	172
"ABTB1"	538
"ABTB2"	207
"ACAA1"	668
"ACAA2"	510
"ACACA"	4481
"ACACB"	835
"ACAD10"	324
"ACAD11"	423
"ACAD8"	429
"ACAD9"	694
"ACADL"	69
"ACADM"	1077
"ACADS"	137
"ACADSB"	1706
"ACADVL"	1320
"ACAN"	78
"ACAP1"	12
"ACAP2"	1869
"ACAP3"	1387
"ACAT1"	782
"ACAT2"	457
"ACBD3"	1141
"ACBD3-AS1"	0
"ACBD4"	160
"ACBD5"	2367
"ACBD6"	306
"ACBD7"	1701
"ACBD7-DCLRE1CP1"	102
"ACCS"	93
"ACCSL"	0
"ACD"	153
"ACE"	142
"ACE2"	12
"ACER1"	0
"ACER2"	142
"ACER3"	1906
"ACHE"	285
"ACIN1"	1781
"ACKR1"	178
"ACKR2"	37
"ACKR3"	76
"ACKR4"	1
"ACLY"	2116
"ACMSD"	0
"ACO1"	761
"ACO2"	4431
"ACOD1"	0
"ACOT1"	28
"ACOT11"	296
"ACOT12"	4
"ACOT13"	396
"ACOT2"	191
"ACOT4"	73
"ACOT6"	2
"ACOT7"	1470
"ACOT8"	252
"ACOT9"	450
"ACOX1"	2443
"ACOX2"	53
"ACOX3"	453
"ACOXL"	0
"ACOXL-AS1"	10
"ACP1"	1042
"ACP2"	489
"ACP4"	0
"ACP5"	7
"ACP6"	105
"ACP7"	67
"ACPP"	14
"ACR"	3
"ACRBP"	7
"ACRV1"	16
"ACSBG1"	1086
"ACSBG2"	3
"ACSF2"	101
"ACSF3"	223
"ACSL1"	1861
"ACSL3"	6245
"ACSL4"	2801
"ACSL5"	213
"ACSL6"	4979
"ACSM1"	3
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	6
"ACSM4"	0
"ACSM5"	61
"ACSM6"	0
"ACSS1"	1142
"ACSS2"	657
"ACSS3"	520
"ACTA1"	7
"ACTA2"	27
"ACTA2-AS1"	173
"ACTB"	32776
"ACTBL2"	0
"ACTC1"	25
"ACTG1"	13962
"ACTG1P17"	16
"ACTG1P20"	37
"ACTG1P4"	83
"ACTG2"	0
"ACTL10"	3
"ACTL6A"	151
"ACTL6B"	378
"ACTL7A"	0
"ACTL7B"	1
"ACTL8"	8
"ACTL9"	0
"ACTN1"	1466
"ACTN1-AS1"	0
"ACTN2"	1575
"ACTN3"	1
"ACTN4"	2538
"ACTR10"	1250
"ACTR1A"	2762
"ACTR1B"	1350
"ACTR2"	8183
"ACTR3"	2602
"ACTR3B"	877
"ACTR3BP2"	0
"ACTR3BP5"	0
"ACTR3C"	181
"ACTR5"	165
"ACTR6"	833
"ACTR8"	748
"ACTRT1"	2
"ACTRT2"	0
"ACTRT3"	40
"ACVR1"	397
"ACVR1B"	1550
"ACVR1C"	713
"ACVR2A"	872
"ACVR2B"	1097
"ACVR2B-AS1"	20
"ACVRL1"	96
"ACY1"	41
"ACY3"	20
"ACYP1"	196
"ACYP2"	575
"ADA"	60
"ADA2"	322
"ADAD1"	0
"ADAD2"	1
"ADAL"	272
"ADAM10"	3224
"ADAM11"	1202
"ADAM12"	79
"ADAM15"	575
"ADAM17"	853
"ADAM18"	0
"ADAM19"	284
"ADAM1A"	162
"ADAM2"	0
"ADAM20"	189
"ADAM20P1"	197
"ADAM21"	7
"ADAM21P1"	0
"ADAM22"	7322
"ADAM23"	3977
"ADAM28"	448
"ADAM29"	7
"ADAM30"	0
"ADAM32"	223
"ADAM33"	13
"ADAM3A"	0
"ADAM3B"	5
"ADAM5"	2
"ADAM6"	0
"ADAM7"	1
"ADAM8"	33
"ADAM9"	1651
"ADAMDEC1"	0
"ADAMTS1"	908
"ADAMTS10"	245
"ADAMTS12"	19
"ADAMTS13"	117
"ADAMTS14"	149
"ADAMTS15"	9
"ADAMTS16"	78
"ADAMTS17"	146
"ADAMTS18"	249
"ADAMTS19"	191
"ADAMTS19-AS1"	11
"ADAMTS2"	142
"ADAMTS20"	8
"ADAMTS3"	177
"ADAMTS4"	1161
"ADAMTS5"	68
"ADAMTS6"	96
"ADAMTS7"	28
"ADAMTS7P1"	31
"ADAMTS8"	243
"ADAMTS9"	321
"ADAMTS9-AS1"	13
"ADAMTS9-AS2"	109
"ADAMTSL1"	103
"ADAMTSL2"	283
"ADAMTSL3"	300
"ADAMTSL4"	12
"ADAMTSL4-AS1"	9
"ADAMTSL5"	6
"ADAP1"	1218
"ADAP2"	134
"ADAR"	7639
"ADARB1"	1550
"ADARB2"	1793
"ADARB2-AS1"	1
"ADAT1"	646
"ADAT2"	172
"ADAT3"	49
"ADCK1"	185
"ADCK2"	456
"ADCK5"	69
"ADCY1"	10767
"ADCY10"	39
"ADCY10P1"	309
"ADCY2"	4233
"ADCY3"	1087
"ADCY4"	43
"ADCY5"	1903
"ADCY6"	678
"ADCY7"	410
"ADCY8"	541
"ADCY9"	889
"ADCYAP1"	288
"ADCYAP1R1"	3840
"ADD1"	7652
"ADD2"	4323
"ADD3"	7413
"ADD3-AS1"	31
"ADGB"	2
"ADGRA1"	651
"ADGRA1-AS1"	16
"ADGRA2"	205
"ADGRA3"	1086
"ADGRB1"	1663
"ADGRB2"	3083
"ADGRB3"	5491
"ADGRD1"	41
"ADGRD1-AS1"	0
"ADGRE1"	7
"ADGRE2"	87
"ADGRE3"	2
"ADGRE4P"	22
"ADGRE5"	156
"ADGRF1"	0
"ADGRF2"	3
"ADGRF3"	15
"ADGRF4"	3
"ADGRF5"	599
"ADGRG1"	1764
"ADGRG2"	1
"ADGRG3"	11
"ADGRG4"	0
"ADGRG5"	3
"ADGRG6"	73
"ADGRG7"	0
"ADGRL1"	5083
"ADGRL2"	2766
"ADGRL3"	6258
"ADGRL3-AS1"	0
"ADGRL4"	141
"ADGRV1"	5602
"ADH1A"	0
"ADH1B"	11
"ADH1C"	2
"ADH4"	0
"ADH5"	1596
"ADH6"	0
"ADH7"	0
"ADHFE1"	487
"ADI1"	711
"ADIG"	1
"ADIPOQ"	0
"ADIPOQ-AS1"	0
"ADIPOR1"	1160
"ADIPOR2"	2720
"ADIRF"	132
"ADK"	519
"ADM"	81
"ADM2"	2
"ADM5"	14
"ADNP"	2969
"ADNP-AS1"	21
"ADNP2"	818
"ADO"	1275
"ADORA1"	902
"ADORA2A"	15
"ADORA2A-AS1"	0
"ADORA2B"	67
"ADORA3"	92
"ADPGK"	517
"ADPGK-AS1"	10
"ADPRH"	59
"ADPRHL1"	127
"ADPRHL2"	188
"ADPRM"	170
"ADRA1A"	829
"ADRA1B"	224
"ADRA1D"	65
"ADRA2A"	211
"ADRA2B"	5
"ADRA2C"	46
"ADRB1"	275
"ADRB2"	88
"ADRB3"	5
"ADRM1"	482
"ADSL"	309
"ADSS"	1728
"ADSSL1"	113
"ADTRP"	69
"AEBP1"	507
"AEBP2"	1500
"AEN"	95
"AES"	4191
"AFAP1"	900
"AFAP1-AS1"	49
"AFAP1L1"	65
"AFAP1L2"	564
"AFDN"	3387
"AFDN-DT"	21
"AFF1"	2033
"AFF1-AS1"	105
"AFF2"	1133
"AFF3"	2291
"AFF4"	6268
"AFG1L"	313
"AFG3L1P"	247
"AFG3L2"	1424
"AFM"	1
"AFMID"	509
"AFP"	1
"AFTPH"	1832
"AGA"	224
"AGAP1"	6520
"AGAP1-IT1"	27
"AGAP11"	45
"AGAP12P"	60
"AGAP2"	5543
"AGAP2-AS1"	11
"AGAP3"	2478
"AGAP4"	219
"AGAP5"	135
"AGAP6"	213
"AGAP7P"	25
"AGAP9"	150
"AGBL1"	15
"AGBL1-AS1"	0
"AGBL2"	12
"AGBL3"	159
"AGBL4"	324
"AGBL4-IT1"	51
"AGBL5"	276
"AGBL5-AS1"	1
"AGER"	21
"AGFG1"	3259
"AGFG2"	390
"AGGF1"	1736
"AGK"	849
"AGL"	1834
"AGMAT"	76
"AGMO"	24
